identifier,Pi_CMC,Temp_Celsius,reference_doi,SMILES,source_doi,method,Molecular_Weight,InChI,CMC,pCMC,Area_min
decyl β-glucoside,43.5,25,,CCCCCCCCCCO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,10.1021/la980519x,tensiometry,320.42600000000004,"InChI=1S/C16H32O6/c1-2-3-4-5-6-7-8-9-10-21-16-15(20)14(19)13(18)12(11-17)22-16/h12-20H,2-11H2,1H3/t12-,13-,14+,15-,16-/m1/s1",0.002,2.6989700043360187,0.41
decyl β-maltoside,36.4,25,,CCCCCCCCCCO[C@@H]1O[C@H](CO)[C@@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O,10.1021/la980519x,tensiometry,482.5670000000001,"InChI=1S/C22H42O11/c1-2-3-4-5-6-7-8-9-10-30-21-19(29)17(27)20(14(12-24)32-21)33-22-18(28)16(26)15(25)13(11-23)31-22/h13-29H,2-12H2,1H3/t13-,14-,15-,16+,17-,18-,19-,20-,21-,22-/m1/s1",0.002,2.6989700043360187,0.56
dodecyl β-glucoside,32.5,25,10.1246/bcsj.34.237,CCCCCCCCCCCCO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,10.1021/la980519x,tensiometry,348.48,"InChI=1S/C18H36O6/c1-2-3-4-5-6-7-8-9-10-11-12-23-18-17(22)16(21)15(20)14(13-19)24-18/h14-22H,2-13H2,1H3/t14-,15-,16+,17-,18-/m1/s1",0.00019,3.721246399047171,0.36
dodecyl β-maltoside,35.8,25,10.1021/j100256a060,CCCCCCCCCCCCO[C@@H]1O[C@H](CO)[C@@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O,10.1021/la980519x,tensiometry,510.6210000000001,"InChI=1S/C24H46O11/c1-2-3-4-5-6-7-8-9-10-11-12-32-23-21(31)19(29)22(16(14-26)34-23)35-24-20(30)18(28)17(27)15(13-25)33-24/h15-31H,2-14H2,1H3/t15-,16-,17-,18+,19-,20-,21-,22-,23-,24-/m1/s1",0.00015,3.8239087409443187,0.5
N-decanoyl-N-methyl-1-amino-1-deoxy-D-glucitol,39.9,25,,CCCCCCCCCCC(=O)N(C)C[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,10.1021/la980519x,tensiometry,363.4950000000003,"InChI=1S/C18H37NO6/c1-3-4-5-6-7-8-9-10-11-16(23)19(2)12-14(21)17(24)18(25)15(22)13-20/h14-15,17-18,20-22,24-25H,3-13H2,1-2H3/t14-,15+,17+,18+/m0/s1",0.0055,2.2596373105057563,0.4
