id,SMILES,Canonical SMILES fixed
269,CCCCCCCCCCCC(=O)OCCOCC(OCCO)C1OCC(OCCO)C1OCCO,CCCCCCCCCCCCCCCC(=O)OCCOCCOCCOCCOCC(OCCOCCOCCOCCO)[C@H]1OC[C@@H](OCCOCCOCCOCCO)[C@@H]1OCCOCCOCCOCCO
359,CCCCCCCCCCCCCCCCCC(=O)OCCOCC(OCCO)C1OCC(OCCO)C1OCCO,CCCCCCCCCCCCCCCCCC(=O)OCCOCCOCCOCCOCC(OCCOCCOCCOCCO)[C@H]1OC[C@@H](OCCOCCOCCOCCO)[C@@H]1OCCOCCOCCOCCO
