footnote,ref,doi
a,47,10.1039/b615406a
b,13,10.1021/ar700068x
c,38;41,10.1016/j.jcis.2009.03.017,10.1016/j.fluid.2012.04.013
d,46,10.1021/je900290w
e,30;31,10.1016/j.colsurfa.2006.11.049,10.1016/j.colsurfa.2007.12.001
