identifier,AW_ST_CMC,source_doi,reference_doi,SMILES,Temp_Celsius,method,Molecular_Weight,InChI,CMC,pCMC,Gamma_max,Area_min
4-2,21.0,10.1006/jcis.2000.7037,,COCCOCCOC(=O)NC(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)NC(=O)OCCOCCOC,25.0,tensiometry,584.429,"InChI=1S/C19H29F9N2O8/c1-33-5-7-35-9-11-37-14(31)29-13(30-15(32)38-12-10-36-8-6-34-2)3-4-16(20,21)17(22,23)18(24,25)19(26,27)28/h13H,3-12H2,1-2H3,(H,29,31)(H,30,32)",0.009800000000000001,2.008773924307505,2.4500000000000003e-06,0.67
4-3,20.7,10.1006/jcis.2000.7037,,COCCOCCOCCOC(=O)NC(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)NC(=O)OCCOCCOCCOC,25.0,tensiometry,672.5349999999996,"InChI=1S/C23H37F9N2O10/c1-37-5-7-39-9-11-41-13-15-43-18(35)33-17(34-19(36)44-16-14-42-12-10-40-8-6-38-2)3-4-20(24,25)21(26,27)22(28,29)23(30,31)32/h17H,3-16H2,1-2H3,(H,33,35)(H,34,36)",0.0014,2.853871964321762,2.94e-06,0.56
6-2,17.8,10.1006/jcis.2000.7037,,COCCOCCOC(=O)NC(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)NC(=O)OCCOCCOC,25.0,tensiometry,684.4429999999998,"InChI=1S/C21H29F13N2O8/c1-39-5-7-41-9-11-43-14(37)35-13(36-15(38)44-12-10-42-8-6-40-2)3-4-16(22,23)17(24,25)18(26,27)19(28,29)20(30,31)21(32,33)34/h13H,3-12H2,1-2H3,(H,35,37)(H,36,38)",0.00015,3.8239087409443187,2.4e-06,0.69
6-3,20.4,10.1006/jcis.2000.7037,,COCCOCCOCCOC(=O)NC(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)NC(=O)OCCOCCOCCOC,25.0,tensiometry,772.5489999999998,"InChI=1S/C25H37F13N2O10/c1-43-5-7-45-9-11-47-13-15-49-18(41)39-17(40-19(42)50-16-14-48-12-10-46-8-6-44-2)3-4-20(26,27)21(28,29)22(30,31)23(32,33)24(34,35)25(36,37)38/h17H,3-16H2,1-2H3,(H,39,41)(H,40,42)",8.999999999999999e-05,4.045757490560675,3.33e-06,0.5
8-2,19.0,10.1006/jcis.2000.7037,,COCCOCCOC(=O)NC(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)NC(=O)OCCOCCOC,25.0,tensiometry,784.4569999999999,"InChI=1S/C23H29F17N2O8/c1-45-5-7-47-9-11-49-14(43)41-13(42-15(44)50-12-10-48-8-6-46-2)3-4-16(24,25)17(26,27)18(28,29)19(30,31)20(32,33)21(34,35)22(36,37)23(38,39)40/h13H,3-12H2,1-2H3,(H,41,43)(H,42,44)",2.4e-05,4.619788758288394,4.15e-06,0.4
8-3,20.7,10.1006/jcis.2000.7037,,COCCOCCOCCOC(=O)NC(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)NC(=O)OCCOCCOCCOC,25.0,tensiometry,872.5629999999999,"InChI=1S/C27H37F17N2O10/c1-49-5-7-51-9-11-53-13-15-55-18(47)45-17(46-19(48)56-16-14-54-12-10-52-8-6-50-2)3-4-20(28,29)21(30,31)22(32,33)23(34,35)24(36,37)25(38,39)26(40,41)27(42,43)44/h17H,3-16H2,1-2H3,(H,45,47)(H,46,48)",1.1e-05,4.958607314841775,5.53e-06,0.3
