identifier,Temp_Celsius,ref_key,method,SMILES,Molecular_Weight,InChI,source_doi,reference_doi,ref_keys,pCMC,CMC
C15C(C)SO4Na,40.0,huibers1997,,CCCCCCCCCCCCCCCC(C)OS(=O)(=O)[O-].[Na+],358.52,"InChI=1S/C17H36O4S.Na/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17(2)21-22(18,19)20;/h17H,3-16H2,1-2H3,(H,18,19,20);/q;+1/p-1",10.1021/ci600462d,10.1006/jcis.1996.4680,huibers1997,3.31,0.0004897788193684461
C8C(C8)SO4Na,40.0,huibers1997,,CCCCCCCCC(CCCCCCCC)OS(=O)(=O)[O-].[Na+],358.52,"InChI=1S/C17H36O4S.Na/c1-3-5-7-9-11-13-15-17(21-22(18,19)20)16-14-12-10-8-6-4-2;/h17H,3-16H2,1-2H3,(H,18,19,20);/q;+1/p-1",10.1021/ci600462d,10.1006/jcis.1996.4680,huibers1997,2.629,0.0023496328208483072
C16C(C)SO4Na,40.0,huibers1997,,CCCCCCCCCCCCCCCCC(C)OS(=O)(=O)[O-].[Na+],372.547,"InChI=1S/C18H38O4S.Na/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(2)22-23(19,20)21;/h18H,3-17H2,1-2H3,(H,19,20,21);/q;+1/p-1",10.1021/ci600462d,10.1006/jcis.1996.4680,huibers1997,3.585,0.0002600159563165272
C14C(C3)SO4Na,40.0,huibers1997,,CCCCCCCCCCCCCCC(CCC)OS(=O)(=O)[O-].[Na+],372.547,"InChI=1S/C18H38O4S.Na/c1-3-5-6-7-8-9-10-11-12-13-14-15-17-18(16-4-2)22-23(19,20)21;/h18H,3-17H2,1-2H3,(H,19,20,21);/q;+1/p-1",10.1021/ci600462d,10.1006/jcis.1996.4680,huibers1997,3.347,0.000449779854893288
C12C(C5)SO4Na,40.0,huibers1997,,CCCCCCCCCCCCC(CCCCC)OS(=O)(=O)[O-].[Na+],372.547,"InChI=1S/C18H38O4S.Na/c1-3-5-7-8-9-10-11-12-13-15-17-18(16-14-6-4-2)22-23(19,20)21;/h18H,3-17H2,1-2H3,(H,19,20,21);/q;+1/p-1",10.1021/ci600462d,10.1006/jcis.1996.4680,huibers1997,3.143,0.0007194489780036999
C9C(C9)SO4Na,40.0,huibers1997,,CCCCCCCCCC(CCCCCCCCC)OS(=O)(=O)[O-].[Na+],386.574,"InChI=1S/C19H40O4S.Na/c1-3-5-7-9-11-13-15-17-19(23-24(20,21)22)18-16-14-12-10-8-6-4-2;/h19H,3-18H2,1-2H3,(H,20,21,22);/q;+1/p-1",10.1021/ci600462d,10.1006/jcis.1996.4680,huibers1997,3.027,0.0009397233105646375
C14C(C4)SO4Na,40.0,huibers1997,,CCCCCCCCCCCCCCC(CCCC)OS(=O)(=O)[O-].[Na+],386.574,"InChI=1S/C19H40O4S.Na/c1-3-5-7-8-9-10-11-12-13-14-15-16-18-19(17-6-4-2)23-24(20,21)22;/h19H,3-18H2,1-2H3,(H,20,21,22);/q;+1/p-1",10.1021/ci600462d,10.1006/jcis.1996.4680,huibers1997,3.481,0.0003303695410368149
C13C(C)CSO4Na,40.0,huibers1997,,CCCCCCCCCCCCCC(C)COS(=O)(=O)[O-].[Na+],344.493,"InChI=1S/C16H34O4S.Na/c1-3-4-5-6-7-8-9-10-11-12-13-14-16(2)15-20-21(17,18)19;/h16H,3-15H2,1-2H3,(H,17,18,19);/q;+1/p-1",10.1021/ci600462d,10.1006/jcis.1996.4680,huibers1997,3.097,0.0007998342550070284
C12C(C2)CSO4Na,40.0,huibers1997,,CCCCCCCCCCCCC(CC)COS(=O)(=O)[O-].[Na+],344.493,"InChI=1S/C16H34O4S.Na/c1-3-5-6-7-8-9-10-11-12-13-14-16(4-2)15-20-21(17,18)19;/h16H,3-15H2,1-2H3,(H,17,18,19);/q;+1/p-1",10.1021/ci600462d,10.1006/jcis.1996.4680,huibers1997,3.046,0.0008994975815300356
C11C(C3)CSO4Na,40.0,huibers1997,,CCCCCCCCCCCC(CCC)COS(=O)(=O)[O-].[Na+],344.493,"InChI=1S/C16H34O4S.Na/c1-3-5-6-7-8-9-10-11-12-14-16(13-4-2)15-20-21(17,18)19;/h16H,3-15H2,1-2H3,(H,17,18,19);/q;+1/p-1",10.1021/ci600462d,10.1006/jcis.1996.4680,huibers1997,2.959,0.0010990058394325208
C10C(C4)CSO4Na,40.0,huibers1997,,CCCCCCCCCCC(CCCC)COS(=O)(=O)[O-].[Na+],344.493,"InChI=1S/C16H34O4S.Na/c1-3-5-7-8-9-10-11-12-14-16(13-6-4-2)15-20-21(17,18)19;/h16H,3-15H2,1-2H3,(H,17,18,19);/q;+1/p-1",10.1021/ci600462d,10.1006/jcis.1996.4680,huibers1997,2.824,0.0014996848355023741
C9C(C5)CSO4Na,40.0,huibers1997,,CCCCCCCCCC(CCCCC)COS(=O)(=O)[O-].[Na+],344.493,"InChI=1S/C16H34O4S.Na/c1-3-5-7-8-9-10-12-14-16(13-11-6-4-2)15-20-21(17,18)19;/h16H,3-15H2,1-2H3,(H,17,18,19);/q;+1/p-1",10.1021/ci600462d,10.1006/jcis.1996.4680,huibers1997,2.699,0.0019998618696327446
C8C(C6)CSO4Na,40.0,huibers1997,,CCCCCCCCC(CCCCCC)COS(=O)(=O)[O-].[Na+],344.493,"InChI=1S/C16H34O4S.Na/c1-3-5-7-9-10-12-14-16(13-11-8-6-4-2)15-20-21(17,18)19;/h16H,3-15H2,1-2H3,(H,17,18,19);/q;+1/p-1",10.1021/ci600462d,10.1006/jcis.1996.4680,huibers1997,2.638,0.002301441817408509
C7C(C7)CSO4Na,40.0,huibers1997,,CCCCCCCC(CCCCCCC)COS(=O)(=O)[O-].[Na+],344.493,"InChI=1S/C16H34O4S.Na/c1-3-5-7-9-11-13-16(15-20-21(17,18)19)14-12-10-8-6-4-2;/h16H,3-15H2,1-2H3,(H,17,18,19);/q;+1/p-1",10.1021/ci600462d,10.1006/jcis.1996.4680,huibers1997,2.523,0.0029991625189876503
C12EOSO4Na,40.0,huibers1997,,CCCCCCCCCCCCOCCOS(=O)(=O)[O-].[Na+],332.438,"InChI=1S/C14H30O5S.Na/c1-2-3-4-5-6-7-8-9-10-11-12-18-13-14-19-20(15,16)17;/h2-14H2,1H3,(H,15,16,17);/q;+1/p-1",10.1021/ci600462d,10.1006/jcis.1996.4680,huibers1997,2.396,0.0040179081084894
C12EO2SO4Na,40.0,huibers1997,,CCCCCCCCCCCCOCCOCCOS(=O)(=O)[O-].[Na+],376.49100000000004,"InChI=1S/C16H34O6S.Na/c1-2-3-4-5-6-7-8-9-10-11-12-20-13-14-21-15-16-22-23(17,18)19;/h2-16H2,1H3,(H,17,18,19);/q;+1/p-1",10.1021/ci600462d,10.1006/jcis.1996.4680,huibers1997,2.553,0.002798981319634363
C9C(OH)C2SO3Na,40.0,huibers1997,,CCCCCCCCC(O)CCS(=O)(=O)[O-].[Na+],274.35799999999995,"InChI=1S/C11H24O4S.Na/c1-2-3-4-5-6-7-8-11(12)9-10-16(13,14)15;/h11-12H,2-10H2,1H3,(H,13,14,15);/q;+1/p-1",10.1021/ci600462d,10.1006/jcis.1996.4680,huibers1997,1.606,0.02477422057633285
C9C(OC)C2SO3Na,40.0,huibers1997,,CCCCCCCCCC(CCS(=O)(=O)[O-])OC.[Na+],302.41200000000003,"InChI=1S/C13H28O4S.Na/c1-3-4-5-6-7-8-9-10-13(17-2)11-12-18(14,15)16;/h13H,3-12H2,1-2H3,(H,14,15,16);/q;+1/p-1",10.1021/ci600462d,10.1006/jcis.1996.4680,huibers1997,2.118,0.007620790100254122
C9C(OC2)C2SO3Na,40.0,huibers1997,,CCCCCCCCCC(CCS(=O)(=O)[O-])OCC.[Na+],316.439,"InChI=1S/C14H30O4S.Na/c1-3-5-6-7-8-9-10-11-14(18-4-2)12-13-19(15,16)17;/h14H,3-13H2,1-2H3,(H,15,16,17);/q;+1/p-1",10.1021/ci600462d,10.1006/jcis.1996.4680,huibers1997,2.301,0.005000345349769783
C9C(OC3)C2SO3Na,40.0,huibers1997,,CCCCCCCCCC(CCS(=O)(=O)[O-])OCCC.[Na+],330.466,"InChI=1S/C15H32O4S.Na/c1-3-5-6-7-8-9-10-11-15(19-13-4-2)12-14-20(16,17)18;/h15H,3-14H2,1-2H3,(H,16,17,18);/q;+1/p-1",10.1021/ci600462d,10.1006/jcis.1996.4680,huibers1997,2.42,0.0038018939632056127
C9C(OC(C)C)C2SO3Na,40.0,huibers1997,,CCCCCCCCCC(CCS(=O)(=O)[O-])OC(C)C.[Na+],330.46600000000007,"InChI=1S/C15H32O4S.Na/c1-4-5-6-7-8-9-10-11-15(19-14(2)3)12-13-20(16,17)18;/h14-15H,4-13H2,1-3H3,(H,16,17,18);/q;+1/p-1",10.1021/ci600462d,10.1006/jcis.1996.4680,huibers1997,2.458,0.0034833731503601164
C9C(OC4)C2SO3Na,40.0,huibers1997,,CCCCCCCCCC(CCS(=O)(=O)[O-])OCCCC.[Na+],344.493,"InChI=1S/C16H34O4S.Na/c1-3-5-7-8-9-10-11-12-16(20-14-6-4-2)13-15-21(17,18)19;/h16H,3-15H2,1-2H3,(H,17,18,19);/q;+1/p-1",10.1021/ci600462d,10.1006/jcis.1996.4680,huibers1997,2.817,0.0015240527537972906
C9C(OC6)C2SO3Na,40.0,huibers1997,,CCCCCCCCCC(CCS(=O)(=O)[O-])OCCCCCC.[Na+],372.547,"InChI=1S/C18H38O4S.Na/c1-3-5-7-9-10-11-12-14-18(15-17-23(19,20)21)22-16-13-8-6-4-2;/h18H,3-17H2,1-2H3,(H,19,20,21);/q;+1/p-1",10.1021/ci600462d,10.1006/jcis.1996.4680,huibers1997,3.185,0.0006531305526474723
C9C(OC8)C2SO3Na,40.0,huibers1997,,CCCCCCCCCC(CCS(=O)(=O)[O-])OCCCCCCCC.[Na+],400.6010000000001,"InChI=1S/C20H42O4S.Na/c1-3-5-7-9-11-12-14-16-20(17-19-25(21,22)23)24-18-15-13-10-8-6-4-2;/h20H,3-19H2,1-2H3,(H,21,22,23);/q;+1/p-1",10.1021/ci600462d,10.1006/jcis.1996.4680,huibers1997,3.922,0.00011967405313072431
C9C(OCC(C2)C4)C2SO3Na,40.0,huibers1997,,CCCCCCCCCC(CCS(=O)(=O)[O-])OCC(CC)CCCC.[Na+],400.6010000000001,"InChI=1S/C20H42O4S.Na/c1-4-7-9-10-11-12-13-15-20(16-17-25(21,22)23)24-18-19(6-3)14-8-5-2;/h19-20H,4-18H2,1-3H3,(H,21,22,23);/q;+1/p-1",10.1021/ci600462d,10.1006/jcis.1996.4680,huibers1997,3.501,0.0003155004623374627
C9C(OPh)C2SO3Na,40.0,huibers1997,,CCCCCCCCCC(CCS(=O)(=O)[O-])Oc1ccccc1.[Na+],364.4830000000001,"InChI=1S/C18H30O4S.Na/c1-2-3-4-5-6-7-9-14-18(15-16-23(19,20)21)22-17-12-10-8-11-13-17;/h8,10-13,18H,2-7,9,14-16H2,1H3,(H,19,20,21);/q;+1/p-1",10.1021/ci600462d,10.1006/jcis.1996.4680,huibers1997,2.708,0.0019588446735059888
C9C(O)C2SO3Na,40.0,huibers1997,,CCCCCCCCCC(O)CCS(=O)(=O)[O-].[Na+],288.385,"InChI=1S/C12H26O4S.Na/c1-2-3-4-5-6-7-8-9-12(13)10-11-17(14,15)16;/h12-13H,2-11H2,1H3,(H,14,15,16);/q;+1/p-1",10.1021/ci600462d,10.1006/jcis.1996.4680,huibers1997,1.541,0.028773984147356695
C11C(OH)C2SO3Na,40.0,huibers1997,,CCCCCCCCCCCC(O)CCS(=O)(=O)[O-].[Na+],316.439,"InChI=1S/C14H30O4S.Na/c1-2-3-4-5-6-7-8-9-10-11-14(15)12-13-19(16,17)18;/h14-15H,2-13H2,1H3,(H,16,17,18);/q;+1/p-1",10.1021/ci600462d,10.1006/jcis.1996.4680,huibers1997,2.199,0.006324118513762197
C11C(OC2OH)C2SO3Na,40.0,huibers1997,,CCCCCCCCCCCC(CCO)CCS(=O)(=O)[O-].[Na+],344.493,"InChI=1S/C16H34O4S.Na/c1-2-3-4-5-6-7-8-9-10-11-16(12-14-17)13-15-21(18,19)20;/h16-17H,2-15H2,1H3,(H,18,19,20);/q;+1/p-1",10.1021/ci600462d,10.1006/jcis.1996.4680,huibers1997,3.445,0.0003589219346450053
C11C(EO2)C2SO3Na,40.0,huibers1997,,CCCCCCCCCCCC(CCS(=O)(=O)[O-])OCCOCCO.[Na+],404.54500000000013,"InChI=1S/C18H38O6S.Na/c1-2-3-4-5-6-7-8-9-10-11-18(12-17-25(20,21)22)24-16-15-23-14-13-19;/h18-19H,2-17H2,1H3,(H,20,21,22);/q;+1/p-1",10.1021/ci600462d,10.1006/jcis.1996.4680,huibers1997,2.922,0.0011967405313072432
C11C(OPh)C2SO3Na,40.0,huibers1997,,CCCCCCCCCCCC(CCS(=O)(=O)[O-])Oc1ccccc1.[Na+],392.53700000000015,"InChI=1S/C20H34O4S.Na/c1-2-3-4-5-6-7-8-9-11-16-20(17-18-25(21,22)23)24-19-14-12-10-13-15-19;/h10,12-15,20H,2-9,11,16-18H2,1H3,(H,21,22,23);/q;+1/p-1",10.1021/ci600462d,10.1006/jcis.1996.4680,huibers1997,3.641,0.000228559880337543
C11C(OPhCl3)C2SO3Na,40.0,huibers1997,,CCCCCCCCCCCC(CCS(=O)(=O)[O-])Oc1cc(Cl)c(Cl)cc1Cl.[Na+],495.8720000000002,"InChI=1S/C20H31Cl3O4S.Na/c1-2-3-4-5-6-7-8-9-10-11-16(12-13-28(24,25)26)27-20-15-18(22)17(21)14-19(20)23;/h14-16H,2-13H2,1H3,(H,24,25,26);/q;+1/p-1",10.1021/ci600462d,10.1006/jcis.1996.4680,huibers1997,4.787,1.6330519478943346e-05
C11C(N(C)2)C2SO3Na,40.0,huibers1997,,CCCCCCCCCCCC(CCS(=O)(=O)[O-])N(C)C.[Na+],343.509,"InChI=1S/C16H35NO3S.Na/c1-4-5-6-7-8-9-10-11-12-13-16(17(2)3)14-15-21(18,19)20;/h16H,4-15H2,1-3H3,(H,18,19,20);/q;+1/p-1",10.1021/ci600462d,10.1006/jcis.1996.4680,huibers1997,2.964,0.0010864256236170656
C11C(NC3)C2SO3Na,40.0,huibers1997,,CCCCCCCCCCCC(CCS(=O)(=O)[O-])NCCC.[Na+],357.536,"InChI=1S/C17H37NO3S.Na/c1-3-5-6-7-8-9-10-11-12-13-17(18-15-4-2)14-16-22(19,20)21;/h17-18H,3-16H2,1-2H3,(H,19,20,21);/q;+1/p-1",10.1021/ci600462d,10.1006/jcis.1996.4680,huibers1997,3.2,0.000630957344480193
C11C(NC4)C2SO3Na,40.0,huibers1997,,CCCCCCCCCCCC(CCS(=O)(=O)[O-])NCCCC.[Na+],371.56300000000005,"InChI=1S/C18H39NO3S.Na/c1-3-5-7-8-9-10-11-12-13-14-18(19-16-6-4-2)15-17-23(20,21)22;/h18-19H,3-17H2,1-2H3,(H,20,21,22);/q;+1/p-1",10.1021/ci600462d,10.1006/jcis.1996.4680,huibers1997,3.708,0.0001958844673505989
C11C(morpholino)C2SO3Na,40.0,huibers1997,,CCCCCCCCCCCC(CCS(=O)(=O)[O-])N1CCOCC1.[Na+],385.5460000000001,"InChI=1S/C18H37NO4S.Na/c1-2-3-4-5-6-7-8-9-10-11-18(12-17-24(20,21)22)19-13-15-23-16-14-19;/h18H,2-17H2,1H3,(H,20,21,22);/q;+1/p-1",10.1021/ci600462d,10.1006/jcis.1996.4680,huibers1997,3.106,0.000783429642766212
C11C(piperidino)C2SO3Na,40.0,huibers1997,,CCCCCCCCCCCC(CCS(=O)(=O)[O-])N1CCCCC1.[Na+],383.57400000000007,"InChI=1S/C19H39NO3S.Na/c1-2-3-4-5-6-7-8-9-11-14-19(15-18-24(21,22)23)20-16-12-10-13-17-20;/h19H,2-18H2,1H3,(H,21,22,23);/q;+1/p-1",10.1021/ci600462d,10.1006/jcis.1996.4680,huibers1997,3.31,0.0004897788193684461
C11C(O)C2SO3Na,40.0,huibers1997,,CCCCCCCCCCCC(=O)CCS(=O)(=O)[O-].[Na+],314.423,"InChI=1S/C14H28O4S.Na/c1-2-3-4-5-6-7-8-9-10-11-14(15)12-13-19(16,17)18;/h2-13H2,1H3,(H,16,17,18);/q;+1/p-1",10.1021/ci600462d,10.1006/jcis.1996.4680,huibers1997,2.174,0.0066988460941652655
C13C(OH)C2SO3Na,40.0,huibers1997,,CCCCCCCCCCCCCC(O)CCS(=O)(=O)[O-].[Na+],344.493,"InChI=1S/C16H34O4S.Na/c1-2-3-4-5-6-7-8-9-10-11-12-13-16(17)14-15-21(18,19)20;/h16-17H,2-15H2,1H3,(H,18,19,20);/q;+1/p-1",10.1021/ci600462d,10.1006/jcis.1996.4680,huibers1997,2.839,0.0014487718535447617
C13C(OC)C2SO3Na,40.0,huibers1997,,CCCCCCCCCCCCCC(CCS(=O)(=O)[O-])OC.[Na+],358.52,"InChI=1S/C17H36O4S.Na/c1-3-4-5-6-7-8-9-10-11-12-13-14-17(21-2)15-16-22(18,19)20;/h17H,3-16H2,1-2H3,(H,18,19,20);/q;+1/p-1",10.1021/ci600462d,10.1006/jcis.1996.4680,huibers1997,3.472,0.0003372873086588689
C13C(OC3)C2SO3Na,40.0,huibers1997,,CCCCCCCCCCCCCC(CCS(=O)(=O)[O-])OCCC.[Na+],386.57400000000007,"InChI=1S/C19H40O4S.Na/c1-3-5-6-7-8-9-10-11-12-13-14-15-19(23-17-4-2)16-18-24(20,21)22;/h19H,3-18H2,1-2H3,(H,20,21,22);/q;+1/p-1",10.1021/ci600462d,10.1006/jcis.1996.4680,huibers1997,4.089,8.147042840208389e-05
C13C(OC4)C2SO3Na,40.0,huibers1997,,CCCCCCCCCCCCCC(CCS(=O)(=O)[O-])OCCCC.[Na+],400.6010000000001,"InChI=1S/C20H42O4S.Na/c1-3-5-7-8-9-10-11-12-13-14-15-16-20(24-18-6-4-2)17-19-25(21,22)23;/h20H,3-19H2,1-2H3,(H,21,22,23);/q;+1/p-1",10.1021/ci600462d,10.1006/jcis.1996.4680,huibers1997,4.458,3.4833731503601165e-05
C13C(O)C2SO3Na,40.0,huibers1997,,CCCCCCCCCCCCCC(=O)CCS(=O)(=O)[O-].[Na+],342.477,"InChI=1S/C16H32O4S.Na/c1-2-3-4-5-6-7-8-9-10-11-12-13-16(17)14-15-21(18,19)20;/h2-15H2,1H3,(H,18,19,20);/q;+1/p-1",10.1021/ci600462d,10.1006/jcis.1996.4680,huibers1997,2.735,0.0018407720014689563
C15C(OH)C2SO3Na,40.0,huibers1997,,CCCCCCCCCCCCCCCC(O)CCS(=O)(=O)[O-].[Na+],372.547,"InChI=1S/C18H38O4S.Na/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-18(19)16-17-23(20,21)22;/h18-19H,2-17H2,1H3,(H,20,21,22);/q;+1/p-1",10.1021/ci600462d,10.1006/jcis.1996.4680,huibers1997,3.42,0.00038018939632056124
C10EOSO3Na,40.0,huibers1997,,CCCCCCCCCCOCCS(=O)(=O)[O-].[Na+],288.385,"InChI=1S/C12H26O4S.Na/c1-2-3-4-5-6-7-8-9-10-16-11-12-17(13,14)15;/h2-12H2,1H3,(H,13,14,15);/q;+1/p-1",10.1021/ci600462d,10.1006/jcis.1996.4680,huibers1997,1.787,0.016330519478943345
C10C(C(OH))SO3Na,40.0,huibers1997,,CCCCCCCCCCC(CO)S(=O)(=O)[O-].[Na+],288.385,"InChI=1S/C12H26O4S.Na/c1-2-3-4-5-6-7-8-9-10-12(11-13)17(14,15)16;/h12-13H,2-11H2,1H3,(H,14,15,16);/q;+1/p-1",10.1021/ci600462d,10.1006/jcis.1996.4680,huibers1997,1.787,0.016330519478943345
C12C(C(OH))SO3Na,40.0,huibers1997,,CCCCCCCCCCCCC(CO)S(=O)(=O)[O-].[Na+],316.439,"InChI=1S/C14H30O4S.Na/c1-2-3-4-5-6-7-8-9-10-11-12-14(13-15)19(16,17)18;/h14-15H,2-13H2,1H3,(H,16,17,18);/q;+1/p-1",10.1021/ci600462d,10.1006/jcis.1996.4680,huibers1997,2.432,0.003698281797802663
C6CO2CSO3Na,40.0,huibers1997,,CCCCCCOC(=O)CS(=O)(=O)[O-].[Na+],246.26,"InChI=1S/C8H16O5S.Na/c1-2-3-4-5-6-13-8(9)7-14(10,11)12;/h2-7H2,1H3,(H,10,11,12);/q;+1/p-1",10.1021/ci600462d,10.1006/jcis.1996.4680,huibers1997,0.733,0.18492686189780783
C8CO2CSO3Na,40.0,huibers1997,,CCCCCCCCOC(=O)CS(=O)(=O)[O-].[Na+],274.31399999999996,"InChI=1S/C10H20O5S.Na/c1-2-3-4-5-6-7-8-15-10(11)9-16(12,13)14;/h2-9H2,1H3,(H,12,13,14);/q;+1/p-1",10.1021/ci600462d,10.1006/jcis.1996.4680,huibers1997,1.144,0.07177942912713618
C10CO2CSO3Na,40.0,huibers1997,,CCCCCCCCCCOC(=O)CS(=O)(=O)[O-].[Na+],302.368,"InChI=1S/C12H24O5S.Na/c1-2-3-4-5-6-7-8-9-10-17-12(13)11-18(14,15)16;/h2-11H2,1H3,(H,14,15,16);/q;+1/p-1",10.1021/ci600462d,10.1006/jcis.1996.4680,huibers1997,1.621,0.023933157564053877
C14CO2C2SO3Na,40.0,huibers1997,,CCCCCCCCCCCCCCOC(=O)CCS(=O)(=O)[O-].[Na+],372.50300000000004,"InChI=1S/C17H34O5S.Na/c1-2-3-4-5-6-7-8-9-10-11-12-13-15-22-17(18)14-16-23(19,20)21;/h2-16H2,1H3,(H,19,20,21);/q;+1/p-1",10.1021/ci600462d,10.1006/jcis.1996.4680,huibers1997,3.046,0.0008994975815300356
C10C(CO2C)SO3Na,40.0,huibers1997,,CCCCCCCCCCC(C(=O)OC)S(=O)(=O)[O-].[Na+],316.39500000000004,"InChI=1S/C13H26O5S.Na/c1-3-4-5-6-7-8-9-10-11-12(13(14)18-2)19(15,16)17;/h12H,3-11H2,1-2H3,(H,15,16,17);/q;+1/p-1",10.1021/ci600462d,10.1006/jcis.1996.4680,huibers1997,1.986,0.010327614057613975
C12C(CO2C)SO3Na,40.0,huibers1997,,CCCCCCCCCCCCC(C(=O)OC)S(=O)(=O)[O-].[Na+],344.449,"InChI=1S/C15H30O5S.Na/c1-3-4-5-6-7-8-9-10-11-12-13-14(15(16)20-2)21(17,18)19;/h14H,3-13H2,1-2H3,(H,17,18,19);/q;+1/p-1",10.1021/ci600462d,10.1006/jcis.1996.4680,huibers1997,2.583,0.0026121613543992053
C14C(CO2C)SO3Na,40.0,huibers1997,,CCCCCCCCCCCCCCC(C(=O)OC)S(=O)(=O)[O-].[Na+],372.50300000000004,"InChI=1S/C17H34O5S.Na/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16(17(18)22-2)23(19,20)21;/h16H,3-15H2,1-2H3,(H,19,20,21);/q;+1/p-1",10.1021/ci600462d,10.1006/jcis.1996.4680,huibers1997,3.398,0.00039994474976109734
C14C(CO2C2)SO3Na,40.0,huibers1997,,CCCCCCCCCCCCCCC(C(=O)OCC)S(=O)(=O)[O-].[Na+],386.5300000000001,"InChI=1S/C18H36O5S.Na/c1-3-5-6-7-8-9-10-11-12-13-14-15-16-17(24(20,21)22)18(19)23-4-2;/h17H,3-16H2,1-2H3,(H,20,21,22);/q;+1/p-1",10.1021/ci600462d,10.1006/jcis.1996.4680,huibers1997,3.509,0.0003097419299216581
C14C(CO2C3)SO3Na,40.0,huibers1997,,CCCCCCCCCCCCCCC(C(=O)OCCC)S(=O)(=O)[O-].[Na+],400.55700000000013,"InChI=1S/C19H38O5S.Na/c1-3-5-6-7-8-9-10-11-12-13-14-15-16-18(25(21,22)23)19(20)24-17-4-2;/h18H,3-17H2,1-2H3,(H,21,22,23);/q;+1/p-1",10.1021/ci600462d,10.1006/jcis.1996.4680,huibers1997,3.964,0.00010864256236170655
C16C(CO2C)SO3Na,40.0,huibers1997,,CCCCCCCCCCCCCCCCC(C(=O)OC)S(=O)(=O)[O-].[Na+],400.5570000000001,"InChI=1S/C19H38O5S.Na/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19(20)24-2)25(21,22)23;/h18H,3-17H2,1-2H3,(H,21,22,23);/q;+1/p-1",10.1021/ci600462d,10.1006/jcis.1996.4680,huibers1997,4.0,0.0001
C16C(CO2C2)SO3Na,40.0,huibers1997,,CCCCCCCCCCCCCCCCC(C(=O)OCC)S(=O)(=O)[O-].[Na+],414.5840000000001,"InChI=1S/C20H40O5S.Na/c1-3-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19(26(22,23)24)20(21)25-4-2;/h19H,3-18H2,1-2H3,(H,22,23,24);/q;+1/p-1",10.1021/ci600462d,10.1006/jcis.1996.4680,huibers1997,4.106,7.83429642766212e-05
C16C(CO2C3)SO3Na,40.0,huibers1997,,CCCCCCCCCCCCCCCCC(C(=O)OCCC)S(=O)(=O)[O-].[Na+],428.61100000000016,"InChI=1S/C21H42O5S.Na/c1-3-5-6-7-8-9-10-11-12-13-14-15-16-17-18-20(27(23,24)25)21(22)26-19-4-2;/h20H,3-19H2,1-2H3,(H,23,24,25);/q;+1/p-1",10.1021/ci600462d,10.1006/jcis.1996.4680,huibers1997,4.899,1.2618275345906706e-05
C16C(CO2C(C)C)SO3Na,40.0,huibers1997,,CCCCCCCCCCCCCCCCC(C(=O)OC(C)C)S(=O)(=O)[O-].[Na+],428.6110000000001,"InChI=1S/C21H42O5S.Na/c1-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-20(27(23,24)25)21(22)26-19(2)3;/h19-20H,4-18H2,1-3H3,(H,23,24,25);/q;+1/p-1",10.1021/ci600462d,10.1006/jcis.1996.4680,huibers1997,4.569,2.6977394324449205e-05
C4C(C2)CCO2CC(SO3Na)-CO2CC(C2)C4,40.0,huibers1997,,CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S(=O)(=O)[O-].[Na+],444.5660000000003,"InChI=1S/C20H38O7S.Na/c1-5-9-11-16(7-3)14-26-19(21)13-18(28(23,24)25)20(22)27-15-17(8-4)12-10-6-2;/h16-18H,5-15H2,1-4H3,(H,23,24,25);/q;+1/p-1",10.1021/ci600462d,10.1006/jcis.1996.4680,huibers1997,2.566,0.0027164392688390836
C4CO2C(SO3Na)CCO2C4,40.0,huibers1997,,CCCCOC(=O)CC(C(=O)OCCCC)S(=O)(=O)[O-].[Na+],332.35000000000014,"InChI=1S/C12H22O7S.Na/c1-3-5-7-18-11(13)9-10(20(15,16)17)12(14)19-8-6-4-2;/h10H,3-9H2,1-2H3,(H,15,16,17);/q;+1/p-1",10.1021/ci600462d,10.1006/jcis.1996.4680,huibers1997,0.663,0.21727011788637443
C5CO2C(SO3Na)CCO2C5,40.0,huibers1997,,CCCCCOC(=O)CC(C(=O)OCCCCC)S(=O)(=O)[O-].[Na+],360.4040000000002,"InChI=1S/C14H26O7S.Na/c1-3-5-7-9-20-13(15)11-12(22(17,18)19)14(16)21-10-8-6-4-2;/h12H,3-11H2,1-2H3,(H,17,18,19);/q;+1/p-1",10.1021/ci600462d,10.1006/jcis.1996.4680,huibers1997,1.239,0.05767664633922506
C6CO2C(SO3Na)CCO2C6,40.0,huibers1997,,CCCCCCOC(=O)CC(C(=O)OCCCCCC)S(=O)(=O)[O-].[Na+],388.45800000000037,"InChI=1S/C16H30O7S.Na/c1-3-5-7-9-11-22-15(17)13-14(24(19,20)21)16(18)23-12-10-8-6-4-2;/h14H,3-13H2,1-2H3,(H,19,20,21);/q;+1/p-1",10.1021/ci600462d,10.1006/jcis.1996.4680,huibers1997,1.817,0.015240527537972915
