Surfactant,CMC no salt (mol/L),CMC with salt (mol/l),Amin No salt (nm2),Amin With salt (nm2),γCMC no salt (mN/m),γCMC with salt (mN/m),pC20 no salt,pC20 with salt,Temp_Celsius,source_doi,reference_doi,SMILES,method
C10-4-10PB,0.00336,0.00264,1.6,1.13,39.1,38.2,3.22,4.26,25.0,10.1016/j.jcis.2011.12.025,,CCCCCCCCCC[N+]1(CCCC[N+]2(CCCCCCCCCC)CCCC2)CCCC1.[Br-].[Br-],tensiometry
C12-4-12PB,0.000617,0.000294,1.72,1.21,38.1,37.5,4.08,5.31,25.0,10.1016/j.jcis.2011.12.025,,CCCCCCCCCCCC[N+]1(CCCC[N+]2(CCCCCCCCCCCC)CCCC2)CCCC1.[Br-].[Br-],tensiometry
C14-4-14PB,8.7e-05,4.39e-05,1.82,1.31,38.0,37.0,4.97,6.38,25.0,10.1016/j.jcis.2011.12.025,,CCCCCCCCCCCCCC[N+]1(CCCC[N+]2(CCCCCCCCCCCCCC)CCCC2)CCCC1.[Br-].[Br-],tensiometry
C16-4-16PB,1.5e-05,5.81e-06,1.88,1.38,37.6,36.5,5.64,7.57,25.0,10.1016/j.jcis.2011.12.025,,CCCCCCCCCCCCCCCC[N+]1(CCCC[N+]2(CCCCCCCCCCCCCCCC)CCCC2)CCCC1.[Br-].[Br-],tensiometry
