x in 12-EOx-12,cmc (10-4 mol‚L-1),γcmc (mN‚m-1),-[dγ/d log c]T,asur (n = 2) (nm2),asur (n = 3) (nm2),asur (SANS) (nm2),asur (SANS) 10 wt% (nm2),SMILES,Temp_Celsius,source_doi,reference_doi
1,8.0,38.2,28.9,0.655,0.983,1.308,1.363,CCCCCCCCCCCC[N+](C)(C)CCOCC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],25.0,10.1021/la981354v,
2,9.2,41.0,23.7,0.8,1.2,1.417,1.442,CCCCCCCCCCCC[N+](C)(C)CCOCCOCC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],25.0,10.1021/la981354v,
3,8.6,40.8,23.1,0.818,1.23,1.648,1.525,CCCCCCCCCCCC[N+](C)(C)CCOCCOCCOCC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],25.0,10.1021/la981354v,
4,9.0,42.1,20.6,0.921,1.382,1.826,1.774,CCCCCCCCCCCC[N+](C)(C)CCOCCOCCOCCOCC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],25.0,10.1021/la981354v,
5,12.3,42.0,17.8,1.065,1.597,,,CCCCCCCCCCCC[N+](C)(C)CCOCCOCCOCCOCCOCC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],25.0,10.1021/la981354v,
