Compound,CMC (mM),C20 (mM),cCMC (mN m-1),pC20,CMC/C20,Gamma max x 10^6(mol m-2),A X 10^20 (m2),SMILES,Temp_Celsius,source_doi,reference_doi
4a,0.622,0.061,34.78,4.21,10.19,2.8,59.3,CCCCCCCCCC[N+](C)(C)CC(O)COCC(C)(COCC(O)C[N+](C)(C)CCCCCCCCCC)COCC(O)C[N+](C)(C)CCCCCCCCCC.[Cl-].[Cl-].[Cl-],20.0,10.1007/s11743-007-1052-4,
4b,0.223,0.02,34.03,4.7,11.15,2.88,57.54,CCCCCCCCCCCCCC[N+](C)(C)CC(O)COCC(C)(COCC(O)C[N+](C)(C)CCCCCCCCCCCCCC)COCC(O)C[N+](C)(C)CCCCCCCCCCCCCC.[Cl-].[Cl-].[Cl-],20.0,10.1007/s11743-007-1052-4,
4c,0.049,0.005,33.02,5.39,9.8,2.94,56.5,CCCCCCCCCCCCCCCCCC[N+](C)(C)CC(O)COCC(C)(COCC(O)C[N+](C)(C)CCCCCCCCCCCCCCCCCC)COCC(O)C[N+](C)(C)CCCCCCCCCCCCCCCCCC.[Cl-].[Cl-].[Cl-],20.0,10.1007/s11743-007-1052-4,
