ID in paper,SMILES,CMC (mM) note: took CMC determined via tensiometry which is superior to NMR ,gamma_CMC (mN/m),Kraft temperature (Celsius),Temperature (Celsius),Gamma max (umol / m2),A (nm2),source_doi,reference_doi
F4PH3OS,FC(F)(C(C=CC1C(OS([O-])(=O)=O)CCC)=CC=1)C(F)(F)C(F)(F)C(F)(F)F.[Na+],7.0,19.0,<0,27,2.5,0.66,10.1016/j.jfluchem.2003.08.007,
F4PH5OS,FC(F)(C(=CC=C1C(OS([O-])(=O)=O)CCCCC)C=C1)C(F)(F)C(F)(F)C(F)(F)F.[Na+],3.0,19.0,<0,27,1.7,0.99,10.1016/j.jfluchem.2003.08.007,
F4PH7OS,FC(F)(C(=CC=C1C(OS([O-])(=O)=O)CCCCCCC)C=C1)C(F)(F)C(F)(F)C(F)(F)F.[Na+],1.3,20.0,8,27,1.6,1.04,10.1016/j.jfluchem.2003.08.007,
F6PH3OS,FC(F)(C(C=CC1C(CCC)OS(=O)([O-])=O)=CC=1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Na+],0.9,18.0,<0,27,2.1,0.8,10.1016/j.jfluchem.2003.08.007,
F6PH5OS,FC(F)(C(=CC=C1C(CCCCC)OS(=O)(=O)[O-])C=C1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Na+],0.34,20.0,14,27,1.6,1.04,10.1016/j.jfluchem.2003.08.007,
F6PH7OS,FC(F)(C(C=CC1C(CCCCCCC)OS([O-])(=O)=O)=CC=1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Na+],,,43,27,,,10.1016/j.jfluchem.2003.08.007,
F8PH3OS,FC(F)(C(C=CC1C(CCC)OS([O-])(=O)=O)=CC=1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Na+],0.08,20.0,16,27,1.8,0.94,10.1016/j.jfluchem.2003.08.007,
F8PH5OS,FC(F)(C(=CC=C1C(CCCCC)OS(=O)([O-])=O)C=C1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Na+],,,32,27,,,10.1016/j.jfluchem.2003.08.007,
F8PH7OS,FC(F)(C(C=CC1C(OS([O-])(=O)=O)CCCCCCC)=CC=1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Na+],,,76,27,,,10.1016/j.jfluchem.2003.08.007,
