identifier,CMC,AW_ST_CMC,source_doi,reference_doi,SMILES,Temp_Celsius,method,Molecular_Weight,InChI,pCMC
C12-BHDM,0.000152,28.88,10.1016/j.jiec.2012.01.040,,CCCCCCCCCCCCOCC(O)C[N+](C)(C)CC(O)COCCCCCCCCCCCC.COS(=O)(=O)[O-],25.0,tensiometry,641.9970000000006,"InChI=1S/C32H68NO4.CH4O4S/c1-5-7-9-11-13-15-17-19-21-23-25-36-29-31(34)27-33(3,4)28-32(35)30-37-26-24-22-20-18-16-14-12-10-8-6-2;1-5-6(2,3)4/h31-32,34-35H,5-30H2,1-4H3;1H3,(H,2,3,4)/q+1;/p-1",3.8181564120552274
C12-TMDA,0.000232,31.29,10.1016/j.jiec.2012.01.040,,CCCCCCCCCCCCOCC(O)C[N+](C)(C)CC(O)C[N+](C)(C)CC(O)COCCCCCCCCCCCC.[Cl-].[Cl-],25.0,tensiometry,703.9620000000004,"InChI=1S/C37H80N2O5.2ClH/c1-7-9-11-13-15-17-19-21-23-25-27-43-33-36(41)31-38(3,4)29-35(40)30-39(5,6)32-37(42)34-44-28-26-24-22-20-18-16-14-12-10-8-2;;/h35-37,40-42H,7-34H2,1-6H3;2*1H/q+2;;/p-2",3.6345120151091
C12-BADM,0.000312,32.55,10.1016/j.jiec.2012.01.040,,CCCCCCCCCCCCOCC(O)C[N+](C)(C)CC(O)C[N+](C)(C)CC(O)C[N+](C)(C)CC(O)COCCCCCCCCCCCC.COS(=O)(=O)[O-].[Cl-].[Cl-],25.0,tensiometry,917.2170000000001,"InChI=1S/C42H92N3O6.CH4O4S.2ClH/c1-9-11-13-15-17-19-21-23-25-27-29-50-37-41(48)35-44(5,6)33-39(46)31-43(3,4)32-40(47)34-45(7,8)36-42(49)38-51-30-28-26-24-22-20-18-16-14-12-10-2;1-5-6(2,3)4;;/h39-42,46-49H,9-38H2,1-8H3;1H3,(H,2,3,4);2*1H/q+3;;;/p-3",3.505845405981557
