identifier,AW_ST_CMC,pC20,Area_min,reference_doi,source_doi,method,SMILES,InChI,Molecular_Weight,Temp_Celsius,CMC,pCMC,Gamma_max,C20
C14DLPB,,,,,10.1016/j.colsurfa.2013.08.009,conductometry,CCCCCCCCCCCCCC[N+](C)(C)CCCNC(=O)[C@H](O)[C@@H](O)[C@H](O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)CO.[Br-],"InChI=1S/C31H62N2O11.BrH/c1-4-5-6-7-8-9-10-11-12-13-14-15-18-33(2,3)19-16-17-32-30(42)27(40)26(39)29(22(36)20-34)44-31-28(41)25(38)24(37)23(21-35)43-31;/h22-29,31,34-41H,4-21H2,1-3H3;1H/t22-,23-,24+,25+,26-,27-,28-,29-,31+;/m1./s1",719.7520000000009,31.0,0.00195,2.709965388637482,,
C14DLPB,,,,,10.1016/j.colsurfa.2013.08.009,conductometry,CCCCCCCCCCCCCC[N+](C)(C)CCCNC(=O)[C@H](O)[C@@H](O)[C@H](O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)CO.[Br-],"InChI=1S/C31H62N2O11.BrH/c1-4-5-6-7-8-9-10-11-12-13-14-15-18-33(2,3)19-16-17-32-30(42)27(40)26(39)29(22(36)20-34)44-31-28(41)25(38)24(37)23(21-35)43-31;/h22-29,31,34-41H,4-21H2,1-3H3;1H/t22-,23-,24+,25+,26-,27-,28-,29-,31+;/m1./s1",719.7520000000009,36.0,0.00209,2.679853713888946,,
C14DLPB,,,,,10.1016/j.colsurfa.2013.08.009,conductometry,CCCCCCCCCCCCCC[N+](C)(C)CCCNC(=O)[C@H](O)[C@@H](O)[C@H](O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)CO.[Br-],"InChI=1S/C31H62N2O11.BrH/c1-4-5-6-7-8-9-10-11-12-13-14-15-18-33(2,3)19-16-17-32-30(42)27(40)26(39)29(22(36)20-34)44-31-28(41)25(38)24(37)23(21-35)43-31;/h22-29,31,34-41H,4-21H2,1-3H3;1H/t22-,23-,24+,25+,26-,27-,28-,29-,31+;/m1./s1",719.7520000000009,41.0,0.00213,2.6716203965612624,,
C12DLPB,,,,,10.1016/j.colsurfa.2013.08.009,conductometry,CCCCCCCCCCCC[N+](C)(C)CCCNC(=O)[C@H](O)[C@@H](O)[C@H](O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)CO.[Br-],"InChI=1S/C29H58N2O11.BrH/c1-4-5-6-7-8-9-10-11-12-13-16-31(2,3)17-14-15-30-28(40)25(38)24(37)27(20(34)18-32)42-29-26(39)23(36)22(35)21(19-33)41-29;/h20-27,29,32-39H,4-19H2,1-3H3;1H/t20-,21-,22+,23+,24-,25-,26-,27-,29+;/m1./s1",691.6980000000007,26.0,0.005030000000000001,2.2984320149440727,,
C12DLPB,,,,,10.1016/j.colsurfa.2013.08.009,conductometry,CCCCCCCCCCCC[N+](C)(C)CCCNC(=O)[C@H](O)[C@@H](O)[C@H](O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)CO.[Br-],"InChI=1S/C29H58N2O11.BrH/c1-4-5-6-7-8-9-10-11-12-13-16-31(2,3)17-14-15-30-28(40)25(38)24(37)27(20(34)18-32)42-29-26(39)23(36)22(35)21(19-33)41-29;/h20-27,29,32-39H,4-19H2,1-3H3;1H/t20-,21-,22+,23+,24-,25-,26-,27-,29+;/m1./s1",691.6980000000007,31.0,0.00521,2.2831622767004753,,
C12DLPB,,,,,10.1016/j.colsurfa.2013.08.009,conductometry,CCCCCCCCCCCC[N+](C)(C)CCCNC(=O)[C@H](O)[C@@H](O)[C@H](O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)CO.[Br-],"InChI=1S/C29H58N2O11.BrH/c1-4-5-6-7-8-9-10-11-12-13-16-31(2,3)17-14-15-30-28(40)25(38)24(37)27(20(34)18-32)42-29-26(39)23(36)22(35)21(19-33)41-29;/h20-27,29,32-39H,4-19H2,1-3H3;1H/t20-,21-,22+,23+,24-,25-,26-,27-,29+;/m1./s1",691.6980000000007,36.0,0.00549,2.260427655549908,,
C12DLPB,,,,,10.1016/j.colsurfa.2013.08.009,conductometry,CCCCCCCCCCCC[N+](C)(C)CCCNC(=O)[C@H](O)[C@@H](O)[C@H](O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)CO.[Br-],"InChI=1S/C29H58N2O11.BrH/c1-4-5-6-7-8-9-10-11-12-13-16-31(2,3)17-14-15-30-28(40)25(38)24(37)27(20(34)18-32)42-29-26(39)23(36)22(35)21(19-33)41-29;/h20-27,29,32-39H,4-19H2,1-3H3;1H/t20-,21-,22+,23+,24-,25-,26-,27-,29+;/m1./s1",691.6980000000007,41.0,0.00562,2.250263684430939,,
C10DLPB,,,,,10.1016/j.colsurfa.2013.08.009,conductometry,CCCCCCCCCC[N+](C)(C)CCCNC(=O)[C@H](O)[C@@H](O)[C@H](O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)CO.[Br-],"InChI=1S/C27H54N2O11.BrH/c1-4-5-6-7-8-9-10-11-14-29(2,3)15-12-13-28-26(38)23(36)22(35)25(18(32)16-30)40-27-24(37)21(34)20(33)19(17-31)39-27;/h18-25,27,30-37H,4-17H2,1-3H3;1H/t18-,19-,20+,21+,22-,23-,24-,25-,27+;/m1./s1",663.6440000000006,26.0,0.01269,1.8965383779052953,,
C10DLPB,,,,,10.1016/j.colsurfa.2013.08.009,conductometry,CCCCCCCCCC[N+](C)(C)CCCNC(=O)[C@H](O)[C@@H](O)[C@H](O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)CO.[Br-],"InChI=1S/C27H54N2O11.BrH/c1-4-5-6-7-8-9-10-11-14-29(2,3)15-12-13-28-26(38)23(36)22(35)25(18(32)16-30)40-27-24(37)21(34)20(33)19(17-31)39-27;/h18-25,27,30-37H,4-17H2,1-3H3;1H/t18-,19-,20+,21+,22-,23-,24-,25-,27+;/m1./s1",663.6440000000006,31.0,0.01295,1.8877302315827293,,
C10DLPB,,,,,10.1016/j.colsurfa.2013.08.009,conductometry,CCCCCCCCCC[N+](C)(C)CCCNC(=O)[C@H](O)[C@@H](O)[C@H](O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)CO.[Br-],"InChI=1S/C27H54N2O11.BrH/c1-4-5-6-7-8-9-10-11-14-29(2,3)15-12-13-28-26(38)23(36)22(35)25(18(32)16-30)40-27-24(37)21(34)20(33)19(17-31)39-27;/h18-25,27,30-37H,4-17H2,1-3H3;1H/t18-,19-,20+,21+,22-,23-,24-,25-,27+;/m1./s1",663.6440000000006,36.0,0.01302,1.8853890157678268,,
C10DLPB,,,,,10.1016/j.colsurfa.2013.08.009,conductometry,CCCCCCCCCC[N+](C)(C)CCCNC(=O)[C@H](O)[C@@H](O)[C@H](O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)CO.[Br-],"InChI=1S/C27H54N2O11.BrH/c1-4-5-6-7-8-9-10-11-14-29(2,3)15-12-13-28-26(38)23(36)22(35)25(18(32)16-30)40-27-24(37)21(34)20(33)19(17-31)39-27;/h18-25,27,30-37H,4-17H2,1-3H3;1H/t18-,19-,20+,21+,22-,23-,24-,25-,27+;/m1./s1",663.6440000000006,41.0,0.01357,1.867420152340263,,
