identifier,CMC [mM],Temp_Celsius,source_doi,reference_doi,SMILES
C18-C1,0.18,33,10.1007/BFb0118160,,CCCCCCCCCCCCCCCCC(S(=O)(=O)[O-])C(=O)OC.[Na+]
C16-C1,0.73,23,10.1007/BFb0118160,,CCCCCCCCCCCCCCC(S(=O)(=O)[O-])C(=O)OC.[Na+]
C14-C1,2.80,13,10.1007/BFb0118160,,CCCCCCCCCCCCC(S(=O)(=O)[O-])C(=O)OC.[Na+]
C14-C2,2.25,25,10.1007/BFb0118160,,CCCCCCCCCCCCC(S(=O)(=O)[O-])C(=O)OCC.[Na+]
C14-C3,1.35,25,10.1007/BFb0118160,,CCCCCCCCCCCCC(S(=O)(=O)[O-])C(=O)OCCC.[Na+]
C14-C4,0.90,25,10.1007/BFb0118160,,CCCCCCCCCCCCC(S(=O)(=O)[O-])C(=O)OCCCC.[Na+]
C14-C5,0.75,25,10.1007/BFb0118160,,CCCCCCCCCCCCC(S(=O)(=O)[O-])C(=O)OCCCCC.[Na+]
