identifier,CMC [mM],Temp_Celsius,source_doi,reference_doi,SMILES
C18-C1,0.18,33,10.1007/BFb0118160,,CCCCCCCCCCCCCCCC[C@H](C(OC)=O)S(=O)([O-])=O.CCCCCCCCCCCCCCCC[C@@H](C(OC)=O)S(=O)([O-])=O.[Na+].[Na+]
C16-C1,0.73,23,10.1007/BFb0118160,,CCCCCCCCCCCCCC[C@H](C(OC)=O)S(=O)([O-])=O.CCCCCCCCCCCCCC[C@@H](C(OC)=O)S(=O)([O-])=O.[Na+].[Na+]
C14-C1,2.80,13,10.1007/BFb0118160,,CCCCCCCCCCCC[C@H](C(OC)=O)S(=O)([O-])=O.CCCCCCCCCCCC[C@@H](C(OC)=O)S(=O)([O-])=O.[Na+].[Na+]
C14-C2,2.25,25,10.1007/BFb0118160,,CCCCCCCCCCCC[C@H](C(OCC)=O)S(=O)([O-])=O.CCCCCCCCCCCC[C@@H](C(OCC)=O)S(=O)([O-])=O.[Na+].[Na+]
C14-C3,1.35,25,10.1007/BFb0118160,,CCCCCCCCCCCC[C@H](C(OCCC)=O)S(=O)([O-])=O.CCCCCCCCCCCC[C@@H](C(OCCC)=O)S(=O)([O-])=O.[Na+].[Na+]
C14-C4,0.90,25,10.1007/BFb0118160,,CCCCCCCCCCCC[C@H](C(OCCCC)=O)S(=O)([O-])=O.CCCCCCCCCCCC[C@@H](C(OCCCC)=O)S(=O)([O-])=O.[Na+].[Na+]
C14-C5,0.75,25,10.1007/BFb0118160,,CCCCCCCCCCCC[C@H](C(OCCCCC)=O)S(=O)([O-])=O.CCCCCCCCCCCC[C@@H](C(OCCCCC)=O)S(=O)([O-])=O.[Na+].[Na+]
