Compounds Name,CMC 10^3 (mol/L),γCMC (mN/m),πCMC (mN/m),Γmax 10^11 (mol/cm2),Amin (nm2),C20 10^3 (mol/L),PC20 (mol/L),cmc/C20,ΔGmic (KJ/mol),ΔGads (KJ/mol),source_doi,SMILES,reference_doi,Temp_Celsius,method
GSCTDH,0.735,27.42,44.38,21.528,77.12,0.027,4.56,26.736,18.179,26.459,10.1080/01932691.2019.1584112,CCCCCCCC1=NCC[N+]1(CCCCCC[N+]1(CCNCCN)CCN=C1CCCCCCC)CCNCCN.[Br-].[Br-],,30.0,tensiometry
GSLTDH,1.021,28.32,43.47,21.425,77.49,0.027,4.698,37.107,17.351,27.261,10.1080/01932691.2019.1584112,CCCCCCCCCCCC1=NCC[N+]1(CCCCCC[N+]1(CCNCCN)CCN=C1CCCCCCCCCCC)CCNCCN.[Br-].[Br-],,30.0,tensiometry
GSMTDH,1.418,29.02,42.77,16.702,99.4,0.019,4.702,71.586,16.523,27.284,10.1080/01932691.2019.1584112,CCCCCCCCCCCCCC1=NCC[N+]1(CCCCCC[N+]1(CCNCCN)CCN=C1CCCCCCCCCCCCC)CCNCCN.[Br-].[Br-],,30.0,tensiometry
GSPTDH,1.496,30.88,40.91,23.097,71.88,0.102,3.989,14.614,16.388,23.145,10.1080/01932691.2019.1584112,CCCCCCCCCCCCCCCC1=NCC[N+]1(CCCCCC[N+]1(CCNCCN)CCN=C1CCCCCCCCCCCCCCC)CCNCCN.[Br-].[Br-],,30.0,tensiometry
