identifier,AW_ST_CMC,Pi_CMC,pC20,Area_min,beta,ΔG0mic (kJ/mol),ΔG0ads (kJ/mol),SMILES,reference_doi,Temp_Celsius,source_doi,method,InChI,Molecular_Weight,CMC,pCMC,Gamma_max,C20
a,39.6,32.4,2.87,0.99,,,,CCCCCCCCCCCC[N+](C)(C)CC(=O)Nc1ncccn1.[Cl-],,25,10.1002/jsde.12221,tensiometry,"InChI=1S/C20H36N4O.ClH/c1-4-5-6-7-8-9-10-11-12-13-17-24(2,3)18-19(25)23-20-21-15-14-16-22-20;/h14-16H,4-13,17-18H2,1-3H3;1H",384.996,0.00608,2.216096420727265,1.6699999999999999e-06,0.0013489628825916532
b,35.13,36.87,3.63,1.13,,,,CCCCCCCCCCCC[N+](C)(C)CC(=O)Nc1nccs1.[Cl-],,25,10.1002/jsde.12221,tensiometry,"InChI=1S/C19H35N3OS.ClH/c1-4-5-6-7-8-9-10-11-12-13-15-22(2,3)17-18(23)21-19-20-14-16-24-19;/h14,16H,4-13,15,17H2,1-3H3;1H",390.03700000000003,0.0024,2.619788758288394,1.47e-06,0.00023442288153199226
c,33.3,38.7,3.73,0.79,,,,CCCCCCCCCCCC[N+](C)(C)CC(=O)Nc1ccccc1.[Cl-],,25,10.1002/jsde.12221,tensiometry,"InChI=1S/C22H38N2O.ClH/c1-4-5-6-7-8-9-10-11-12-16-19-24(2,3)20-22(25)23-21-17-14-13-15-18-21;/h13-15,17-18H,4-12,16,19-20H2,1-3H3;1H",383.02,0.00111,2.9546770212133424,2.09e-06,0.00018620871366628676
BAC-12,38.0,,2.85,1.01,,,,CCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-],10.1039/C4RA07363K,25,10.1002/jsde.12221,tensiometry,"InChI=1S/C21H38N.ClH/c1-4-5-6-7-8-9-10-11-12-16-19-22(2,3)20-21-17-14-13-15-18-21;/h13-15,17-18H,4-12,16,19-20H2,1-3H3;1H/q+1;/p-1",339.995,0.00908,2.041914151478915,1.64e-06,0.001412537544622754
a,,,,,0.49,-31.82,-54.22,CCCCCCCCCCCC[N+](C)(C)CC(=O)Nc1ncccn1.[Cl-],,25,10.1002/jsde.12221,conductometry,"InChI=1S/C20H36N4O.ClH/c1-4-5-6-7-8-9-10-11-12-13-17-24(2,3)18-19(25)23-20-21-15-14-16-22-20;/h14-16H,4-13,17-18H2,1-3H3;1H",384.996,0.009470000000000001,2.0236500209967265,,
b,,,,,0.46,-33.89,-58.97,CCCCCCCCCCCC[N+](C)(C)CC(=O)Nc1nccs1.[Cl-],,25,10.1002/jsde.12221,conductometry,"InChI=1S/C19H35N3OS.ClH/c1-4-5-6-7-8-9-10-11-12-13-15-22(2,3)17-18(23)21-19-20-14-16-24-19;/h14,16H,4-13,15,17H2,1-3H3;1H",390.03700000000003,0.0048200000000000005,2.3169529617611504,,
c,,,,,0.54,-41.26,-59.77,CCCCCCCCCCCC[N+](C)(C)CC(=O)Nc1ccccc1.[Cl-],,25,10.1002/jsde.12221,conductometry,"InChI=1S/C22H38N2O.ClH/c1-4-5-6-7-8-9-10-11-12-16-19-24(2,3)20-22(25)23-21-17-14-13-15-18-21;/h13-15,17-18H,4-12,16,19-20H2,1-3H3;1H",383.02,0.0022400000000000002,2.6497519816658373,,
BAC-12,,,,,0.59,-34.2,,CCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-],10.1039/C4RA07363K,25,10.1002/jsde.12221,conductometry,"InChI=1S/C21H38N.ClH/c1-4-5-6-7-8-9-10-11-12-16-19-22(2,3)20-21-17-14-13-15-18-21;/h13-15,17-18H,4-12,16,19-20H2,1-3H3;1H/q+1;/p-1",339.995,0.00951,2.021819483062586,,
