identifier,AW_ST_CMC,pC20,Area_min,Temp_Celsius,source_doi,reference_doi,SMILES,CMC,Gamma_max,pCMC,C20,Molecular_Weight,InChI
DTAB,39.0,2.1,,25.0,10.1016/j.jcis.2012.04.052,10.1021/la060156y,CCCCCCCCCCCC[N+](C)(C)C.[Br-],0.015,,1.8239087409443189,0.007943282347242814,308.34799999999996,"InChI=1S/C15H34N.BrH/c1-5-6-7-8-9-10-11-12-13-14-15-16(2,3)4;/h5-15H2,1-4H3;1H/q+1;/p-1"
DTAB,,,0.66,25.0,10.1016/j.jcis.2012.04.052,10.1021/jp802243f,CCCCCCCCCCCC[N+](C)(C)C.[Br-],,,,,308.34799999999996,"InChI=1S/C15H34N.BrH/c1-5-6-7-8-9-10-11-12-13-14-15-16(2,3)4;/h5-15H2,1-4H3;1H/q+1;/p-1"
DTAAB,37.3,2.9,0.83,25.0,10.1016/j.jcis.2012.04.052,,CCCCCCCCCCCC[N+](C)(C)CCOC(C)=O.[Br-],0.011890000000000001,2.01e-06,1.9248181453813085,0.0012589254117941675,380.411,"InChI=1S/C18H38NO2.BrH/c1-5-6-7-8-9-10-11-12-13-14-15-19(3,4)16-17-21-18(2)20;/h5-17H2,1-4H3;1H/q+1;/p-1"
12-fo-12,41.2,4.05,2.24,25.0,10.1016/j.jcis.2012.04.052,,CCCCCCCCCCCC[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],0.00061,7.4e-07,3.214670164989233,8.912509381337459e-05,758.8060000000005,"InChI=1S/C36H74N2O4.2BrH/c1-7-9-11-13-15-17-19-21-23-25-29-37(3,4)31-33-41-35(39)27-28-36(40)42-34-32-38(5,6)30-26-24-22-20-18-16-14-12-10-8-2;;/h7-34H2,1-6H3;2*1H/q+2;;/p-2"
12-su-12,37.8,3.83,1.17,25.0,10.1016/j.jcis.2012.04.052,,CCCCCCCCCCCC[N+](C)(C)CCOC(=O)/C=C/C(=O)OCC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],0.00054,1.4099999999999998e-06,3.2676062401770314,0.00014791083881682073,756.7900000000004,"InChI=1S/C36H72N2O4.2BrH/c1-7-9-11-13-15-17-19-21-23-25-29-37(3,4)31-33-41-35(39)27-28-36(40)42-34-32-38(5,6)30-26-24-22-20-18-16-14-12-10-8-2;;/h27-28H,7-26,29-34H2,1-6H3;2*1H/q+2;;/p-2/b28-27+;;"
