Compound,"CMC, mM=L","πcmc, mN=m","Pc20, mM=L",Γmax,"Amin, nm2","ΔGmic, kJ . mol-1","ΔGads, kJ . mol-1",source_doi,reference_doi,Temp_Celsius,SMILES
SB8DQ,5.89,32.10,0.309,0.810,2.076,7.17,7.66,10.1080/01932690903269784,,25.0,CCCCCCCCCCOC(=O)C[N+](CC)(CC)c1ccc(C=NCCN=Cc2ccc([N+](CC)(CC)CC(=O)OCCCCCCCC)cc2)cc1.[Cl-].[Cl-]
SB10DQ,2.82,34.25,0.186,1.050,1.582,8.19,11.69,10.1080/01932690903269784,,25.0,CCCCCCCCCCOC(=O)C[N+](CC)(CC)c1ccc(C=NCCN=Cc2ccc([N+](CC)(CC)CC(=O)OCCCCCCCCCC)cc2)cc1.[Cl-].[Cl-]
SB12DQ,2.45,38.20,0.115,1.180,1.408,8.25,11.46,10.1080/01932690903269784,,25.0,CCCCCCCCCCCCOC(=O)C[N+](CC)(CC)c1ccc(C=NCCN=Cc2ccc([N+](CC)(CC)CC(=O)OCCCCCCCCCCCC)cc2)cc1.[Cl-].[Cl-]
SB16DQ,6.46,29.70,0.457,0.733,2.266,7.04,7.60,10.1080/01932690903269784,,25.0,CCCCCCCCCCCCCCCCOC(=O)C[N+](CC)(CC)c1ccc(C=NCCN=Cc2ccc([N+](CC)(CC)CC(=O)OCCCCCCCCCCCCCCCC)cc2)cc1.[Cl-].[Cl-]
