Gemini Surfactant,cmcγ 10-4 mol/L,cmcγ err 10-4 mol/L,cmcσ 10-4 mol/L,cmcσ err 10-4 mol/L,γcmc mN/m,A nm2,A err nm2,a,a err,∆Gmic kJ/mol,∆Gmic err kJ/mol,Temp_Celsius,source_doi,reference_doi,SMILES
13-3-13,6.08,0.21,7.35,0.43,36.0,1.03,0.12,0.25,0.02,-69.6,0.9,25.0,10.3390/molecules24234380,,C(CCCCCCCCCCC)(C)[N+](C)(C)CCC[N+](C)(C)C(C)(CCCCCCCCCCC).[Br-].[Br-]
13-4-13,9.85,0.09,9.2,0.21,39.4,1.39,0.05,0.27,0.02,-67.1,0.7,25.0,10.3390/molecules24234380,,C(CCCCCCCCCCC)(C)[N+](C)(C)CCCC[N+](C)(C)C(C)(CCCCCCCCCCC).[Br-].[Br-]
13-5-13,8.41,0.07,9.12,0.38,41.0,1.28,0.07,0.35,0.03,-61.1,0.7,25.0,10.3390/molecules24234380,,C(CCCCCCCCCCC)(C)[N+](C)(C)CCCCC[N+](C)(C)C(C)(CCCCCCCCCCC).[Br-].[Br-]
13-6-13,8.22,0.13,8.68,0.47,40.8,1.42,0.04,0.47,0.03,-56.5,0.9,25.0,10.3390/molecules24234380,,C(CCCCCCCCCCC)(C)[N+](C)(C)CCCCCC[N+](C)(C)C(C)(CCCCCCCCCCC).[Br-].[Br-]
13-8-13,6.47,0.15,8.13,0.54,43.3,1.91,0.11,0.53,0.01,-53.5,1.0,25.0,10.3390/molecules24234380,,C(CCCCCCCCCCC)(C)[N+](C)(C)CCCCCCCC[N+](C)(C)C(C)(CCCCCCCCCCC).[Br-].[Br-]
13-10-13,3.01,0.07,7.16,0.31,43.3,2.43,0.07,0.53,0.01,-53.0,0.6,25.0,10.3390/molecules24234380,,C(CCCCCCCCCCC)(C)[N+](C)(C)CCCCCCCCCC[N+](C)(C)C(C)(CCCCCCCCCCC).[Br-].[Br-]
13-12-13,0.81,0.07,4.55,0.55,41.4,2.59,0.19,0.55,0.02,-55.1,1.6,25.0,10.3390/molecules24234380,,C(CCCCCCCCCCC)(C)[N+](C)(C)CCCCCCCCCCCC[N+](C)(C)C(C)(CCCCCCCCCCC).[Br-].[Br-]
