DOI,reason for omitting
10.1021/ie4016232,direct copy of 10.1021/ie800954k
10.1016/j.molliq.2019.112073,describes compounds containing Si-H bonds in water
10.1007/s11743-013-1478-9,this paper was retracted
10.1016/j.chemosphere.2011.05.031,lacks data provenance; temperature and method not given
10.1016/j.aca.2004.10.028,lacks full data provenance; temperature and method not given
10.1016/j.ces.2022.118208,contains many incorrect structures
10.1039/D4DD00393D,set aside for comparison
10.1063/5.0051623,lacks full data provenance; temperatures and methods not given
10.1016/j.jiec.2014.06.027,Contains mixtures of unknown composition
