Surfactants,β,CMCb × 10^4  mol dm−3 (surface tension),CMCc × 104  mol dm−3 (conductivity),Γmax × 10^10  mol cm−2 ,Γmax × 10^10  mol cm−2 ,Amin × 102  nm2,Amin × 102  nm2,pC20,γCMC  mN m−1,πCMC  mN m−1,SMILES,Temp_Celsius,source_doi,reference_doi
,,,,n=2,n=3,n=2,n=3,,,,,,,
C9C6C9[iPrOH],0.17,8.5,8.78,2.93,1.95,56.7,85,3.4,42.2,29.8,CCCCCCCCC[NH+](CCCCCC[NH+](CCCCCCCCC)CC(C)O)CC(C)O.[Br-].[Br-],25,10.1002/jsde.12506,
C10C6C10[iPrOH],0.207,5.99,6.14,3.05,2.03,54.4,81.6,3.55,38,34,CCCCCCCCCC[NH+](CCCCCC[NH+](CCCCCCCCCC)CC(C)O)CC(C)O.[Br-].[Br-],25,10.1002/jsde.12506,
C12C6C12[iPrOH],0.409,4.43,4.61,3.2,2.14,51.8,77.8,3.83,36,36,CCCCCCCCCCCC[NH+](CCCCCC[NH+](CCCCCCCCCCCC)CC(C)O)CC(C)O.[Br-].[Br-],25,10.1002/jsde.12506,
C14C6C14[iPrOH],0.546,3.27,3.24,3.43,2.29,48.4,72.6,4.02,35.5,36.5,CCCCCCCCCCCCCC[NH+](CCCCCC[NH+](CCCCCCCCCCCCCC)CC(C)O)CC(C)O.[Br-].[Br-],25,10.1002/jsde.12506,
C9C6C9[iPrOH]2,0.149,6.18,6.25,2.36,1.57,70.4,105.6,3.78,34.9,37.1,CCCCCCCCC[N+](CCCCCC[N+](CCCCCCCCC)(CC(C)O)CC(C)O)(CC(C)O)CC(C)O.[Br-].[Br-],25,10.1002/jsde.12506,
C10C6C10[iPrOH]2,0.191,5.6,5.86,2.43,1.62,68.3,102.4,3.92,34.1,37.9,CCCCCCCCCC[N+](CCCCCC[N+](CCCCCCCCCC)(CC(C)O)CC(C)O)(CC(C)O)CC(C)O.[Br-].[Br-],25,10.1002/jsde.12506,
C12C6C12[iPrOH]2,0.284,3.54,3.47,2.48,1.65,67,100.5,4.13,32.7,39.3,CCCCCCCCCCCC[N+](CCCCCC[N+](CCCCCCCCCCCC)(CC(C)O)CC(C)O)(CC(C)O)CC(C)O.[Br-].[Br-],25,10.1002/jsde.12506,
C14C6C14[iPrOH]2,0.324,2.65,2.66,2.59,1.73,64,96,4.31,30,42,CCCCCCCCCCCCCC[N+](CCCCCC[N+](CCCCCCCCCCCCCC)(CC(C)O)CC(C)O)(CC(C)O)CC(C)O.[Br-].[Br-],25,10.1002/jsde.12506,
