identifier,CMC,AW_ST_CMC,method,pC20,Γmax (μmol/m2),Area_min,Temp_Celsius,source_doi,reference_doi,SMILES,Gamma_max,pCMC,C20,Molecular_Weight,InChI
14-4-14,1.18e-05,46.0,tensiometry,4.97,1.96,0.84,25,10.1016/j.molliq.2017.06.008,,CCCCCCCCCCCCCCOc1ccc(NC(=O)C[N+](C)(C)CCCC[N+](C)(C)CC(=O)Nc2ccc(CCCCCCCCCCCCCC)cc2)cc1.[Br-].[Br-],1.96e-06,4.928117992693875,1.071519305237607e-05,981.1409999999994,"InChI=1S/C52H90N4O3.2BrH/c1-7-9-11-13-15-17-19-21-23-25-27-29-33-47-34-36-48(37-35-47)53-51(57)45-55(3,4)42-30-31-43-56(5,6)46-52(58)54-49-38-40-50(41-39-49)59-44-32-28-26-24-22-20-18-16-14-12-10-8-2;;/h34-41H,7-33,42-46H2,1-6H3;2*1H"
14-6-14,2.75e-05,51.1,tensiometry,4.86,1.81,0.92,25,10.1016/j.molliq.2017.06.008,,CCCCCCCCCCCCCCOc1ccc(NC(=O)C[N+](C)(C)CCCCCC[N+](C)(C)CC(=O)Nc2ccc(CCCCCCCCCCCCCC)cc2)cc1.[Br-].[Br-],1.81e-06,4.560667306169737,1.3803842646028839e-05,1009.1949999999995,"InChI=1S/C54H94N4O3.2BrH/c1-7-9-11-13-15-17-19-21-23-25-27-31-35-49-36-38-50(39-37-49)55-53(59)47-57(3,4)44-32-28-29-33-45-58(5,6)48-54(60)56-51-40-42-52(43-41-51)61-46-34-30-26-24-22-20-18-16-14-12-10-8-2;;/h36-43H,7-35,44-48H2,1-6H3;2*1H"
16-2-16,1.4e-05,46.0,tensiometry,5.35,0.87,1.91,25,10.1016/j.molliq.2017.06.008,,CCCCCCCCCCCCCCCCOc1ccc(NC(=O)C[N+](C)(C)CC[N+](C)(C)CC(=O)Nc2ccc(CCCCCCCCCCCCCCCC)cc2)cc1.[Br-].[Br-],8.7e-07,4.853871964321762,4.466835921509635e-06,1009.1949999999993,"InChI=1S/C54H94N4O3.2BrH/c1-7-9-11-13-15-17-19-21-23-25-27-29-31-33-35-49-36-38-50(39-37-49)55-53(59)47-57(3,4)44-45-58(5,6)48-54(60)56-51-40-42-52(43-41-51)61-46-34-32-30-28-26-24-22-20-18-16-14-12-10-8-2;;/h36-43H,7-35,44-48H2,1-6H3;2*1H"
16-4-16,9e-06,48.0,tensiometry,5.49,1.24,1.34,25,10.1016/j.molliq.2017.06.008,,CCCCCCCCCCCCCCCCOc1ccc(NC(=O)C[N+](C)(C)CCCC[N+](C)(C)CC(=O)Nc2ccc(CCCCCCCCCCCCCCCC)cc2)cc1.[Br-].[Br-],1.24e-06,5.045757490560675,3.235936569296281e-06,1037.2489999999993,"InChI=1S/C56H98N4O3.2BrH/c1-7-9-11-13-15-17-19-21-23-25-27-29-31-33-37-51-38-40-52(41-39-51)57-55(61)49-59(3,4)46-34-35-47-60(5,6)50-56(62)58-53-42-44-54(45-43-53)63-48-36-32-30-28-26-24-22-20-18-16-14-12-10-8-2;;/h38-45H,7-37,46-50H2,1-6H3;2*1H"
16-6-16,2.88e-05,45.0,tensiometry,4.87,1.72,0.97,25,10.1016/j.molliq.2017.06.008,,CCCCCCCCCCCCCCCCOc1ccc(NC(=O)C[N+](C)(C)CCCCCC[N+](C)(C)CC(=O)Nc2ccc(CCCCCCCCCCCCCCCC)cc2)cc1.[Br-].[Br-],1.72e-06,4.540607512240769,1.3489628825916533e-05,1065.3029999999992,"InChI=1S/C58H102N4O3.2BrH/c1-7-9-11-13-15-17-19-21-23-25-27-29-31-35-39-53-40-42-54(43-41-53)59-57(63)51-61(3,4)48-36-32-33-37-49-62(5,6)52-58(64)60-55-44-46-56(47-45-55)65-50-38-34-30-28-26-24-22-20-18-16-14-12-10-8-2;;/h40-47H,7-39,48-52H2,1-6H3;2*1H"
8-2-8,0.000322,,conductometry,,,,25,10.1016/j.molliq.2017.06.008,,CCCCCCCCOc1ccc(NC(=O)C[N+](C)(C)CC[N+](C)(C)CC(=O)Nc2ccc(CCCCCCCC)cc2)cc1.[Br-].[Br-],,3.492144128304169,,784.7630000000001,"InChI=1S/C38H62N4O3.2BrH/c1-7-9-11-13-15-17-19-33-20-22-34(23-21-33)39-37(43)31-41(3,4)28-29-42(5,6)32-38(44)40-35-24-26-36(27-25-35)45-30-18-16-14-12-10-8-2;;/h20-27H,7-19,28-32H2,1-6H3;2*1H"
8-4-8,0.000213,,conductometry,,,,25,10.1016/j.molliq.2017.06.008,,CCCCCCCCOc1ccc(NC(=O)C[N+](C)(C)CCCC[N+](C)(C)CC(=O)Nc2ccc(CCCCCCCC)cc2)cc1.[Br-].[Br-],,3.6716203965612624,,812.817,"InChI=1S/C40H66N4O3.2BrH/c1-7-9-11-13-15-17-21-35-22-24-36(25-23-35)41-39(45)33-43(3,4)30-18-19-31-44(5,6)34-40(46)42-37-26-28-38(29-27-37)47-32-20-16-14-12-10-8-2;;/h22-29H,7-21,30-34H2,1-6H3;2*1H"
8-6-8,0.000117,,conductometry,,,,25,10.1016/j.molliq.2017.06.008,,CCCCCCCCOc1ccc(NC(=O)C[N+](C)(C)CCCCCC[N+](C)(C)CC(=O)Nc2ccc(CCCCCCCC)cc2)cc1.[Br-].[Br-],,3.9318141382538383,,840.871,"InChI=1S/C42H70N4O3.2BrH/c1-7-9-11-13-15-19-23-37-24-26-38(27-25-37)43-41(47)35-45(3,4)32-20-16-17-21-33-46(5,6)36-42(48)44-39-28-30-40(31-29-39)49-34-22-18-14-12-10-8-2;;/h24-31H,7-23,32-36H2,1-6H3;2*1H"
10-2-10,4.82e-05,,conductometry,,,,25,10.1016/j.molliq.2017.06.008,,CCCCCCCCCCOc1ccc(NC(=O)C[N+](C)(C)CC[N+](C)(C)CC(=O)Nc2ccc(CCCCCCCCCC)cc2)cc1.[Br-].[Br-],,4.31695296176115,,840.8709999999999,"InChI=1S/C42H70N4O3.2BrH/c1-7-9-11-13-15-17-19-21-23-37-24-26-38(27-25-37)43-41(47)35-45(3,4)32-33-46(5,6)36-42(48)44-39-28-30-40(31-29-39)49-34-22-20-18-16-14-12-10-8-2;;/h24-31H,7-23,32-36H2,1-6H3;2*1H"
10-4-10,4.37e-05,,conductometry,,,,25,10.1016/j.molliq.2017.06.008,,CCCCCCCCCCOc1ccc(NC(=O)C[N+](C)(C)CCCC[N+](C)(C)CC(=O)Nc2ccc(CCCCCCCCCC)cc2)cc1.[Br-].[Br-],,4.359518563029578,,868.9249999999997,"InChI=1S/C44H74N4O3.2BrH/c1-7-9-11-13-15-17-19-21-25-39-26-28-40(29-27-39)45-43(49)37-47(3,4)34-22-23-35-48(5,6)38-44(50)46-41-30-32-42(33-31-41)51-36-24-20-18-16-14-12-10-8-2;;/h26-33H,7-25,34-38H2,1-6H3;2*1H"
