Surfactant,AW_ST_CMC,method,SMILES,InChI,Molecular_Weight,source_doi,reference_doi,ref_keys,Temp_Celsius
Dodecyl- b-D-Galactoside,31.5,tensiometry,CCCCCCCCCCCCO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,"InChI=1S/C18H36O6/c1-2-3-4-5-6-7-8-9-10-11-12-23-18-17(22)16(21)15(20)14(13-19)24-18/h14-22H,2-13H2,1H3/t14-,15-,16+,17-,18-/m1/s1",348.4800000000002,10.1016/j.jcis.2018.01.051,10.1007/BF02541865,matsumura1990,25.850000000000023
Octyl- D-Maltonamide,31.8,tensiometry,CCCCCCCCNC(=O)[C@H](O)[C@@H](O)[C@H](O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@H](O)CO,"InChI=1S/C20H39NO11/c1-2-3-4-5-6-7-8-21-19(30)16(28)15(27)18(11(24)9-22)32-20-17(29)14(26)13(25)12(10-23)31-20/h11-18,20,22-29H,2-10H2,1H3,(H,21,30)/t11-,12-,13-,14+,15-,16-,17-,18-,20-/m1/s1",469.52800000000013,10.1016/j.jcis.2018.01.051,10.1006/jcis.1996.0054,zhang1996a,25.850000000000023
Butyl Isosorbide,32.1,tensiometry,CCCCO[C@@H]1CO[C@H]2[C@@H]1OC[C@@H]2O,"InChI=1S/C10H18O4/c1-2-3-4-12-8-6-14-9-7(11)5-13-10(8)9/h7-11H,2-6H2,1H3/t7-,8+,9+,10+/m0/s1",202.24999999999994,10.1016/j.jcis.2018.01.051,10.1039/b717203f,zhu2008,25.850000000000023
Hexyl- D-Maltonamide,32.2,tensiometry,CCCCCCNC(=O)[C@H](O)[C@@H](O)[C@H](O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@H](O)CO,"InChI=1S/C18H35NO11/c1-2-3-4-5-6-19-17(28)14(26)13(25)16(9(22)7-20)30-18-15(27)12(24)11(23)10(8-21)29-18/h9-16,18,20-27H,2-8H2,1H3,(H,19,28)/t9-,10-,11-,12+,13-,14-,15-,16-,18-/m1/s1",441.4740000000001,10.1016/j.jcis.2018.01.051,10.1006/jcis.1996.0054,zhang1996a,25.850000000000023
2-Amino-2-Deoxy-Octyl- b-D-Glucoside,32.5,tensiometry,CCCCCCCCCN[C@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@H]1O,"InChI=1S/C15H31NO5/c1-2-3-4-5-6-7-8-9-16-12-14(19)13(18)11(10-17)21-15(12)20/h11-20H,2-10H2,1H3/t11-,12+,13-,14-,15-/m1/s1",305.4149999999999,10.1016/j.jcis.2018.01.051,10.1021/la950485i,boullanger1996,25.850000000000023
Decanoyl- N-Methylglucamine,32.5,tensiometry,CCCCCCCCN[C@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@H]1O,"InChI=1S/C14H29NO5/c1-2-3-4-5-6-7-8-15-11-13(18)12(17)10(9-16)20-14(11)19/h10-19H,2-9H2,1H3/t10-,11+,12-,13-,14-/m1/s1",291.388,10.1016/j.jcis.2018.01.051,10.1016/j.jcis.2007.04.058,molina-bolivar2007,30.850000000000023
Nonanoyl- N-Methylglucamine,32.9,tensiometry,CCCCCCCCC(=O)N(C)C[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,"InChI=1S/C16H33NO6/c1-3-4-5-6-7-8-9-14(21)17(2)10-12(19)15(22)16(23)13(20)11-18/h12-13,15-16,18-20,22-23H,3-11H2,1-2H3/t12-,13+,15+,16+/m0/s1",335.4410000000001,10.1016/j.jcis.2018.01.051,10.1246/bcsj.60.2719,okawauchi1987,30.850000000000023
Decyl- D-Lactobionamide,33.0,tensiometry,CCCCCCCCCCNC(=O)[C@H](O)[C@@H](O)[C@H](O[C@@H]1O[C@H](O)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)CO,"InChI=1S/C21H41NO11/c1-2-3-4-5-6-7-8-9-10-22-19(30)15(27)14(26)18(12(24)11-23)32-21-17(29)13(25)16(28)20(31)33-21/h12-18,20-21,23-29,31H,2-11H2,1H3,(H,22,30)/t12-,13+,14-,15-,16-,17-,18-,20+,21-/m1/s1",483.5550000000002,10.1016/j.jcis.2018.01.051,10.1007/BFb0118076,syper1998,25.850000000000023
"1-O-Hexanoyl- D,L-Xylitol",33.2,tensiometry,CCCCCC(=O)OC[C@@H](O)[C@H](O)[C@@H](O)CO.CCCCCC(=O)OC[C@H](O)[C@@H](O)[C@H](O)CO,"InChI=1S/2C11H22O6/c2*1-2-3-4-5-10(15)17-7-9(14)11(16)8(13)6-12/h2*8-9,11-14,16H,2-7H2,1H3/t2*8-,9+,11+/m10/s1",500.5820000000004,10.1016/j.jcis.2018.01.051,10.1016/S0378-5173(99)00078-2,savelli1999,25.850000000000023
Dodecyl- D-Maltonamide,33.6,tensiometry,CCCCCCCCCCCCNC(=O)[C@H](O)[C@@H](O)[C@H](O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@H](O)CO,"InChI=1S/C24H47NO11/c1-2-3-4-5-6-7-8-9-10-11-12-25-23(34)20(32)19(31)22(15(28)13-26)36-24-21(33)18(30)17(29)16(14-27)35-24/h15-22,24,26-33H,2-14H2,1H3,(H,25,34)/t15-,16-,17-,18+,19-,20-,21-,22-,24-/m1/s1",525.6360000000001,10.1016/j.jcis.2018.01.051,10.1006/jcis.1996.0054,zhang1996a,25.850000000000023
"3,7-Dimethyloctyl- b-D-Maltoside",33.7,tensiometry,CC(C)CCCC(C)CCO[C@@H]1O[C@H](CO)[C@@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O,"InChI=1S/C22H42O11/c1-11(2)5-4-6-12(3)7-8-30-21-19(29)17(27)20(14(10-24)32-21)33-22-18(28)16(26)15(25)13(9-23)31-22/h11-29H,4-10H2,1-3H3/t12?,13-,14-,15-,16+,17-,18-,19-,20-,21-,22-/m1/s1",482.56700000000023,10.1016/j.jcis.2018.01.051,10.1016/j.chemphyslip.2005.01.001,minamikawa2005,25.850000000000023
Decyl- D-Maltonamide,33.9,tensiometry,CCCCCCCCCCNC(=O)[C@H](O)[C@@H](O)[C@H](O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@H](O)CO,"InChI=1S/C22H43NO11/c1-2-3-4-5-6-7-8-9-10-23-21(32)18(30)17(29)20(13(26)11-24)34-22-19(31)16(28)15(27)14(12-25)33-22/h13-20,22,24-31H,2-12H2,1H3,(H,23,32)/t13-,14-,15-,16+,17-,18-,19-,20-,22-/m1/s1",497.5820000000001,10.1016/j.jcis.2018.01.051,10.1006/jcis.1996.0054,zhang1996a,25.850000000000023
N-Octadecyl- N-Methyl Lactobionamide,34.6,tensiometry,CCCCCCCCCCCCCCCCCCN(C)C(=O)[C@H](O)[C@@H](O)[C@H](O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)CO,"InChI=1S/C31H61NO11/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-32(2)30(41)27(39)26(38)29(22(35)20-33)43-31-28(40)25(37)24(36)23(21-34)42-31/h22-29,31,33-40H,3-21H2,1-2H3/t22-,23-,24+,25+,26-,27-,28-,29-,31+/m1/s1",623.8250000000008,10.1016/j.jcis.2018.01.051,10.1006/jcis.2001.7704,burczyk2001,20.850000000000023
N-Oleyl- N-Methyl Gluconamide,34.8,tensiometry,CCCCCCCC/C=C\CCCCCCCCN(C)C(=O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,"InChI=1S/C25H49NO6/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-26(2)25(32)24(31)23(30)22(29)21(28)20-27/h10-11,21-24,27-31H,3-9,12-20H2,1-2H3/b11-10-/t21-,22-,23+,24-/m1/s1",459.6680000000001,10.1016/j.jcis.2018.01.051,10.1006/jcis.2001.7704,burczyk2001,20.850000000000023
N-Tetradecyl- N-Methyl Gluconamide,35.0,tensiometry,CCCCCCCCCCCCCCN(C)C(=O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,"InChI=1S/C21H43NO6/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-22(2)21(28)20(27)19(26)18(25)17(24)16-23/h17-20,23-27H,3-16H2,1-2H3/t17-,18-,19+,20-/m1/s1",405.57599999999996,10.1016/j.jcis.2018.01.051,10.1006/jcis.2001.7704,burczyk2001,20.850000000000023
[N-(Oleoyl)-2 -Ethylamino]- b-D-Maltoside,35.1,tensiometry,CCCCCCCC/C=C\CCCCCCCCC(=O)NCCCO[C@@H]1O[C@H](CO)[C@@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O,"InChI=1S/C34H63NO12/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-19-26(38)35-20-18-21-44-33-31(43)29(41)32(25(23-37)46-33)47-34-30(42)28(40)27(39)24(22-36)45-34/h9-10,24-25,27-34,36-37,39-43H,2-8,11-23H2,1H3,(H,35,38)/b10-9-/t24-,25-,27-,28+,29-,30-,31-,32-,33-,34-/m1/s1",677.8729999999999,10.1016/j.jcis.2018.01.051,10.1016/j.jcis.2004.10.039,milkereit2005,25.850000000000023
N-Dodecyl- N-Methyl Gluconamide,35.2,tensiometry,CCCCCCCCCCCCN(C)C(=O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,"InChI=1S/C19H39NO6/c1-3-4-5-6-7-8-9-10-11-12-13-20(2)19(26)18(25)17(24)16(23)15(22)14-21/h15-18,21-25H,3-14H2,1-2H3/t15-,16-,17+,18-/m1/s1",377.52200000000005,10.1016/j.jcis.2018.01.051,10.1006/jcis.2001.7704,burczyk2001,20.850000000000023
Dodecyl- b-D-Maltoside,35.3,tensiometry,CCCCCCCCCCCCO[C@@H]1O[C@H](CO)[C@@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O,"InChI=1S/C24H46O11/c1-2-3-4-5-6-7-8-9-10-11-12-32-23-21(31)19(29)22(16(14-26)34-23)35-24-20(30)18(28)17(27)15(13-25)33-24/h15-31H,2-14H2,1H3/t15-,16-,17-,18+,19-,20-,21-,22-,23-,24-/m1/s1",510.6210000000002,10.1016/j.jcis.2018.01.051,10.1021/la026943m,persson2003,22.850000000000023
Decyl- b-D-Maltoside,35.6,tensiometry,CCCCCCCCCCO[C@@H]1O[C@H](CO)[C@@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O,"InChI=1S/C22H42O11/c1-2-3-4-5-6-7-8-9-10-30-21-19(29)17(27)20(14(12-24)32-21)33-22-18(28)16(26)15(25)13(11-23)31-22/h13-29H,2-12H2,1H3/t13-,14-,15-,16+,17-,18-,19-,20-,21-,22-/m1/s1",482.5670000000001,10.1016/j.jcis.2018.01.051,10.1021/la980519x,aveyard1998,25.850000000000023
N-Hexadecyl- N-Methyl Lactobionamide,35.6,tensiometry,CCCCCCCCCCCCCCCCN(C)C(=O)[C@H](O)[C@@H](O)[C@H](O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)CO,"InChI=1S/C29H57NO11/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-30(2)28(39)25(37)24(36)27(20(33)18-31)41-29-26(38)23(35)22(34)21(19-32)40-29/h20-27,29,31-38H,3-19H2,1-2H3/t20-,21-,22+,23+,24-,25-,26-,27-,29+/m1/s1",595.7710000000008,10.1016/j.jcis.2018.01.051,10.1006/jcis.2001.7704,burczyk2001,20.850000000000023
N-Tetradecyl- N-Methyl Lactobionamide,35.7,tensiometry,CCCCCCCCCCCCCCN(C)C(=O)[C@H](O)[C@@H](O)[C@H](O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)CO,"InChI=1S/C27H53NO11/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-28(2)26(37)23(35)22(34)25(18(31)16-29)39-27-24(36)21(33)20(32)19(17-30)38-27/h18-25,27,29-36H,3-17H2,1-2H3/t18-,19-,20+,21+,22-,23-,24-,25-,27+/m1/s1",567.7170000000008,10.1016/j.jcis.2018.01.051,10.1006/jcis.2001.7704,burczyk2001,20.850000000000023
N-Oleyl- N-Methyl Lactobionamide,35.8,tensiometry,CCCCCCCC/C=C\CCCCCCCCN(C)C(=O)[C@H](O)[C@@H](O)[C@H](O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)CO,"InChI=1S/C31H59NO11/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-32(2)30(41)27(39)26(38)29(22(35)20-33)43-31-28(40)25(37)24(36)23(21-34)42-31/h10-11,22-29,31,33-40H,3-9,12-21H2,1-2H3/b11-10-/t22-,23-,24+,25+,26-,27-,28-,29-,31+/m1/s1",621.8090000000005,10.1016/j.jcis.2018.01.051,10.1006/jcis.2001.7704,burczyk2001,20.850000000000023
N-Dodecyl- N-Methyl Lactobionamide,36.0,tensiometry,CCCCCCCCCCCCN(C)C(=O)[C@H](O)[C@@H](O)[C@H](O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)CO,"InChI=1S/C25H49NO11/c1-3-4-5-6-7-8-9-10-11-12-13-26(2)24(35)21(33)20(32)23(16(29)14-27)37-25-22(34)19(31)18(30)17(15-28)36-25/h16-23,25,27-34H,3-15H2,1-2H3/t16-,17-,18+,19+,20-,21-,22-,23-,25+/m1/s1",539.6630000000006,10.1016/j.jcis.2018.01.051,10.1006/jcis.2001.7704,burczyk2001,20.850000000000023
N-Decyl- N-Methyl Gluconamide,36.7,tensiometry,CCCCCCCCCCN(C)C(=O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,"InChI=1S/C17H35NO6/c1-3-4-5-6-7-8-9-10-11-18(2)17(24)16(23)15(22)14(21)13(20)12-19/h13-16,19-23H,3-12H2,1-2H3/t13-,14-,15+,16-/m1/s1",349.468,10.1016/j.jcis.2018.01.051,10.1006/jcis.2001.7704,burczyk2001,25.850000000000023
N-Tetradecanoyl- N-Methyl Lactitolamine,37.0,tensiometry,CCCCCCCCCCCCCC(=O)N(C)C[C@H](O)[C@@H](O)[C@H](O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)CO,"InChI=1S/C27H53NO11/c1-3-4-5-6-7-8-9-10-11-12-13-14-21(33)28(2)15-18(31)22(34)26(19(32)16-29)39-27-25(37)24(36)23(35)20(17-30)38-27/h18-20,22-27,29-32,34-37H,3-17H2,1-2H3/t18-,19+,20+,22+,23-,24-,25+,26+,27-/m0/s1",567.7170000000002,10.1016/j.jcis.2018.01.051,10.1007/s11743-001-0169-1,wilk2001,25.850000000000023
N-Dodecanoyl- N-Methyl Lactitolamine,37.2,tensiometry,CCCCCCCCCCCC(=O)N(C)C[C@H](O)[C@@H](O)[C@H](O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)CO,"InChI=1S/C25H49NO11/c1-3-4-5-6-7-8-9-10-11-12-19(31)26(2)13-16(29)20(32)24(17(30)14-27)37-25-23(35)22(34)21(33)18(15-28)36-25/h16-18,20-25,27-30,32-35H,3-15H2,1-2H3/t16-,17+,18+,20+,21-,22-,23+,24+,25-/m0/s1",539.6630000000001,10.1016/j.jcis.2018.01.051,10.1007/s11743-001-0169-1,wilk2001,25.850000000000023
