identifier,AW_ST_CMC,Pi_CMC,Area_min,SMILES,source_doi,reference_doi,Temp_Celsius,Molecular_Weight,InChI,CMC,pCMC,Gamma_max
I,29.7,42.3,2.12,CCCCCCCCCCCC[n+]1ccc(C=Nc2ccc(C(=O)[O-])cc2)cc1.[Br-].[Na+],10.1007/s11743-016-1824-9,,25.0,497.45300000000015,"InChI=1S/C25H34N2O2.BrH.Na/c1-2-3-4-5-6-7-8-9-10-11-18-27-19-16-22(17-20-27)21-26-24-14-12-23(13-15-24)25(28)29;;/h12-17,19-21H,2-11,18H2,1H3;1H;/q;;+1/p-1",0.00101,2.9956786262173574,7.84e-07
II,28.7,43.3,2.15,CCCCCCCCCCCC[n+]1ccc(C=Nc2cc[n+](CCCCCCCCCCCC)cc2)cc1.[Br-].[Br-],10.1007/s11743-016-1824-9,,25.0,681.6860000000006,"InChI=1S/C35H59N3.2BrH/c1-3-5-7-9-11-13-15-17-19-21-27-37-29-23-34(24-30-37)33-36-35-25-31-38(32-26-35)28-22-20-18-16-14-12-10-8-6-4-2;;/h23-26,29-33H,3-22,27-28H2,1-2H3;2*1H/q+2;;/p-2",0.00051,3.2924298239020637,7.72e-07
