ID,Tail_1,Tail_2,Ion_1,Ion_2,Spacer,−logCMC_exp,−logCMC_calc,Surfactant_Type,Ref_CMC,Note,SMILES,Surfactant_Type,Temp_Celsius
12,C12H25,C12H25,PO4-,(CH3)2N+,C2H4,5.0458,5.0973,gemini,10.1016/j.chemosphere.2011.05.031,"electrical conductivity of surfactant solutions with varying concentration on a conductometer at 25 °. Representative structures of the B–CmHn means branched alkyl Gemini surfactants, E–CmO represents esterquat Gemini surfactants with the formula: [H2m−1Cm−1COOCH2CH2(CH3)2N+(CH2)nN+(CH3)2CH2CH2OOCCm−1H2m−1]2Br−.",CCCCCCCCCCCCOP(=O)([O-])OCC[N+](C)(C)CCCCCCCCCCCC,cationic gemini,25.0
13,C8H17,C18H36,PO4-,(CH3)2N+,C2H4,5.3188,5.3902,gemini,10.1016/j.chemosphere.2011.05.031,"electrical conductivity of surfactant solutions with varying concentration on a conductometer at 25 °. Representative structures of the B–CmHn means branched alkyl Gemini surfactants, E–CmO represents esterquat Gemini surfactants with the formula: [H2m−1Cm−1COOCH2CH2(CH3)2N+(CH2)nN+(CH3)2CH2CH2OOCCm−1H2m−1]2Br−.",CCCCCCCCOP(=O)([O-])OCC[N+](C)(C)CCCCCCCCCCCCCCCCCC,cationic gemini,25.0
14,C18H36,C8H17,PO4-,(CH3)2N+,C2H4,5.2291,5.3817,gemini,10.1016/j.chemosphere.2011.05.031,"electrical conductivity of surfactant solutions with varying concentration on a conductometer at 25 °. Representative structures of the B–CmHn means branched alkyl Gemini surfactants, E–CmO represents esterquat Gemini surfactants with the formula: [H2m−1Cm−1COOCH2CH2(CH3)2N+(CH2)nN+(CH3)2CH2CH2OOCCm−1H2m−1]2Br−.",CCCCCCCCCCCCCCCCCCOP(=O)([O-])OCC[N+](C)(C)CCCCCCCC,cationic gemini,25.0
15,C10H21,C16H32,PO4-,(CH3)2N+,C2H4,5.301,5.4235,gemini,10.1016/j.chemosphere.2011.05.031,"electrical conductivity of surfactant solutions with varying concentration on a conductometer at 25 °. Representative structures of the B–CmHn means branched alkyl Gemini surfactants, E–CmO represents esterquat Gemini surfactants with the formula: [H2m−1Cm−1COOCH2CH2(CH3)2N+(CH2)nN+(CH3)2CH2CH2OOCCm−1H2m−1]2Br−.",CCCCCCCCCCOP(=O)([O-])OCC[N+](C)(C)CCCCCCCCCCCCCCCC,cationic gemini,25.0
16,C14H29,C12H25,PO4-,(CH3)2N+,C2H4,5.1549,5.4139,gemini,10.1016/j.chemosphere.2011.05.031,"electrical conductivity of surfactant solutions with varying concentration on a conductometer at 25 °. Representative structures of the B–CmHn means branched alkyl Gemini surfactants, E–CmO represents esterquat Gemini surfactants with the formula: [H2m−1Cm−1COOCH2CH2(CH3)2N+(CH2)nN+(CH3)2CH2CH2OOCCm−1H2m−1]2Br−.",CCCCCCCCCCCCCCOP(=O)([O-])OCC[N+](C)(C)CCCCCCCCCCCC,cationic gemini,25.0
17,C12H25,C14H29,PO4-,(CH3)2N+,C2H4,5.3665,5.4158,gemini,10.1016/j.chemosphere.2011.05.031,"electrical conductivity of surfactant solutions with varying concentration on a conductometer at 25 °. Representative structures of the B–CmHn means branched alkyl Gemini surfactants, E–CmO represents esterquat Gemini surfactants with the formula: [H2m−1Cm−1COOCH2CH2(CH3)2N+(CH2)nN+(CH3)2CH2CH2OOCCm−1H2m−1]2Br−.",CCCCCCCCCCCCOP(=O)([O-])OCC[N+](C)(C)CCCCCCCCCCCCCC,cationic gemini,25.0
18,C12H25,C12H25,(CH3)2N+,(CH3)2N+,(CH2)2,3.0969,2.4541,gemini,10.1016/j.chemosphere.2011.05.031,"electrical conductivity of surfactant solutions with varying concentration on a conductometer at 25 °. Representative structures of the B–CmHn means branched alkyl Gemini surfactants, E–CmO represents esterquat Gemini surfactants with the formula: [H2m−1Cm−1COOCH2CH2(CH3)2N+(CH2)nN+(CH3)2CH2CH2OOCCm−1H2m−1]2Br−.",CCCCCCCCCCCC[N+](C)(C)CC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],cationic gemini,25.0
19,C12H25,C12H25,(CH3)2N+,(CH3)2N+,(CH2)3,3.0269,2.6073,gemini,10.1016/j.chemosphere.2011.05.031,"electrical conductivity of surfactant solutions with varying concentration on a conductometer at 25 °. Representative structures of the B–CmHn means branched alkyl Gemini surfactants, E–CmO represents esterquat Gemini surfactants with the formula: [H2m−1Cm−1COOCH2CH2(CH3)2N+(CH2)nN+(CH3)2CH2CH2OOCCm−1H2m−1]2Br−.",CCCCCCCCCCCC[N+](C)(C)CCC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],cationic gemini,25.0
20,C12H25,C12H25,(CH3)2N+,(CH3)2N+,(CH2)4,2.9318,2.7608,gemini,10.1016/j.chemosphere.2011.05.031,"electrical conductivity of surfactant solutions with varying concentration on a conductometer at 25 °. Representative structures of the B–CmHn means branched alkyl Gemini surfactants, E–CmO represents esterquat Gemini surfactants with the formula: [H2m−1Cm−1COOCH2CH2(CH3)2N+(CH2)nN+(CH3)2CH2CH2OOCCm−1H2m−1]2Br−.",CCCCCCCCCCCC[N+](C)(C)CCCC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],cationic gemini,25.0
21,C12H25,C12H25,(CH3)2N+,(CH3)2N+,(CH2)6,2.9872,3.069,gemini,10.1016/j.chemosphere.2011.05.031,"electrical conductivity of surfactant solutions with varying concentration on a conductometer at 25 °. Representative structures of the B–CmHn means branched alkyl Gemini surfactants, E–CmO represents esterquat Gemini surfactants with the formula: [H2m−1Cm−1COOCH2CH2(CH3)2N+(CH2)nN+(CH3)2CH2CH2OOCCm−1H2m−1]2Br−.",CCCCCCCCCCCC[N+](C)(C)CCCCCC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],cationic gemini,25.0
22,C12H25,C12H25,(CH3)2N+,(CH3)2N+,(CH2)8,3.0809,3.3788,gemini,10.1016/j.chemosphere.2011.05.031,"electrical conductivity of surfactant solutions with varying concentration on a conductometer at 25 °. Representative structures of the B–CmHn means branched alkyl Gemini surfactants, E–CmO represents esterquat Gemini surfactants with the formula: [H2m−1Cm−1COOCH2CH2(CH3)2N+(CH2)nN+(CH3)2CH2CH2OOCCm−1H2m−1]2Br−.",CCCCCCCCCCCC[N+](C)(C)CCCCCCCC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],cationic gemini,25.0
23,C12H25,C12H25,(CH3)2N+,(CH3)2N+,(CH2)10,3.2007,3.6902,gemini,10.1016/j.chemosphere.2011.05.031,"electrical conductivity of surfactant solutions with varying concentration on a conductometer at 25 °. Representative structures of the B–CmHn means branched alkyl Gemini surfactants, E–CmO represents esterquat Gemini surfactants with the formula: [H2m−1Cm−1COOCH2CH2(CH3)2N+(CH2)nN+(CH3)2CH2CH2OOCCm−1H2m−1]2Br−.",CCCCCCCCCCCC[N+](C)(C)CCCCCCCCCC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],cationic gemini,25.0
24,C12H25,C12H25,(CH3)2N+,(CH3)2N+,(CH2)12,3.4318,4.0028,gemini,10.1016/j.chemosphere.2011.05.031,"electrical conductivity of surfactant solutions with varying concentration on a conductometer at 25 °. Representative structures of the B–CmHn means branched alkyl Gemini surfactants, E–CmO represents esterquat Gemini surfactants with the formula: [H2m−1Cm−1COOCH2CH2(CH3)2N+(CH2)nN+(CH3)2CH2CH2OOCCm−1H2m−1]2Br−.",CCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],cationic gemini,25.0
25,C12H25,C12H25,(CH3)2N+,(CH3)2N+,(CH2)14,3.699,4.3167,gemini,10.1016/j.chemosphere.2011.05.031,"electrical conductivity of surfactant solutions with varying concentration on a conductometer at 25 °. Representative structures of the B–CmHn means branched alkyl Gemini surfactants, E–CmO represents esterquat Gemini surfactants with the formula: [H2m−1Cm−1COOCH2CH2(CH3)2N+(CH2)nN+(CH3)2CH2CH2OOCCm−1H2m−1]2Br−.",CCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],cationic gemini,25.0
26,C12H25,C12H25,(CH3)2N+,(CH3)2N+,(CH2)16,3.9208,4.6316,gemini,10.1016/j.chemosphere.2011.05.031,"electrical conductivity of surfactant solutions with varying concentration on a conductometer at 25 °. Representative structures of the B–CmHn means branched alkyl Gemini surfactants, E–CmO represents esterquat Gemini surfactants with the formula: [H2m−1Cm−1COOCH2CH2(CH3)2N+(CH2)nN+(CH3)2CH2CH2OOCCm−1H2m−1]2Br−.",CCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],cationic gemini,25.0
27,C8H17,C8H17,(CH3)2N+,(CH3)2N+,(CH2)3,1.8601,1.351,gemini,10.1016/j.chemosphere.2011.05.031,"electrical conductivity of surfactant solutions with varying concentration on a conductometer at 25 °. Representative structures of the B–CmHn means branched alkyl Gemini surfactants, E–CmO represents esterquat Gemini surfactants with the formula: [H2m−1Cm−1COOCH2CH2(CH3)2N+(CH2)nN+(CH3)2CH2CH2OOCCm−1H2m−1]2Br−.",CCCCCCCC[N+](C)(C)CCC[N+](C)(C)CCCCCCCC.[Br-].[Br-],cationic gemini,25.0
28,C8H17,C8H17,(CH3)2N+,(CH3)2N+,(CH2)4,1.5817,1.4981,gemini,10.1016/j.chemosphere.2011.05.031,"electrical conductivity of surfactant solutions with varying concentration on a conductometer at 25 °. Representative structures of the B–CmHn means branched alkyl Gemini surfactants, E–CmO represents esterquat Gemini surfactants with the formula: [H2m−1Cm−1COOCH2CH2(CH3)2N+(CH2)nN+(CH3)2CH2CH2OOCCm−1H2m−1]2Br−.",CCCCCCCC[N+](C)(C)CCCC[N+](C)(C)CCCCCCCC.[Br-].[Br-],cationic gemini,25.0
29,C8H17,C8H17,(CH3)2N+,(CH3)2N+,(CH2)5,1.58,1.6464,gemini,10.1016/j.chemosphere.2011.05.031,"electrical conductivity of surfactant solutions with varying concentration on a conductometer at 25 °. Representative structures of the B–CmHn means branched alkyl Gemini surfactants, E–CmO represents esterquat Gemini surfactants with the formula: [H2m−1Cm−1COOCH2CH2(CH3)2N+(CH2)nN+(CH3)2CH2CH2OOCCm−1H2m−1]2Br−.",CCCCCCCC[N+](C)(C)CCCCC[N+](C)(C)CCCCCCCC.[Br-].[Br-],cationic gemini,25.0
30,C8H17,C8H17,(CH3)2N+,(CH3)2N+,(CH2)6,1.5986,1.796,gemini,10.1016/j.chemosphere.2011.05.031,"electrical conductivity of surfactant solutions with varying concentration on a conductometer at 25 °. Representative structures of the B–CmHn means branched alkyl Gemini surfactants, E–CmO represents esterquat Gemini surfactants with the formula: [H2m−1Cm−1COOCH2CH2(CH3)2N+(CH2)nN+(CH3)2CH2CH2OOCCm−1H2m−1]2Br−.",CCCCCCCC[N+](C)(C)CCCCCC[N+](C)(C)CCCCCCCC.[Br-].[Br-],cationic gemini,25.0
31,C16H32,C16H32,(CH3)2N+,(CH3)2N+,(CH2)2,4.6778,3.716,gemini,10.1016/j.chemosphere.2011.05.031,"electrical conductivity of surfactant solutions with varying concentration on a conductometer at 25 °. Representative structures of the B–CmHn means branched alkyl Gemini surfactants, E–CmO represents esterquat Gemini surfactants with the formula: [H2m−1Cm−1COOCH2CH2(CH3)2N+(CH2)nN+(CH3)2CH2CH2OOCCm−1H2m−1]2Br−.",CCCCCCCCCCCCCCCC[N+](C)(C)CC[N+](C)(C)CCCCCCCCCCCCCCCC.[Br-].[Br-],cationic gemini,25.0
32,C16H32,C16H32,(CH3)2N+,(CH3)2N+,(CH2)4,4.5686,4.029,gemini,10.1016/j.chemosphere.2011.05.031,"electrical conductivity of surfactant solutions with varying concentration on a conductometer at 25 °. Representative structures of the B–CmHn means branched alkyl Gemini surfactants, E–CmO represents esterquat Gemini surfactants with the formula: [H2m−1Cm−1COOCH2CH2(CH3)2N+(CH2)nN+(CH3)2CH2CH2OOCCm−1H2m−1]2Br−.",CCCCCCCCCCCCCCCC[N+](C)(C)CCCC[N+](C)(C)CCCCCCCCCCCCCCCC.[Br-].[Br-],cationic gemini,25.0
33,C16H32,C16H32,(CH3)2N+,(CH3)2N+,(CH2)6,4.3665,4.3425,gemini,10.1016/j.chemosphere.2011.05.031,"electrical conductivity of surfactant solutions with varying concentration on a conductometer at 25 °. Representative structures of the B–CmHn means branched alkyl Gemini surfactants, E–CmO represents esterquat Gemini surfactants with the formula: [H2m−1Cm−1COOCH2CH2(CH3)2N+(CH2)nN+(CH3)2CH2CH2OOCCm−1H2m−1]2Br−.",CCCCCCCCCCCCCCCC[N+](C)(C)CCCCCC[N+](C)(C)CCCCCCCCCCCCCCCC.[Br-].[Br-],cationic gemini,25.0
34,C16H32,C16H32,(CH3)2N+,(CH3)2N+,(CH2)3,4.6021,3.8725,gemini,10.1016/j.chemosphere.2011.05.031,"electrical conductivity of surfactant solutions with varying concentration on a conductometer at 25 °. Representative structures of the B–CmHn means branched alkyl Gemini surfactants, E–CmO represents esterquat Gemini surfactants with the formula: [H2m−1Cm−1COOCH2CH2(CH3)2N+(CH2)nN+(CH3)2CH2CH2OOCCm−1H2m−1]2Br−.",CCCCCCCCCCCCCCCC[N+](C)(C)CCC[N+](C)(C)CCCCCCCCCCCCCCCC.[Br-].[Br-],cationic gemini,25.0
35,C16H32,C16H32,(CH3)2N+,(CH3)2N+,(CH2)5,4.4437,4.1857,gemini,10.1016/j.chemosphere.2011.05.031,"electrical conductivity of surfactant solutions with varying concentration on a conductometer at 25 °. Representative structures of the B–CmHn means branched alkyl Gemini surfactants, E–CmO represents esterquat Gemini surfactants with the formula: [H2m−1Cm−1COOCH2CH2(CH3)2N+(CH2)nN+(CH3)2CH2CH2OOCCm−1H2m−1]2Br−.",CCCCCCCCCCCCCCCC[N+](C)(C)CCCCC[N+](C)(C)CCCCCCCCCCCCCCCC.[Br-].[Br-],cationic gemini,25.0
