Comp.,Temp. (oC),CMC (mM/l),πCMC (mN/m),PC20 (mol/l),Γmax 10^10 (mol/cm2),Amin (A2),source_doi,reference_doi,SMILES,method
C10BT,25,1.598,40.1,4.82,1.594,104.15,10.1016/j.jiec.2014.01.020,,CCCC=NCCC[N+](C)(C)CCCCCCCCCC.[Br-],tensiometry
C10BT,40,1.0436,39.86,4.94,1.435,115.67,10.1016/j.jiec.2014.01.020,,CCCC=NCCC[N+](C)(C)CCCCCCCCCC.[Br-],tensiometry
C10BT,60,0.303,37.82,5.57,1.283,129.39,10.1016/j.jiec.2014.01.020,,CCCC=NCCC[N+](C)(C)CCCCCCCCCC.[Br-],tensiometry
C12BT,25,0.771,41.79,5.23,1.492,111.27,10.1016/j.jiec.2014.01.020,,CCCC=NCCC[N+](C)(C)CCCCCCCCCCCC.[Br-],tensiometry
C12BT,40,0.3845,40.21,5.49,1.333,124.59,10.1016/j.jiec.2014.01.020,,CCCC=NCCC[N+](C)(C)CCCCCCCCCCCC.[Br-],tensiometry
C12BT,60,0.184,38.73,6.02,1.213,136.91,10.1016/j.jiec.2014.01.020,,CCCC=NCCC[N+](C)(C)CCCCCCCCCCCC.[Br-],tensiometry
C16BT,25,0.0841,34.29,6.0,1.357,122.32,10.1016/j.jiec.2014.01.020,,CCCC=NCCC[N+](C)(C)CCCCCCCCCCCCCCCC.[Br-],tensiometry
C16BT,40,0.0551,33.44,6.2,1.155,143.82,10.1016/j.jiec.2014.01.020,,CCCC=NCCC[N+](C)(C)CCCCCCCCCCCCCCCC.[Br-],tensiometry
C16BT,60,0.0255,33.27,6.44,1.067,155.58,10.1016/j.jiec.2014.01.020,,CCCC=NCCC[N+](C)(C)CCCCCCCCCCCCCCCC.[Br-],tensiometry
