identifier,method,AW_ST_CMC,Gamma_max,Temp_Celsius,source_doi,reference_doi,SMILES,CMC,Area_min,pCMC,Molecular_Weight,InChI
LGDMAC,tensiometry,40.0,2.07e-06,25,10.1007/s11743-013-1436-6,,CCCCCCCCCCCC(=O)NCCC[N+](C)(C)CC(O)CO.[Cl-],0.00122,0.8,2.9136401693252516,395.02800000000013,"InChI=1S/C20H42N2O3.ClH/c1-4-5-6-7-8-9-10-11-12-14-20(25)21-15-13-16-22(2,3)17-19(24)18-23;/h19,23-24H,4-18H2,1-3H3;1H"
CTAC,tensiometry,41.0,3.07e-06,25,10.1007/s11743-013-1436-6,10.1016/j.tca.2004.11.009,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Cl-],0.0013,0.54,2.886056647693163,320.005,"InChI=1S/C19H42N.ClH/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20(2,3)4;/h5-19H2,1-4H3;1H/q+1;/p-1"
CTAB,tensiometry,35.3,3.21e-06,25,10.1007/s11743-013-1436-6,10.1016/j.tca.2004.11.009,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],0.001,0.517,3.0,364.45599999999996,"InChI=1S/C19H42N.BrH/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20(2,3)4;/h5-19H2,1-4H3;1H/q+1;/p-1"
GCMA,tensiometry,41.0,,25,10.1007/s11743-013-1436-6,10.1016/j.tca.2004.11.009,CCCCCCCCCCC[N+](C)(C)CC(O)CO.[Cl-],0.0005,,3.3010299956639813,309.9219999999999,"InChI=1S/C16H36NO2.ClH/c1-4-5-6-7-8-9-10-11-12-13-17(2,3)14-16(19)15-18;/h16,18-19H,4-15H2,1-3H3;1H/q+1;/p-1"
LGDMAC,conductometry,,,25,10.1007/s11743-013-1436-6,,CCCCCCCCCCCC(=O)NCCC[N+](C)(C)CC(O)CO.[Cl-],0.00132,,2.87942606879415,395.02800000000013,"InChI=1S/C20H42N2O3.ClH/c1-4-5-6-7-8-9-10-11-12-14-20(25)21-15-13-16-22(2,3)17-19(24)18-23;/h19,23-24H,4-18H2,1-3H3;1H"
