No,Surfactant Code,Mol.W.,H.L.B,γCMC mNm-1,CMC (10^4 mol/dm3),σ (A2),Temp_Celsius,source_doi,reference_doi,SMILES,method
2,H0.9.33,463.7,14.5,32,50.2,65,25.0,10.1016/S0040-4020(01)90499-5,,CCCCCCCCCC(=O)N(CCOCCOCCOC)CCOCCOCCOC,tensiometry
3,H0.9.44,551.8,15.3,29,64.1,67,25.0,10.1016/S0040-4020(01)90499-5,,CCCCCCCCCC(=O)N(CCOCCOCCOCCOC)CCOCCOCCOCCOC,tensiometry
4,H0.11.22 1,403.6 1,12.3,27,4.0,53,25.0,10.1016/S0040-4020(01)90499-5,,CCCCCCCCCCCC(=O)N(CCOCCOC)CCOCCOC,tensiometry
5,H0.11.33,491.7,13.6,28,5.1,61,25.0,10.1016/S0040-4020(01)90499-5,,CCCCCCCCCCCC(=O)N(CCOCCOCCOC)CCOCCOCCOC,tensiometry
6,H0.11.44,579.8,14.6,30,2.45,65,25.0,10.1016/S0040-4020(01)90499-5,,CCCCCCCCCCCC(=O)N(CCOCCOCCOCCOC)CCOCCOCCOCCOC,tensiometry
8,F6.1.33,669.4,10.0,22,5.5,63,25.0,10.1016/S0040-4020(01)90499-5,,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CC(=O)N(CCOCCOCCOC)CCOCCOCCOC,tensiometry
11,F8.1.33,769.5,8.74,19,0.12,58,25.0,10.1016/S0040-4020(01)90499-5,,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CC(=O)N(CCOCCOCCOC)CCOCCOCCOC,tensiometry
13,F10.1.33,869.4,7.73,22,0.003,25,25.0,10.1016/S0040-4020(01)90499-5,,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CC(=O)N(CCOCCOCCOC)CCOCCOCCOC,tensiometry
