SMILES,SMILES_fixed,Note,Surfactant_Type,CMC,pCMC,AW_ST_CMC,Gamma_max,Area_min,Pi_CMC,pC20,C20,Temp_Celsius,Ref_CMC,Ref_AW_ST_CMC,SubRef_CMC,SubRef_AW_ST_CMC,Ref_Gamma_max,Ref_Pi_CMC,Ref_Area_min,Ref_pC20,Ref_C20,InChI,InChIKey,Molecular_Weight
CCCCCCCCCCC(=O)OC(O)[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,CCCCCCCCCCC(=O)OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,,sugar-based non-ionic,0.00046,3.337242168,37.4,0.00000297,0.56,35.35,4.212988617,0.014802064,20,10.1021/acs.iecr.6b02890,10.1016/j.jcis.2018.01.051,10.1016/j.molliq.2018.01.037,,10.5650/jos.ess22391,calculated,,calculated,calculated,"InChI=1S/C23H42O13/c1-2-3-4-5-6-7-8-9-10-14(26)33-21(32)19-17(29)16(28)18(30)22(34-19)36-23(12-25)20(31)15(27)13(11-24)35-23/h13,15-22,24-25,27-32H,2-12H2,1H3/t13-,15-,16+,17+,18-,19+,20+,21?,22-,23+/m1/s1",WRRBOVMTOZYSNK-KERDFOSTSA-N,526.262541404
CCCCCCCCCCCC(=O)NC(O)[C@H]1O[C@@H](O[C@@H]([C@H](O)[C@@H](O)CO)[C@H](O)CO)[C@H](O)[C@@H](O)[C@H]1O,CCCCCCCCCCCC(=O)NC[C@H](O)[C@@H](O)[C@H](O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)CO,,sugar-based non-ionic,0.000447,3.349692477,37.2,0.00000332,0.499,34.77,4.02,0.017952965,25,10.1021/acs.iecr.6b02890,10.1016/j.jcis.2018.01.051,10.1016/j.molliq.2018.01.037,,10.1007/s11743-001-0169-1,calculated,,10.1007/s11743-001-0169-1,calculated,"InChI=1S/C24H47NO12/c1-2-3-4-5-6-7-8-9-10-11-16(30)25-23(35)22-19(33)18(32)20(34)24(37-22)36-21(15(29)13-27)17(31)14(28)12-26/h14-15,17-24,26-29,31-35H,2-13H2,1H3,(H,25,30)/t14-,15+,17+,18-,19+,20+,21+,22-,23?,24+/m0/s1",QODKPISYXJTOBW-LNAZLKFBSA-N,541.309825944
CCCCCCCCCCCC(=O)OC(O)[C@H]1O[C@H](OC[C@H]2O[C@H](OC[C@H]3O[C@H](O[C@]4(CO)O[C@H](CO)[C@@H](O)[C@@H]4O)[C@H](O)[C@@H](O)[C@@H]3O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,CCCCCCCCCCC(=O)OC[C@H]1O[C@H](OC[C@H]2O[C@H](OC[C@H]3O[C@H](O[C@]4(CO)O[C@H](CO)[C@@H](O)[C@@H]4O)[C@H](O)[C@@H](O)[C@@H]3O)[C@H](O)[C@@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@H]1O,Stachyose 6-dodecanoate,sugar-based non-ionic,0.0023,2.638272164,43,0.00000231,0.72,29.75,3.332356923,0.035708843,20,10.1021/acs.iecr.6b02890,10.1016/j.jcis.2018.01.051,10.1016/j.molliq.2018.01.037,,10.5650/jos.ess22391,calculated,,calculated,calculated,"InChI=1S/C36H64O23/c1-2-3-4-5-6-7-8-9-10-11-19(39)56-32(51)30-26(46)25(45)28(48)34(57-30)53-13-17-20(40)23(43)27(47)33(54-17)52-14-18-21(41)24(44)29(49)35(55-18)59-36(15-38)31(50)22(42)16(12-37)58-36/h16-18,20-35,37-38,40-51H,2-15H2,1H3/t16-,17-,18-,20-,21-,22-,23+,24+,25+,26+,27-,28-,29-,30+,31+,32?,33+,34+,35-,36+/m1/s1",NKVZNCKQKLMOPK-HANQZSPRSA-N,864.383838308
CCCCCCCCCCCCCC(=O)NC(O)[C@H]1O[C@@H](O[C@@H]([C@H](O)[C@@H](O)CO)[C@H](O)CO)[C@H](O)[C@@H](O)[C@H]1O,CCCCCCCCCCCCCC(=O)NC[C@H](O)[C@@H](O)[C@H](O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)CO,,sugar-based non-ionic,0.0000676,4.170053304,37,0.00000326,0.508,34.97,4.87,0.007673365,25,10.1021/acs.iecr.6b02890,10.1016/j.jcis.2018.01.051,10.1016/j.molliq.2018.01.037,,10.1007/s11743-001-0169-1,calculated,,10.1007/s11743-001-0169-1,calculated,"InChI=1S/C26H51NO12/c1-2-3-4-5-6-7-8-9-10-11-12-13-18(32)27-25(37)24-21(35)20(34)22(36)26(39-24)38-23(17(31)15-29)19(33)16(30)14-28/h16-17,19-26,28-31,33-37H,2-15H2,1H3,(H,27,32)/t16-,17+,19+,20-,21+,22+,23+,24-,25?,26+/m0/s1",RAFGOZXWTFAARR-DTUVXWTKSA-N,569.341126072
CCCCCCCCCCCCC(O)[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,CCCCCCCCCCCC(=O)OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,C12SUCR,sugar-based non-ionic,0.0003396,3.469032318,,,,,,,25,10.1021/ie4016232,,,,,,,,,"InChI=1S/C24H46O11/c1-2-3-4-5-6-7-8-9-10-11-12-15(27)21-19(30)18(29)20(31)23(33-21)35-24(14-26)22(32)17(28)16(13-25)34-24/h15-23,25-32H,2-14H2,1H3/t15?,16-,17-,18+,19+,20-,21-,22+,23-,24+/m1/s1",UUQUBFYKEQAKAP-QKQUSDTBSA-N,510.304012292
CCCCCCCCCCCCC(O)[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)C(O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O,CCCCCCCCCCCCO[C@@H]1O[C@H](CO)[C@@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O,C12MALT,sugar-based non-ionic,0.0002399,3.619969752,,,,,,,25,10.1021/ie4016232,,,,,,,,,"InChI=1S/C24H46O11/c1-2-3-4-5-6-7-8-9-10-11-12-14(26)21-17(28)16(27)20(31)24(34-21)35-22-15(13-25)33-23(32)19(30)18(22)29/h14-32H,2-13H2,1H3/t14?,15-,16+,17+,18-,19-,20-,21-,22-,23?,24-/m1/s1",NDOIXWAJQZPQBB-DZXAHHQGSA-N,510.304012292
CCCCCCCCCCCCN(C)C(=O)[C@H](O)[C@@H](O)[C@H](O[C@@H]1O[C@H](C)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)CO,CCCCCCCCCCCCN(C)C(=O)[C@H](O)[C@@H](O)[C@H](O[C@@H]1O[C@H](O)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)CO,,sugar-based non-ionic,0.00025,3.602059991,36,0.00000398,0.42,36.8,4.5,0.0000316,20,10.1021/acs.iecr.6b02890,10.1016/j.jcis.2018.01.051,10.1016/j.molliq.2018.01.037,,10.1006/jcis.2001.7704,10.1006/jcis.2001.7704,10.1006/jcis.2001.7704,10.1006/jcis.2001.7704,,"InChI=1S/C25H49NO10/c1-4-5-6-7-8-9-10-11-12-13-14-26(3)24(34)21(32)20(31)23(17(28)15-27)36-25-22(33)19(30)18(29)16(2)35-25/h16-23,25,27-33H,4-15H2,1-3H3/t16-,17-,18+,19+,20-,21-,22-,23-,25+/m1/s1",LHLMQWHXSJLVAC-NXFMKOSNSA-N,523.335646768
CCCCCCCCCCN(C)C(=O)[C@H](O)[C@@H](O)[C@H](O[C@@H]1O[C@H](C)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)CO,CCCCCCCCCCN(C)C(=O)[C@H](O)[C@@H](O)[C@H](O[C@@H]1O[C@H](O)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)CO,,sugar-based non-ionic,0.0023,2.638272164,38.9,0.00000414,0.4,33.9,3.3,0.000501,20,10.1021/acs.iecr.6b02890,10.1016/j.jcis.2018.01.051,10.1016/j.molliq.2018.01.037,,10.1006/jcis.2001.7704,10.1006/jcis.2001.7704,10.1006/jcis.2001.7704,10.1006/jcis.2001.7704,,"InChI=1S/C23H45NO10/c1-4-5-6-7-8-9-10-11-12-24(3)22(32)19(30)18(29)21(15(26)13-25)34-23-20(31)17(28)16(27)14(2)33-23/h14-21,23,25-31H,4-13H2,1-3H3/t14-,15-,16+,17+,18-,19-,20-,21-,23+/m1/s1",HAILVPDDFCQWKK-ZGPJYTKZSA-N,495.30434664
CCCCCCCCCCNC(=O)[C@H](O)[C@@H](O)[C@H](O[C@@H]1O[C@H](C)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)CO,CCCCCCCCCCNC(=O)[C@H](O)[C@@H](O)[C@H](O[C@@H]1O[C@H](O)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)CO,,sugar-based non-ionic,0.0013,2.886056648,33,0.00000396,0.42,36.1,3.6,0.00025,25,10.1021/acs.iecr.6b02890,10.1016/j.jcis.2018.01.051,10.1016/j.molliq.2018.01.037,,10.1006/jcis.2001.7704,10.1006/jcis.2001.7704,10.1006/jcis.2001.7704,10.1006/jcis.2001.7704,,"InChI=1S/C22H43NO10/c1-3-4-5-6-7-8-9-10-11-23-21(31)18(29)17(28)20(14(25)12-24)33-22-19(30)16(27)15(26)13(2)32-22/h13-20,22,24-30H,3-12H2,1-2H3,(H,23,31)/t13-,14-,15+,16+,17-,18-,19-,20-,22+/m1/s1",FTINVVBHACZJEA-QBCBQYGVSA-N,481.288696576
