molecule,CMC (mM),T (°C),log CMC (M),set,ref,SMILES,pCMC,method
N-tetradecyl-N-methyl lactobionamide,0.036,20,−4.4,V,95,,4.443697499232713,
N-hexadecyl-N-methyl lactobionamide,0.0093,20,−5.0,V,95,,5.031517051446065,
N-octadecyl-N-methyl lactobionamide,0.0033,20,−5.5,T,95,,5.481486060122113,
N-oleyl-N-methyl lactobionamide,0.054,20,−4.3,V,95,,4.267606240177032,
dodecanoyl-N-methylglyceramine,0.23,25,−3.6,V,96,,3.638272163982407,
dodecanoyl-N-methylxylamine,0.36,25,−3.4,T,96,Cc1cccc(C(=O)N(C)CCCCCCCCCCCC=O)c1C,3.4436974992327127,
octanoyl-N-methylglucamine,69.0,25,−1.2,T,86,,1.1611509092627446,
nonanoyl-N-methylglucamine,21.0,25,−1.7,V,86,CCCCCCCCC(=O)N(C)C[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,1.6777807052660807,
decanoyl-N-methylglucamine,6.7,25,−2.2,T,86,,2.1739251972991736,
decyl-β-D-maltoside,2.0,25,−2.7,T,97,CCCCCCCCCCOC1CC(O)C(OC2OC(CO)C(O)C(O)C2O)C(CO)O1,2.6989700043360187,
decyl-β-D-glucoside,2.0,25,−2.7,V,97,,2.6989700043360187,
dodecyl-β-D-maltoside,0.17,22,−3.8,T,98,CCCCCCCCCCCCO[C@@H]1O[C@H](CO)[C@@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O,3.769551078621726,
oleyl-β-D-maltoside,0.02,25,−4.7,T,99,CCCCCCCC/C=C\CCCCCCCCOC1OC(CO)C(OC2OC(CO)C(O)C(O)C2O)C(O)C1O,4.698970004336019,
oleyl-β-D-maltotrioside,0.042,25,−4.4,T,99,,4.376750709602099,
[N-(oleoyl)-2 -ethylamino]-β-D-maltoside,0.09,25,−4.0,T,99,,4.045757490560675,
hexyl-D-maltonamide,83.0,25,−1.1,V,100,CCCCCCCN=C(O)C(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,1.080921907623926,
octyl-D-maltonamide,5.7,25,−2.2,V,100,CCCCCCCCCN=C(O)C(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,2.2441251443275085,
decyl-D-maltonamide,1.3,25,−2.9,T,100,,2.886056647693163,
dodecyl-D-maltonamide,0.31,25,−3.5,V,100,,3.5086383061657274,
decyl-D-lactobionamide,1.3,25,−2.9,T,51,CCCCCCCCCCN=C(O)[C@H](O)[C@@H](O)[C@H](O[C@@H]1O[C@H](C)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)CO,2.886056647693163,
