Surfactant,Krafft temp,106·ΓCMC (mol/m2),1020 ACMC (m2),pC20,γCMC (mN/m),CMC (M),CMC/C20,−∆G°CMC (kJ/mol),−∆G°CMC/CH2 (kJ/mol),−∆G°ads/CH2 (kJ/mol),−∆G°ads/CH2,SMILES,reference_doi,Temp_Celsius,source_doi
MELA-10,<0,3.29,50.4,3.06,40.3,0.00332,3.82,14.14,,17.46,,O[C@H](CO)[C@H]([C@H](O)[C@@H](O)CN(C(CCCCCCCCC)=O)C)O[C@H](O1)[C@H](O)[C@@H](O)[C@@H](O)[C@H]1CO,,25,10.1007/s11743-001-0169-1
MELA-12,<0,3.32,49.9,4.02,37.2,0.000447,4.68,19.11,,22.97,,O[C@H](CO)[C@H]([C@H](O)[C@@H](O)CN(C(CCCCCCCCCCC)=O)C)O[C@H](O1)[C@H](O)[C@@H](O)[C@@H](O)[C@H]1CO,,25,10.1007/s11743-001-0169-1
MELA-14,<0,3.26,50.8,4.87,37,6.76E-05,5.01,23.79,2.01,27.81,2.05,O[C@H](CO)[C@H]([C@H](O)[C@@H](O)CN(C(CCCCCCCCCCCCC)=O)C)O[C@H](O1)[C@H](O)[C@@H](O)[C@@H](O)[C@H]1CO,,25,10.1007/s11743-001-0169-1
MELA-16,45,3.36,49.4,5.46,36.5,1.75E-05,5.05,27.14,,31.16,,O[C@H](CO)[C@H]([C@H](O)[C@@H](O)CN(C(CCCCCCCCCCCCCCC)=O)C)O[C@H](O1)[C@H](O)[C@@H](O)[C@@H](O)[C@H]1CO,,25,10.1007/s11743-001-0169-1
MELA-18,45,3.32,49.9,5.95,35.7,5.62E-06,5.01,29.95,,33.96,,O[C@H](CO)[C@H]([C@H](O)[C@@H](O)CN(C(CCCCCCCCCCCCCCCCC)=O)C)O[C@H](O1)[C@H](O)[C@@H](O)[C@@H](O)[C@H]1CO,,25,10.1007/s11743-001-0169-1
MEGA-14,67,4.68,37.3,5.43,36.3,1.48E-05,4,27.5,,31,,CCCCCCCCCCCCCC(N(C[C@@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)C)=O,10.1007/s11743-999-0089-0,25,10.1007/s11743-001-0169-1
C12-MLA,<0,3.98,42,4.45,36.7,0.000249,7.1,20.22,,25,,CCCCCCCCCCCCN(C)C(=O)[C@H](O)[C@@H](O)[C@H](O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)CO,10.1006/jcis.2001.7704,25,10.1007/s11743-001-0169-1
C14-MLA,<0,3.76,44,5.4,35.7,3.64E-05,9.2,24.92,2.05,30.32,2.18,CCCCCCCCCCCCCCN(C)C(=O)[C@H](O)[C@@H](O)[C@H](O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)CO,10.1006/jcis.2001.7704,25,10.1007/s11743-001-0169-1
