RAW_SMILES,,SMILES,InChI,InChIKey,Molecular_Weight,CMC,log(CMC),pCMC,AW_ST_CMC,Gamma_CMC,Area_CMC,Pi_CMC,PC20,CMC/PC20,C20,CMC/C20,Temp_Celsius,Surfactant_Type,Ref_CMC,Ref_AW_ST_CMC,SubRef_CMC,SubRef_AW_ST_CMC,Ref_Gamma_CMC,Ref_Pi_CMC,Ref_Area_CMC,Ref_PC20,Ref_CMC/PC20,Ref_C20,Ref_CMC/C20,Note,srcdb,
CCCCCCCC[N+](C)(C)CC[N+](C)(C)CCCCCCCCCC.OP(=O)(=O)[O-],keep,CCCCCCCCCC[N+](C)(C)CC[N+](C)(C)CCCCCCCC.O=[PH](=O)([O-])O,"InChI=1S/C24H54N2.HO4P/c1-7-9-11-13-15-16-18-20-22-26(5,6)24-23-25(3,4)21-19-17-14-12-10-8-2;1-5(2,3)4/h7-24H2,1-6H3;(H-,1,2,3,4)/q+2;-1",RBVRBPDVQPLZID-UHFFFAOYSA-N,467.3972213,0.000110002,-3.9586,3.9586,,,,,,,,,,cationic gemini,10.1016/j.chemosphere.2011.05.031,,,,,,,,,,,2,merged2,
CCCCCCCCCC[N+](C)(C)CC[N+](C)(C)CCCCCCCC.OP(=O)(=O)[O-],remove,CCCCCCCCCC[N+](C)(C)CC[N+](C)(C)CCCCCCCC.O=[PH](=O)([O-])O,"InChI=1S/C24H54N2.HO4P/c1-7-9-11-13-15-16-18-20-22-26(5,6)24-23-25(3,4)21-19-17-14-12-10-8-2;1-5(2,3)4/h7-24H2,1-6H3;(H-,1,2,3,4)/q+2;-1",RBVRBPDVQPLZID-UHFFFAOYSA-N,467.3972213,0.0001,-4,4,,,,,,,,,,cationic gemini,10.1016/j.chemosphere.2011.05.031,,,,,,,,,,,3,merged2,
,keep,CCCCCCCCCC[N+](C)(C)CCCC[N+](C)(C)CCCCCCCCCC.C[N+]C,"InChI=1S/C28H62N2.C2H6N/c1-7-9-11-13-15-17-19-21-25-29(3,4)27-23-24-28-30(5,6)26-22-20-18-16-14-12-10-8-2;1-3-2/h7-28H2,1-6H3;1-2H3/q+2;+1",HZVXJDFHMQIVTM-UHFFFAOYSA-N,470.5396784,0.008780111,-2.0565,2.0565,,,,,,,,,,cationic gemini,10.1016/j.chemosphere.2011.05.031,,,,,,,,,,,39,merged2,merged2
,keep,CCCCCCCCCC[N+](C)(C)CCCC[N+](C)(C)CCCCCCCCCC.C[N+]C,"InChI=1S/C28H62N2.C2H6N/c1-7-9-11-13-15-17-19-21-25-29(3,4)27-23-24-28-30(5,6)26-22-20-18-16-14-12-10-8-2;1-3-2/h7-28H2,1-6H3;1-2H3/q+2;+1",HZVXJDFHMQIVTM-UHFFFAOYSA-N,470.5396784,0.008699614,-2.0605,2.0605,,,,,,,,,,cationic gemini,10.1016/j.chemosphere.2011.05.031,,,,,,,,,,,43,merged2,merged2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,merged2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,merged2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,merged2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,merged2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,merged2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,merged2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,merged2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,merged2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,merged2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,merged2,
