identifier,Pi_CMC,AW_ST_CMC,pC20,source_doi,reference_doi,Temp_Celsius,SMILES,InChI,Molecular_Weight,CMC,pCMC,Gamma_max,Area_min,C20
C14MEA,40.0,32.0,4.225,10.1016/j.molliq.2018.10.100,,25.0,CCCCCCCCCCCCCC[NH2+]CCO.[Br-],"InChI=1S/C16H35NO.BrH/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-17-15-16-18;/h17-18H,2-16H2,1H3;1H",338.3739999999999,0.000729,3.1372724716820253,1.6299999999999999e-06,1.0170000000000001,5.9566214352901096e-05
C14DEA,44.2,27.8,4.459,10.1016/j.molliq.2018.10.100,,25.0,CCCCCCCCCCCCCC[NH+](CCO)CCO.[Br-],"InChI=1S/C18H39NO2.BrH/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-19(15-17-20)16-18-21;/h20-21H,2-18H2,1H3;1H",382.427,0.000654,3.184422251675733,1.6699999999999999e-06,0.993,3.4753616144320614e-05
C14TEA,42.4,29.6,4.32,10.1016/j.molliq.2018.10.100,,25.0,CCCCCCCCCCCCCC[N+](CCO)(CCO)CCO.[Br-],"InChI=1S/C20H44NO3.BrH/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-21(15-18-22,16-19-23)17-20-24;/h22-24H,2-20H2,1H3;1H/q+1;/p-1",426.4800000000001,0.000586,3.232102383981909,1.73e-06,0.9590000000000001,4.7863009232263804e-05
C14MEtA,41.2,30.8,4.494,10.1016/j.molliq.2018.10.100,,25.0,CCCCCCCCCCCCCC[NH+](C)CCO.[Br-],"InChI=1S/C17H37NO.BrH/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-18(2)16-17-19;/h19H,3-17H2,1-2H3;1H",352.4009999999999,0.00028399999999999996,3.5466816599529625,1.9699999999999998e-06,0.843,3.2062693245054676e-05
C14MDtA,38.7,33.3,3.752,10.1016/j.molliq.2018.10.100,,25.0,CCCCCCCCCCCCCC[N+](C)(CCO)CCO.[Br-],"InChI=1S/C19H42NO2.BrH/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-20(2,16-18-21)17-19-22;/h21-22H,3-19H2,1-2H3;1H/q+1;/p-1",396.454,0.00126,2.899629454882437,1.8799999999999998e-06,0.8859999999999999,0.0001770108958317422
C14DEIPA,35.9,36.1,4.436,10.1016/j.molliq.2018.10.100,,25.0,CCCCCCCCCCCCCC[N+](CCO)(CCO)CC(C)O.[Br-],"InChI=1S/C21H46NO3.BrH/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-22(16-18-23,17-19-24)20-21(2)25;/h21,23-25H,3-20H2,1-2H3;1H/q+1;/p-1",440.50700000000006,0.000227,3.6439741428068775,1.9699999999999998e-06,0.843,3.6643757464783335e-05
C14EDIPA,34.3,37.7,4.468,10.1016/j.molliq.2018.10.100,,25.0,CCCCCCCCCCCCCC[N+](CCO)(CC(C)O)CC(C)O.[Br-],"InChI=1S/C22H48NO3.BrH/c1-4-5-6-7-8-9-10-11-12-13-14-15-16-23(17-18-24,19-21(2)25)20-22(3)26;/h21-22,24-26H,4-20H2,1-3H3;1H/q+1;/p-1",454.53400000000005,0.00022,3.657577319177794,1.57e-06,1.0590000000000002,3.404081897010009e-05
C14TIPA,34.3,37.7,4.438,10.1016/j.molliq.2018.10.100,,25.0,CCCCCCCCCCCCCC[N+](CC(C)O)(CC(C)O)CC(C)O.[Br-],"InChI=1S/C23H50NO3.BrH/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-24(18-21(2)25,19-22(3)26)20-23(4)27;/h21-23,25-27H,5-20H2,1-4H3;1H/q+1;/p-1",468.5610000000001,0.000213,3.6716203965612624,1.8799999999999998e-06,0.8859999999999999,3.6475394692560806e-05
