No.,Compound,103 CMC (M),γ_+CMC,103 acMC (M),α,ΔG0mica (kJ/mol),ΔG0micb (kJ/mol),Temp_Celsius,source_doi,reference_doi,SMILES
Ia,C9-D-TAB,12.3,0.878,10.8,0.28,-36.41,-35.85,25,10.1016/0927-7757(95)03093-S,,C1(CCCCCCCCC)OC(C[N+](C)(C)C)CO1.[Br-]
Ia,C9-D-TAB,,,,0.28,,,25,10.1016/0927-7757(95)03093-S,10.1007/BF02541476,C1(CCCCCCCCC)OC(C[N+](C)(C)C)CO1.[Br-]
Ib,C11-D-TAB,3.02,0.938,2.833,0.25,-42.86,-42.58,25,10.1016/0927-7757(95)03093-S,,C1(CCCCCCCCCCC)OC(C[N+](C)(C)C)CO1.[Br-]
Ib,C11-D-TAB,,,,0.25,,,25,10.1016/0927-7757(95)03093-S,10.1007/BF02541476,C1(CCCCCCCCCCC)OC(C[N+](C)(C)C)CO1.[Br-]
Ic,C13-D-TAB,0.85,0.966,0.821,0.21,-49.33,-49.18,25,10.1016/0927-7757(95)03093-S,,C1(CCCCCCCCCCCCC)OC(C[N+](C)(C)C)CO1.[Br-]
Ic,C13-D-TAB,,,,0.21,,,25,10.1016/0927-7757(95)03093-S,10.1007/BF02541476,C1(CCCCCCCCCCCCC)OC(C[N+](C)(C)C)CO1.[Br-]
IIa,C8C1-D-TAB,22.9,0.837,19.17,0.25,-34.54,-33.77,25,10.1016/0927-7757(95)03093-S,,CC1(CCCCCCCC)OC(C[N+](C)(C)C)CO1.[Br-]
IIb,C10C1-D-TAB,5.86,0.914,5.36,0.25,-40.09,-39.7,25,10.1016/0927-7757(95)03093-S,,CC1(CCCCCCCCCC)OC(C[N+](C)(C)C)CO1.[Br-]
IIc,C6C6-D-TAB,8.71,0.896,7.8,0.25,-38.45,-37.98,25,10.1016/0927-7757(95)03093-S,,CCCCCCC1(CCCCCC)OC(C[N+](C)(C)C)CO1.[Br-]
IIIa,C12-TAB,,0.867,12.83,,-36.71,-36.08,25,10.1016/0927-7757(95)03093-S,,CCCCCCCCCCCC[N+](C)(C)C.[Br-]
IIIa,C12-TAB,14.8,,,,,,25,10.1016/0927-7757(95)03093-S,,CCCCCCCCCCCC[N+](C)(C)C.[Br-]
IIIa,C12-TAB,,,,,-36.71,-36.08,25,10.1016/0927-7757(95)03093-S,10.1021/j100260a044,CCCCCCCCCCCC[N+](C)(C)C.[Br-]
IIIa,C12-TAB,,,12.91,,-36.26,-35.64,25,10.1016/0927-7757(95)03093-S,,CCCCCCCCCCCC[N+](C)(C)C.[Br-]
IIIa,C12-TAB,14.9,,,0.25,,,25,10.1016/0927-7757(95)03093-S,10.1007/BF01550555,CCCCCCCCCCCC[N+](C)(C)C.[Br-]
IIIa,C12-TAB,15,,,,,,25,10.1016/0927-7757(95)03093-S,10.1016/0021-9797(86)90173-6,CCCCCCCCCCCC[N+](C)(C)C.[Br-]
IIIb,C14-TAB,,0.933,3.22,,-43.51,-43.2,25,10.1016/0927-7757(95)03093-S,,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-]
IIIb,C14-TAB,3.45,,,,,,25,10.1016/0927-7757(95)03093-S,,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-]
IIIb,C14-TAB,,,,0.2,,,25,10.1016/0927-7757(95)03093-S,10.1021/j100260a044,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-]
IIIb,C14-TAB,3.4,,,,,,25,10.1016/0927-7757(95)03093-S,10.1016/0021-9797(86)90173-6,
IIIc,C16-TAB,,0.966,0.822,,-50.7,-50.54,25,10.1016/0927-7757(95)03093-S,,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-]
IIIc,C16-TAB,0.851,,,,,,25,10.1016/0927-7757(95)03093-S,,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-]
