Surfactant,CMC x 10^3 (mol/liter),Γ X 10^10 (mol/cm2),Area/molecule (A2),Efficiency pC20,Pi_CMC/found (dyn/cm),pCMC/calc. (dyn/cm),SMILES,source_doi,reference_doi,Temp_Celsius
MAL-C6,83.0,2.53,66,2.5,39.8,40.5,OC[C@@H](O)[C@H]([C@H](O)[C@@H](O)C(NCCCCCC)=O)O[C@@H](O1)[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,10.1006/jcis.1996.0054,,25.0
MAL-C8,5.7,4.26,39,3.1,40.2,40.8,OC[C@@H](O)[C@H]([C@H](O)[C@@H](O)C(NCCCCCCCC)=O)O[C@@H](O1)[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,10.1006/jcis.1996.0054,,25.0
MAL-C10,1.3,4.57,36,3.6,38.1,38.6,OC[C@@H](O)[C@H]([C@H](O)[C@@H](O)C(NCCCCCCCCCC)=O)O[C@@H](O1)[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,10.1006/jcis.1996.0054,,25.0
MAL-C12,0.31,3.83,43,4.4,38.4,39.5,OC[C@@H](O)[C@H]([C@H](O)[C@@H](O)C(NCCCCCCCCCCCC)=O)O[C@@H](O1)[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,10.1006/jcis.1996.0054,,25.0
DEX9-C12,0.33,2.75,60,4.0,28.2,28.1,O[C@@H](C(OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)C(OC[C@@H]2[C@@H](O)[C@H](O)[C@@H](O)C(OC[C@@H]3[C@@H](O)[C@H](O)[C@@H](O)C(OC[C@@H]4[C@@H](O)[C@H](O)[C@@H](O)C(OC[C@@H]5[C@@H](O)[C@H](O)[C@@H](O)C(OC[C@@H]6[C@@H](O)[C@H](O)[C@@H](O)C(OC[C@@H]7[C@@H](O)[C@H](O)[C@@H](O)C(OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(NCCCCCCCCCCCC)=O)O7)O6)O5)O4)O3)O2)O1)O8)[C@@H](O)[C@H](O)[C@H]8CO,10.1006/jcis.1996.0054,,25.0
