Surfactant,CMC conductivity mM,CMC conductivity err mM,CMC surface tension mM,CMC fluorescence mM,β,γcmc (mN/m),Γmax (μmol/m2),Amin (nm2),C20 (10-4),∏cmc (mN/m),ΔG0mic (kJ/mol),ΔG0ads (kJ/mol),source_doi,SMILES,reference_doi,Temp_Celsius
9,0.18,0.01,0.14,0.15,0.72,38.77,2.07,0.82,0.39,33.23,-38.17,-54.22,10.1016/j.jcis.2013.11.059,CCCCCCCCCCCCOc1ccc[n+](CCCC[n+]2cccc(OCCCCCCCCCCCC)c2)c1.[Br-].[Br-],,25.0
10,0.19,0.01,0.17,0.19,0.69,37.25,1.86,0.89,0.34,34.75,37.09,55.77,10.1016/j.jcis.2013.11.059,CCCCCCCCCCCCOc1ccc[n+](CCCCC[n+]2cccc(OCCCCCCCCCCCC)c2)c1.[Br-].[Br-],,25.0
11,0.24,0.01,0.19,0.26,0.68,37.83,1.85,0.9,0.42,34.13,36.1,54.54,10.1016/j.jcis.2013.11.059,CCCCCCCCCCCCOc1ccc[n+](CCCCCC[n+]2cccc(OCCCCCCCCCCCC)c2)c1.[Br-].[Br-],,25.0
12,0.034,0.01,0.027,0.033,0.68,41.64,2.7,0.61,0.13,30.36,41.81,53.05,10.1016/j.jcis.2013.11.059,CCCCCCCCCCCCCCOc1ccc[n+](CCCC[n+]2cccc(OCCCCCCCCCCCCCC)c2)c1.[Br-].[Br-],,25.0
13,0.052,0.01,0.037,0.042,0.67,39.6,2.62,0.63,0.15,32.4,40.23,52.59,10.1016/j.jcis.2013.11.059,CCCCCCCCCCCCCCOc1ccc[n+](CCCCC[n+]2cccc(OCCCCCCCCCCCCCC)c2)c1.[Br-].[Br-],,25.0
14,0.06,0.01,0.05,0.057,0.66,40.54,2.32,0.71,0.2,31.46,39.47,53.03,10.1016/j.jcis.2013.11.059,CCCCCCCCCCCCCCOc1ccc[n+](CCCCCC[n+]2cccc(OCCCCCCCCCCCCCC)c2)c1.[Br-].[Br-],,25.0
