Surfactant,CMC mM,γCMC mN/m,Πcmc mN/m,106Γmax mol/m2,Amin nm2,pC20,CMC/C20,Foam0 min mL,Foam10 min mL,Foam stability V10/V0 *100  %,source_doi,SMILES,reference_doi,Temp_Celsius
10a,0.89,40.15,32.35,1.87,0.89,3.52,2.94,125,80,64,10.1007/s13738-021-02247-3,CCCCCCCCCCCC[N+](C)(NC(CCC(N1CCOCC1)=O)=O)C.[I-],,25.0
11a,0.61,38.12,34.28,1.93,0.86,3.83,4.12,143,105,73,10.1007/s13738-021-02247-3,CCCCCCCCCCCCCC[N+](C)(NC(CCC(N1CCOCC1)=O)=O)C.[I-],,25.0
12a,0.37,36.5,35.9,2.14,0.77,4.15,5.22,159,125,78,10.1007/s13738-021-02247-3,CCCCCCCCCCCCCCCC[N+](C)(NC(CCC(N1CCOCC1)=O)=O)C.[I-],,25.0
10b,0.4,38.91,33.49,1.98,0.84,3.67,1.87,142,91,67,10.1007/s13738-021-02247-3,CCCCCCCCCCCC[N+](C)(NC(CCC(N1CCCCC1)=O)=O)C.[I-],,25.0
11b,0.28,36.45,35.95,2.06,0.81,3.93,2.38,165,125,75,10.1007/s13738-021-02247-3,CCCCCCCCCCCCCC[N+](C)(NC(CCC(N1CCCCC1)=O)=O)C.[I-],,25.0
12b,0.19,34.6,37.8,2.25,0.74,4.29,3.7,184,143,80,10.1007/s13738-021-02247-3,CCCCCCCCCCCCCCCC[N+](C)(NC(CCC(N1CCCCC1)=O)=O)C.[I-],,25.0
