identifier,AW_ST_CMC,Area_min,Temp_Celsius,source_doi,reference_doi,SMILES,CMC,pCMC,Molecular_Weight,InChI
APMC6,32.5,2.37,25.0,10.1016/j.molliq.2020.112817,,CCCCCC[n+]1cccc(COC(=O)CC(O)(CC(=O)OCc2ccc[n+](CCCCCC)c2)C(=O)OCc2ccc[n+](CCCCCC)c2)c1.[Br-].[Br-].[Br-],0.000646,3.1897674820049158,960.684,"InChI=1S/C42H62N3O7.3BrH/c1-4-7-10-13-22-43-25-16-19-36(30-43)33-50-39(46)28-42(49,41(48)52-35-38-21-18-27-45(32-38)24-15-12-9-6-3)29-40(47)51-34-37-20-17-26-44(31-37)23-14-11-8-5-2;;;/h16-21,25-27,30-32,49H,4-15,22-24,28-29,33-35H2,1-3H3;3*1H/q+3;;;/p-3"
APMC12,30.1,1.93,25.0,10.1016/j.molliq.2020.112817,,CCCCCCCCCCCC[n+]1cccc(COC(=O)CC(O)(CC(=O)OCc2ccc[n+](CCCCCCCCCCCC)c2)C(=O)OCc2ccc[n+](CCCCCCCCCCCC)c2)c1.[Br-].[Br-].[Br-],0.00020899999999999998,3.679853713888946,1213.1699999999987,"InChI=1S/C60H98N3O7.3BrH/c1-4-7-10-13-16-19-22-25-28-31-40-61-43-34-37-54(48-61)51-68-57(64)46-60(67,59(66)70-53-56-39-36-45-63(50-56)42-33-30-27-24-21-18-15-12-9-6-3)47-58(65)69-52-55-38-35-44-62(49-55)41-32-29-26-23-20-17-14-11-8-5-2;;;/h34-39,43-45,48-50,67H,4-33,40-42,46-47,51-53H2,1-3H3;3*1H/q+3;;;/p-3"
APMC18,27.5,1.77,25.0,10.1016/j.molliq.2020.112817,,CCCCCCCCCCCCCCCCCC[n+]1cccc(COC(=O)CC(O)(CC(=O)OCc2ccc[n+](CCCCCCCCCCCCCCCCCC)c2)C(=O)OCc2ccc[n+](CCCCCCCCCCCCCCCCCC)c2)c1.[Br-].[Br-].[Br-],9.5e-05,4.022276394711152,1465.655999999999,"InChI=1S/C78H134N3O7.3BrH/c1-4-7-10-13-16-19-22-25-28-31-34-37-40-43-46-49-58-79-61-52-55-72(66-79)69-86-75(82)64-78(85,77(84)88-71-74-57-54-63-81(68-74)60-51-48-45-42-39-36-33-30-27-24-21-18-15-12-9-6-3)65-76(83)87-70-73-56-53-62-80(67-73)59-50-47-44-41-38-35-32-29-26-23-20-17-14-11-8-5-2;;;/h52-57,61-63,66-68,85H,4-51,58-60,64-65,69-71H2,1-3H3;3*1H/q+3;;;/p-3"
