identifier,AW_ST_CMC,Temp_Celsius,source_doi,reference_doi,SMILES,method,CMC,pCMC,Molecular_Weight,InChI
TMEAL-10Br,31.64,21.85,10.1246/cl.2012.1096,,CCCCCCCCCCOC(=O)C(C)[N+](C)(C)CC[N+](C)(C)C(C)C(=O)OCCCCCCCCCC.[Br-].[Br-],tensiometry,0.0015,2.8239087409443187,702.6980000000004,"InChI=1S/C32H66N2O4.2BrH/c1-9-11-13-15-17-19-21-23-27-37-31(35)29(3)33(5,6)25-26-34(7,8)30(4)32(36)38-28-24-22-20-18-16-14-12-10-2;;/h29-30H,9-28H2,1-8H3;2*1H/q+2;;/p-2"
TMEAL-12Br,31.73,21.85,10.1246/cl.2012.1096,,CCCCCCCCCCCCOC(=O)C(C)[N+](C)(C)CC[N+](C)(C)C(C)C(=O)OCCCCCCCCCCCC.[Br-].[Br-],tensiometry,0.0004,3.3979400086720375,758.806,"InChI=1S/C36H74N2O4.2BrH/c1-9-11-13-15-17-19-21-23-25-27-31-41-35(39)33(3)37(5,6)29-30-38(7,8)34(4)36(40)42-32-28-26-24-22-20-18-16-14-12-10-2;;/h33-34H,9-32H2,1-8H3;2*1H/q+2;;/p-2"
d(DDA)EBr,28.94,21.85,10.1246/cl.2012.1096,,CCCCCCCCCCCC[N+](C)(C)CCCC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],tensiometry,0.00085,3.070581074285707,642.7340000000005,"InChI=1S/C32H70N2.2BrH/c1-7-9-11-13-15-17-19-21-23-25-29-33(3,4)31-27-28-32-34(5,6)30-26-24-22-20-18-16-14-12-10-8-2;;/h7-32H2,1-6H3;2*1H/q+2;;/p-2"
DTAB,38.0,21.85,10.1246/cl.2012.1096,,CCCCCCCCCCCC[N+](C)(C)C.[Br-],tensiometry,0.016,1.7958800173440752,308.34799999999996,"InChI=1S/C15H34N.BrH/c1-5-6-7-8-9-10-11-12-13-14-15-16(2,3)4;/h5-15H2,1-4H3;1H/q+1;/p-1"
