Surfactant,TKrafft (°C),γCMC (mN m-1),CMCs (mmol L-1),pC20,Γmax (10-10 mol cm-2),Amin (nm2),Temp_Celsius,source_doi,reference_doi,SMILES
I,<0,37.8,0.65,3.19,1.09,1.51,20.0,10.1007/s11743-015-1777-4,,CCCCCCCCCCCC[N+](C)(C)CC(=O)Oc1ccc(OC(=O)C[N+](C)(C)CCCCCCCCCCCC)cc1.[Cl-].[Cl-]
II,<0,37.7,0.1,4.04,1.27,1.31,20.0,10.1007/s11743-015-1777-4,,CCCCCCCCCCCCCC[N+](C)(C)CC(=O)Oc1ccc(OC(=O)C[N+](C)(C)CCCCCCCCCCCCCC)cc1.[Cl-].[Cl-]
III,<0,41.1,0.58,3.24,0.89,1.86,20.0,10.1007/s11743-015-1777-4,,CCCCCCCCCCCC[N+](C)(C)CC(=O)OCc1ccc(COC(=O)C[N+](C)(C)CCCCCCCCCCCC)cc1.[Cl-].[Cl-]
IV,<0,40.9,0.09,3.99,1.24,1.34,20.0,10.1007/s11743-015-1777-4,,CCCCCCCCCCCCCC[N+](C)(C)CC(=O)OCc1ccc(COC(=O)C[N+](C)(C)CCCCCCCCCCCCCC)cc1.[Cl-].[Cl-]
DTAB,,,,,,0.66,20.0,10.1007/s11743-015-1777-4,10.1021/jp802243f,CCCCCCCCCCCC[N+](C)(C)C.[Br-]
DTAB,,39.0,16.0,2.1,,,20.0,10.1007/s11743-015-1777-4,10.1021/la060156y,CCCCCCCCCCCC[N+](C)(C)C.[Br-]
TTAB,,37.8,3.7,2.9,,,20.0,10.1007/s11743-015-1777-4,10.1021/la060156y,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-]
TTAB,,,,,,0.62,20.0,10.1007/s11743-015-1777-4,10.1021/jp802243f,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-]
