identifier,CMC,AW_ST_CMC,F x 10^20/ m2,source_doi,SMILES,reference_doi,Temp_Celsius,method,Molecular_Weight,InChI,Gamma_max,Area_min,pCMC
XI,0.015,38.0,100.0,10.1016/0021-9797(86)90417-0,CCCCCCCCC[N+](C)(C)CCCN(C)CCC[N+](C)(C)CCCCCCCCC.[Br-].[Br-],,20,tensiometry,615.6680000000005,"InChI=1S/C29H65N3.2BrH/c1-8-10-12-14-16-18-20-26-31(4,5)28-22-24-30(3)25-23-29-32(6,7)27-21-19-17-15-13-11-9-2;;/h8-29H2,1-7H3;2*1H/q+2;;/p-2",1.66e-06,1.0,1.8239087409443189
XII,0.0047,35.5,98.3,10.1016/0021-9797(86)90417-0,CCCCCCCCCC[N+](C)(C)CCCN(C)CCC[N+](C)(C)CCCCCCCCCC.[Br-].[Br-],,20,tensiometry,643.7220000000004,"InChI=1S/C31H69N3.2BrH/c1-8-10-12-14-16-18-20-22-28-33(4,5)30-24-26-32(3)27-25-31-34(6,7)29-23-21-19-17-15-13-11-9-2;;/h8-31H2,1-7H3;2*1H/q+2;;/p-2",1.69e-06,0.9829999999999999,2.3279021420642825
XIII,0.0021,37.5,103.1,10.1016/0021-9797(86)90417-0,CCCCCCCCCCC[N+](C)(C)CCCN(C)CCC[N+](C)(C)CCCCCCCCCCC.[Br-].[Br-],,20,tensiometry,671.7760000000005,"InChI=1S/C33H73N3.2BrH/c1-8-10-12-14-16-18-20-22-24-30-35(4,5)32-26-28-34(3)29-27-33-36(6,7)31-25-23-21-19-17-15-13-11-9-2;;/h8-33H2,1-7H3;2*1H/q+2;;/p-2",1.61e-06,1.031,2.677780705266081
XIV,0.0012,36.1,108.1,10.1016/0021-9797(86)90417-0,CCCCCCCCCCCC[N+](C)(C)CCCN(C)CCC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],,20,tensiometry,699.8300000000005,"InChI=1S/C35H77N3.2BrH/c1-8-10-12-14-16-18-20-22-24-26-32-37(4,5)34-28-30-36(3)31-29-35-38(6,7)33-27-25-23-21-19-17-15-13-11-9-2;;/h8-35H2,1-7H3;2*1H/q+2;;/p-2",1.54e-06,1.081,2.9208187539523753
XV,0.00041,38.0,111.2,10.1016/0021-9797(86)90417-0,CCCCCCCCCCCCC[N+](C)(C)CCCN(C)CCC[N+](C)(C)CCCCCCCCCCCCC.[Br-].[Br-],,20,tensiometry,727.8840000000004,"InChI=1S/C37H81N3.2BrH/c1-8-10-12-14-16-18-20-22-24-26-28-34-39(4,5)36-30-32-38(3)33-31-37-40(6,7)35-29-27-25-23-21-19-17-15-13-11-9-2;;/h8-37H2,1-7H3;2*1H/q+2;;/p-2",1.49e-06,1.1119999999999999,3.3872161432802645
XVI,0.00012,38.0,102.5,10.1016/0021-9797(86)90417-0,CCCCCCCCCCCCCC[N+](C)(C)CCCN(C)CCC[N+](C)(C)CCCCCCCCCCCCCC.[Br-].[Br-],,20,tensiometry,755.9380000000002,"InChI=1S/C39H85N3.2BrH/c1-8-10-12-14-16-18-20-22-24-26-28-30-36-41(4,5)38-32-34-40(3)35-33-39-42(6,7)37-31-29-27-25-23-21-19-17-15-13-11-9-2;;/h8-39H2,1-7H3;2*1H/q+2;;/p-2",1.6200000000000002e-06,1.025,3.9208187539523753
XVII,4.2e-05,40.1,112.7,10.1016/0021-9797(86)90417-0,CCCCCCCCCCCCCCC[N+](C)(C)CCCN(C)CCC[N+](C)(C)CCCCCCCCCCCCCCC.[Br-].[Br-],,20,tensiometry,783.9920000000001,"InChI=1S/C41H89N3.2BrH/c1-8-10-12-14-16-18-20-22-24-26-28-30-32-38-43(4,5)40-34-36-42(3)37-35-41-44(6,7)39-33-31-29-27-25-23-21-19-17-15-13-11-9-2;;/h8-41H2,1-7H3;2*1H/q+2;;/p-2",1.47e-06,1.127,4.376750709602099
XVIII,1.4e-05,42.9,119.2,10.1016/0021-9797(86)90417-0,CCCCCCCCCCCCCCCC[N+](C)(C)CCCN(C)CCC[N+](C)(C)CCCCCCCCCCCCCCCC.[Br-].[Br-],,20,tensiometry,812.0459999999999,"InChI=1S/C43H93N3.2BrH/c1-8-10-12-14-16-18-20-22-24-26-28-30-32-34-40-45(4,5)42-36-38-44(3)39-37-43-46(6,7)41-35-33-31-29-27-25-23-21-19-17-15-13-11-9-2;;/h8-43H2,1-7H3;2*1H/q+2;;/p-2",1.3899999999999998e-06,1.1920000000000002,4.853871964321762
XIX,0.042,41.7,127.7,10.1016/0021-9797(86)90417-0,CCCCCCCC[N+](C)(C)CCCOCCC[N+](C)(C)CCCCCCCC.[Br-].[Br-],,20,tensiometry,574.5710000000004,"InChI=1S/C26H58N2O.2BrH/c1-7-9-11-13-15-17-21-27(3,4)23-19-25-29-26-20-24-28(5,6)22-18-16-14-12-10-8-2;;/h7-26H2,1-6H3;2*1H/q+2;;/p-2",1.3e-06,1.277,1.3767507096020994
XX,0.017,40.4,133.1,10.1016/0021-9797(86)90417-0,CCCCCCCCC[N+](C)(C)CCCOCCC[N+](C)(C)CCCCCCCCC.[Br-].[Br-],,20,tensiometry,602.6250000000005,"InChI=1S/C28H62N2O.2BrH/c1-7-9-11-13-15-17-19-23-29(3,4)25-21-27-31-28-22-26-30(5,6)24-20-18-16-14-12-10-8-2;;/h7-28H2,1-6H3;2*1H/q+2;;/p-2",1.25e-06,1.331,1.7695510786217261
XXI,0.0077,40.8,135.0,10.1016/0021-9797(86)90417-0,CCCCCCCCCC[N+](C)(C)CCCOCCC[N+](C)(C)CCCCCCCCCC.[Br-].[Br-],,20,tensiometry,630.6790000000005,"InChI=1S/C30H66N2O.2BrH/c1-7-9-11-13-15-17-19-21-25-31(3,4)27-23-29-33-30-24-28-32(5,6)26-22-20-18-16-14-12-10-8-2;;/h7-30H2,1-6H3;2*1H/q+2;;/p-2",1.23e-06,1.3499999999999999,2.113509274827518
XXII,0.0021,39.1,127.1,10.1016/0021-9797(86)90417-0,CCCCCCCCCCC[N+](C)(C)CCCOCCC[N+](C)(C)CCCCCCCCCCC.[Br-].[Br-],,20,tensiometry,658.7330000000006,"InChI=1S/C32H70N2O.2BrH/c1-7-9-11-13-15-17-19-21-23-27-33(3,4)29-25-31-35-32-26-30-34(5,6)28-24-22-20-18-16-14-12-10-8-2;;/h7-32H2,1-6H3;2*1H/q+2;;/p-2",1.31e-06,1.271,2.677780705266081
