Surfactant,Experimental CMC (M),Temperature (°C),Experimental log CMC (uM),Predicted log CMC (uM),Surfactant Type,Train/Test,Ref
2-decanediol,0.0023,25,3.362,3.232,nonionic,train,12
"1,3-undecanediol",0.0023,25,3.362,3.295,nonionic,train,12
"1,3-pentadecanediol",1.30E-05,25,1.114,1.205,nonionic,train,12
octyl glycol ether,4.90E-03,25,3.69,3.646,nonionic,train,12
triethylene glycol monooctyl ether,0.0075,25,3.875,3.857,nonionic,train,12
pentaethylene glycol monooctyl ether,0.0092,25,3.964,3.967,nonionic,train,12
hexaethylene glycol monooctyl ether,0.0099,25,3.996,4,nonionic,train,12
propaethylene glycol monodecyl ether,0.00068,25,2.833,2.807,nonionic,train,12
pentaethylene glycol monodecyl ether,0.00076,25,2.881,2.885,nonionic,test,12
hexaethylene glycol monodecyl ether,0.0009,25,2.954,2.964,nonionic,train,12
octaethylene glycol monodecyl ether,0.001,25,3,2.988,nonionic,train,12
octaethylene glycol monodecyl ether,0.0003,25,2.477,2.467,nonionic,train,12
diethylene glycol monododecyl ether,0.000033,25,1.519,1.692,nonionic,train,12
triethylene glycol monododecyl ether,0.000052,25,1.716,1.727,nonionic,train,12
propaethylene glycol monododecyl ether,0.000064,25,1.806,1.77,nonionic,test,12
pentaethylene glycol monododecyl ether,0.000064,25,1.806,1.82,nonionic,train,12
heptaethylene glycol monododecyl ether,0.000082,25,1.914,1.966,nonionic,train,12
octaethylene glycol monododecyl ether,0.000109,25,2.037,1.993,nonionic,train,12
pentaethylene glycol monotridecyl ether,0.000049,25,1.69,1.361,nonionic,train,12
octaethylene glycol monotridecyl ether,0.000027,25,1.431,1.499,nonionic,train,12
hexaethylene glycol monotetradecyl ether,0.00001,25,1,0.973,nonionic,train,12
octaethylene glycol monotetradecyl ether,0.000009,25,0.954,1.037,nonionic,train,12
octaethylene glycol monopentadecyl ether,0.0000035,25,0.544,0.638,nonionic,train,12
hexaethylene glycol monohexadecyl ether,0.00000166,25,0.22,0.198,nonionic,train,12
heptaethylene glycol monohexadecyl ether,0.0000017,25,0.23,0.243,nonionic,train,12
nonaethylene glycol monohexadecyl ether,0.0000021,25,0.322,0.373,nonionic,train,12
dodecaethylene glycol monohexadecyl ether,0.0000023,25,0.362,0.472,nonionic,test,12
pentadecaethylene glycol monohexadecyl ether,0.0000031,25,0.491,0.537,nonionic,train,12
henicosaethylene glycol monohexadecyl ether,0.0000039,25,0.591,0.626,nonionic,train,12
"N,N-Bis(2-hydroxyethyl)dodecanamide",0.000264,25,2.422,2.55,nonionic,train,12
C6F13C2H4S(OC2H4)2OH,0.0025,25,3.398,3.578,nonionic,train,12
C6F13C2H4S(OC2H4)3OH,0.0028,25,3.447,3.618,nonionic,test,12
C6F13C2H4S(OC2H4)5OH,0.0037,25,3.568,3.7,nonionic,train,12
C6F13C2H4S(OC2H4)7OH,0.0048,25,3.681,3.736,nonionic,train,12
hexyl-D-maltonamide,0.083,25,4.919,4.709,nonionic,train,12
p-t-C8H17C6H4O(C2H4O)10H,0.00033,25,2.519,2.528,nonionic,train,12
p-t-C8H17C6H4O(C2H4O)2H,0.00013,25,2.114,2.053,nonionic,train,12
p-t-C8H17C6H4O(C2H4O)3H,0.000097,25,1.987,2.042,nonionic,train,12
p-t-C8H17C6H4O(C2H4O)4H,0.00013,25,2.114,2.085,nonionic,train,12
p-t-C8H17C6H4O(C2H4O)5H,0.00015,25,2.176,2.163,nonionic,train,12
p-t-C8H17C6H4O(C2H4O)6H,0.00021,25,2.322,2.247,nonionic,train,12
p-t-C8H17C6H4O(C2H4O)7H,0.00025,25,2.398,2.334,nonionic,train,12
p-t-C8H17C6H4O(C2H4O)8H,0.00028,25,2.447,2.403,nonionic,train,12
p-t-C8H17C6H4O(C2H4O)9H,0.0003,25,2.477,2.453,nonionic,test,12
sucrose monooleate,0.0000051,25,0.708,0.959,nonionic,train,12
3-oxo-C12-AHL,0.000097,room temperature,1.987,2.004,nonionic,train,5
3-oxo-C8-AHL,0.00217,room temperature,3.336,3.484,nonionic,train,5
C12-AHL,0.000004,room temperature,0.602,0.758,nonionic,train,5
C16-AHL,0.00000016,room temperature,-0.796,-0.872,nonionic,train,5
Octyl-Glycerol,0.0058,25,3.763,3.719,nonionic,train,13
Octyl-glucoside,0.025,25,4.398,4.062,nonionic,train,13
1-O-Butyl-Xylitol,0.058,25,4.763,4.753,nonionic,train,13
1-O-Decanoyl-Xylitol,0.0018,25,3.255,3.258,nonionic,train,13
1-O-Heptanoyl-Xylitol,0.01,25,4,4.289,nonionic,train,13
1-O-Heptyl-Xylitol,0.0092,25,3.964,3.905,nonionic,test,13
1-O-Hexanoyl-Xylitol,0.058,25,4.763,4.709,nonionic,train,13
1-O-Hexyl-Xylitol,0.0094,25,3.973,4.103,nonionic,train,13
1-O-Nonanoyl-Xylitol,0.0044,25,3.643,3.672,nonionic,test,13
1-O-Nonyl-Xylitol,0.0021,25,3.322,3.441,nonionic,train,13
1-O-Octanoyl-Xylitol,0.018,25,4.255,4.011,nonionic,train,13
1-O-Octyl-Xylitol,0.0067,25,3.826,3.729,nonionic,train,13
1-O-Pentanoyl-Xylitol,0.12,25,5.079,5.149,nonionic,train,13
1-O-Pentyl-Xylitol,0.038,25,4.58,4.58,nonionic,train,13
S-Butyl-1-Thio-Xylitol,0.18,25,5.255,4.907,nonionic,train,13
S-Pentyl-1-Thio-Xylitol,0.046,25,4.663,4.557,nonionic,train,13
1-Butylhexyl-Glucoside,0.015,25,4.176,4.227,nonionic,train,13
1-Ethyloctyl-Glucoside,0.0085,25,3.929,3.961,nonionic,train,13
1-Methylnonyl-Glucoside,0.0045,25,3.653,3.607,nonionic,train,13
1-Propylheptyl-Glucoside,0.012,25,4.079,4.204,nonionic,test,13
6'-O-Dodecanoylmaltose,0.00033,22,2.519,2.67,nonionic,train,13
6-O-[(Hexyloctyl)-3-Propylsulfide)ethanoyl]-Mannose,0.0000063,25,0.799,0.803,nonionic,train,13
Decanoyl-N-Methylglucamine,0.0067,25,3.826,3.622,nonionic,train,13
Nonanoyl-N-Methylglucamine,0.021,25,4.322,4.111,nonionic,test,13
Octanoyl-N-Methylglucamine,0.069,25,4.839,4.616,nonionic,train,13
6-O-Dodecanoylraffinose,0.00095,20,2.978,3.02,nonionic,train,13
6-O-Dodecanoylstachyose,0.0023,20,3.362,3.332,nonionic,train,13
6-O-Dodecanoylsucrose,0.00046,20,2.663,2.61,nonionic,train,13
