Number,SMILES,STCMC (mN/m),Reference
207,C1=CC=CC2=C1SC(=[N+]2CC(=O)OCCCCCCCCCCCCCCCC)N=CC3=CC=C(C=C3)OC.[Br-],39.2,54
208,C1=CC=CC2=C1SC(=[N+]2CC(=O)OCCCCCCCCCCCCCCCCCC)N=CC3=CC=C(C=C3)OC.[Br-],39.1,54
209,CCCCCCCCCCCC(=O)NCCC[N+](CC1=CC=CC=C1)(C)C.[Cl-],29.2,55
210,CCCCCCCCCCCCCC(=O)NCCC[N+](CC1=CC=CC=C1)(C)C.[Cl-],32.3,55
211,CCCCCCCCCCCCCCCC(=O)NCCC[N+](CC1=CC=CC=C1)(C)C.[Cl-],41.5,55
212,CCCCCCCCCCOC(=O)C[N+](C)(C)CCOCCO.[Cl-],31.4,56
213,CCCCCCCCCCCCOC(=O)C[N+](C)(C)CCOCCO.[Cl-],30.0,56
214,CCCCCCCCCCCCCCCCOC(=O)C[N+](C)(C)CCOCCO.[Cl-],27.7,56
215,CCCCCCCCCCCCCCCCOCC(O)C[N]1C=[N+](C=C1)CCC.[Cl-],54.2,57
216,CCCCCCCCCCCCCCOCC(O)C[N]1C=[N+](C=C1)CCC.[Cl-],31.5,57
217,CCCCCCCCCCCCOCC(O)C[N]1C=[N+](C=C1)CCC.[Cl-],34.9,57
218,CCCCCCCCCCCCCCCCOCC(O)C[N]1C=[N+](C=C1)CCC.[Br-],50.5,57
219,CCCCCCCCCCCCCCOCC(O)C[N]1C=[N+](C=C1)CCC.[Br-],35.9,57
220,CCCCCCCCCCCCOCC(O)C[N]1C=[N+](C=C1)CCC.[Br-],27.7,57
221,C1=C(C(=CC(=C1)C=NC2=C[N+](=CC=C2)CC(=O)OCCCCCCCC)OC)O.[Br-],41.3,58
222,C1=C(C(=CC(=C1)C=NC2=C[N+](=CC=C2)CC(=O)OCCCCCCCCCCCC)OC)O.[Br-],37.8,58
223,C1=C(C(=CC(=C1)C=NC2=C[N+](=CC=C2)CC(=O)OCCCCCCCCCCCCCCCC)OC)O.[Br-],29.8,58
224,C1(=CC=C[N+](=C1)CCCCCCCCCCCC)CO.[Br-],29.5,59
225,N(CCC[N+](C)(C)CCCC[N+](C)(C)CCCNC(=O)CCCCCCCC=CCCCCCCCC)C(=O)CCCCCCCC=CCCCCCCCC.[Br-].[Br-],32.9,60
226,N(CCC[N+](C)(C)CCCCCC[N+](C)(C)CCCNC(=O)CCCCCCCC=CCCCCCCCC)C(=O)CCCCCCCC=CCCCCCCCC.[Br-].[Br-],30.3,60
227,C(O)(C)C[N+](CCCCCCCC)CCCCC[N+](CC(C)O)CCCCCCCC.[Br-].[Br-],29.9,61
228,C(O)(C)C[N+](CCCCCCCCC)CCCCC[N+](CC(C)O)CCCCCCCCC.[Br-].[Br-],25.7,61
229,C(O)(C)C[N+](CCCCCCCCCCCC)CCCCC[N+](CC(C)O)CCCCCCCCCCCC.[Br-].[Br-],30.7,61
230,C(O)(C)C[N+](CCCCCCCCCCCCCCCC)CCCCC[N+](CC(C)O)CCCCCCCCCCCCCCCC.[Br-].[Br-],30.0,61
231,C(O)(C)C[N+](CCCCCCCC)(CCCCC[N+](CC(C)O)(CCCCCCCC)CC(C)O)CC(C)O.[Br-].[Br-],29.0,61
232,C(O)(C)C[N+](CCCCCCCCC)(CCCCC[N+](CC(C)O)(CCCCCCCCC)CC(C)O)CC(C)O.[Br-].[Br-],28.0,61
233,C(O)(C)C[N+](CCCCCCCCCCCC)(CCCCC[N+](CC(C)O)(CCCCCCCCCCCC)CC(C)O)CC(C)O.[Br-].[Br-],27.9,61
234,C(O)(C)C[N+](CCCCCCCCCCCCCCCC)(CCCCC[N+](CC(C)O)(CCCCCCCCCCCCCCCC)CC(C)O)CC(C)O.[Br-].[Br-],27.9,61
235,C1C[N+](CC[N+]1(C)CCCCCCCCCCCC)(CCCCCCCCCCCC)C.[Br-].[Br-],36.0,62
236,C1C[N+](CC[N+]1(C)CCCCCCCCCCCCCC)(CCCCCCCCCCCCCC)C.[Br-].[Br-],35.0,62
237,C1C[N+](CC[N+]1(C)CCCCCCCCCCCCCCCC)(CCCCCCCCCCCCCCCC)C.[Br-].[Br-],38.0,62
238,C1=C(C=C(C=C1C)C(CCCCCCCC[N+](CCC[N+](C)(C)CCCCCCCCC(C2=CC(=CC(=C2)C)C)CCCCCCCCC)(C)C)CCCCCCCCC)C.[Br-].[Br-],45.8,63
239,C1=C(C=C(C=C1C)C(CCCCCCCC[N+](CCCCCC[N+](C)(C)CCCCCCCCC(C2=CC(=CC(=C2)C)C)CCCCCCCCC)(C)C)CCCCCCCCC)C.[Br-].[Br-],44.7,63
240,CCCCCCCCCC(=O)N[N+](C)(C)CCC[N+](C)(C)NC(=O)CCCCCCCCC.[Br-].[Br-],33.2,64
241,CCCCCCCCCCCC(=O)N[N+](C)(C)CCC[N+](C)(C)NC(=O)CCCCCCCCCCC.[Br-].[Br-],34.0,64
242,CCCCCCCCCCCCCC(=O)N[N+](C)(C)CCC[N+](C)(C)NC(=O)CCCCCCCCCCCCC.[Br-].[Br-],37.5,64
243,CCCCCCCCCCCCCCCC(=O)N[N+](C)(C)CCC[N+](C)(C)NC(=O)CCCCCCCCCCCCCCC.[Br-].[Br-],38.2,64
244,CCCCCCCCCCCCCC(=O)OCC[N+](C)(CCO)CC[N+](C)(CCO)CCOC(=O)CCCCCCCCCCCCC.[Br-].[Br-],31.5,65
245,CCCCCCCCCCCCCC(=O)OCC[N+](C)(CCO)CCCCCC[N+](C)(CCO)CCOC(=O)CCCCCCCCCCCCC.[Br-].[Br-],30.0,65
246,CCCCCCCCCCCCCC(=O)OCC[N+](C)(CCO)CCCCCCCCCCCC[N+](C)(CCO)CCOC(=O)CCCCCCCCCCCCC.[Br-].[Br-],29.2,65
247,C1=CC(=CC=C1OC(=O)C[N+](C)(C)CCCCCCCCCCCC)OC(=O)C[N+](C)(C)CCCCCCCCCCCC.[Cl-].[Cl-],37.8,66
248,C1=CC(=CC=C1OC(=O)C[N+](C)(C)CCCCCCCCCCCCCC)OC(=O)C[N+](C)(C)CCCCCCCCCCCCCC.[Cl-].[Cl-],37.7,66
249,C1=CC(=CC=C1COC(=O)C[N+](C)(C)CCCCCCCCCCCC)COC(=O)C[N+](C)(C)CCCCCCCCCCCC.[Cl-].[Cl-],41.1,66
250,C1=CC(=CC=C1COC(=O)C[N+](C)(C)CCCCCCCCCCCCCC)COC(=O)C[N+](C)(C)CCCCCCCCCCCCCC.[Cl-].[Cl-],40.9,66
251,CCCCCCCCCCCCCCCCCC(=O)OCC[N+](CCO)(C)CCOC(=O)CCCCCCCCCCCCCCCCC.CO[S](=O)(=O)[O-],30.0,67
252,C1(=C(C=CC(=C1)C=NCC[N+](C)(C)CCCCCCCC)OC)OC.[Br-],34.7,68
253,C1(=C(C=CC(=C1)C=NCC[N+](C)(C)CCCCCCCCCCCC)OC)OC.[Br-],32.8,68
254,C1(=C(C=CC(=C1)C=NCC[N+](C)(C)CCCCCCCCCCCCCCCC)OC)OC.[Br-],36.7,68
255,C1=CC=CC=C1OCC(=O)NCC[N+](C)(C)CC(=O)NCCCCCCCCCCCC.[Cl-],35.8,69
256,C1=CC=CC=C1OCC(=O)NCC[N+](C)(C)CC(=O)NCCCCCCCCCCCCCC.[Cl-],37.8,69
257,C1=CC=CC=C1OCC(=O)NCC[N+](C)(C)CC(=O)NCCCCCCCCCCCCCCCC.[Cl-],39.8,69
258,C1=CC=CC=C1C[N+](C)(C)CCNC(=O)CCCCCCCCCC.[Cl-],39.0,70
259,C1=CC=CC=C1C[N+](C)(C)CCNC(=O)CCCCCCCCCCCC.[Cl-],39.6,70
260,C1=CC=CC=C1C[N+](C)(C)CCNC(=O)CCCCCCCCCCCCCC.[Cl-],39.9,70
261,C1=CC=CC=C1C[N+](C)(C)CCNC(=O)CCCCCCCCCCCCCCCC.[Cl-],42.2,70
262,CCCCCCCCCC(=O)OCCC[N+](C)(C)CC(O)CN(CCCC)CC(O)C[N+](C)(C)CCCOC(=O)CCCCCCCCC.[Cl-].[Cl-],38.0,71
263,CCCCCCCCCC(=O)OCCC[N+](C)(C)CC(O)CN(CCCCC)CC(O)C[N+](C)(C)CCCOC(=O)CCCCCCCCC.[Cl-].[Cl-],36.0,71
264,CCCCCCCCCC(=O)OCCC[N+](C)(C)CC(O)CN(CCCCCC)CC(O)C[N+](C)(C)CCCOC(=O)CCCCCCCCC.[Cl-].[Cl-],39.0,71
265,CCCCCCCCCC(=O)OCCC[N+](C)(C)CC(O)CN(CCCCCCCC)CC(O)C[N+](C)(C)CCCOC(=O)CCCCCCCCC.[Cl-].[Cl-],37.0,71
266,CCCCCCCCCCCC(=O)OCCC[N+](C)(C)CC(O)CN(CCCC)CC(O)C[N+](C)(C)CCCOC(=O)CCCCCCCCCCC.[Cl-].[Cl-],37.0,71
267,CCCCCCCCCCCC(=O)OCCC[N+](C)(C)CC(O)CN(CCCCC)CC(O)C[N+](C)(C)CCCOC(=O)CCCCCCCCCCC.[Cl-].[Cl-],35.0,71
268,CCCCCCCCCCCC(=O)OCCC[N+](C)(C)CC(O)CN(CCCCCC)CC(O)C[N+](C)(C)CCCOC(=O)CCCCCCCCCCC.[Cl-].[Cl-],38.0,71
269,CCCCCCCCCCCC(=O)OCCC[N+](C)(C)CC(O)CN(CCCCCCCC)CC(O)C[N+](C)(C)CCCOC(=O)CCCCCCCCCCC.[Cl-].[Cl-],36.0,71
270,C(C[N+](C)(C)CC(=O)NC1=CC=C(C=C1)OCCCCCCCC)[N+](C)(C)CC(=O)NC2=CC=C(C=C2)OCCCCCCCC.[Br-].[Br-],30.4,72
271,C(CCC[N+](C)(C)CC(=O)NC1=CC=C(C=C1)OCCCCCCCC)[N+](C)(C)CC(=O)NC2=CC=C(C=C2)OCCCCCCCC.[Br-].[Br-],32.0,72
272,C(CCCCC[N+](C)(C)CC(=O)NC1=CC=C(C=C1)OCCCCCCCC)[N+](C)(C)CC(=O)NC2=CC=C(C=C2)OCCCCCCCC.[Br-].[Br-],36.0,72
273,C(C[N+](C)(C)CC(=O)NC1=CC=C(C=C1)OCCCCCCCCCC)[N+](C)(C)CC(=O)NC2=CC=C(C=C2)OCCCCCCCCCC.[Br-].[Br-],33.1,72
274,C(CCC[N+](C)(C)CC(=O)NC1=CC=C(C=C1)OCCCCCCCCCC)[N+](C)(C)CC(=O)NC2=CC=C(C=C2)OCCCCCCCCCC.[Br-].[Br-],41.6,72
275,C(CCCCC[N+](C)(C)CC(=O)NC1=CC=C(C=C1)OCCCCCCCCCC)[N+](C)(C)CC(=O)NC2=CC=C(C=C2)OCCCCCCCCCC.[Br-].[Br-],45.0,72
276,C(C[N+](C)(C)CC(=O)NC1=CC=C(C=C1)OCCCCCCCCCCCC)[N+](C)(C)CC(=O)NC2=CC=C(C=C2)OCCCCCCCCCCCC.[Br-].[Br-],44.6,72
277,C(CCC[N+](C)(C)CC(=O)NC1=CC=C(C=C1)OCCCCCCCCCCCC)[N+](C)(C)CC(=O)NC2=CC=C(C=C2)OCCCCCCCCCCCC.[Br-].[Br-],44.8,72
278,C(CCCCC[N+](C)(C)CC(=O)NC1=CC=C(C=C1)OCCCCCCCCCCCC)[N+](C)(C)CC(=O)NC2=CC=C(C=C2)OCCCCCCCCCCCC.[Br-].[Br-],49.0,72
279,C(C[N+](C)(C)CC(=O)NC1=CC=C(C=C1)OCCCCCCCCCCCCCC)[N+](C)(C)CC(=O)NC2=CC=C(C=C2)OCCCCCCCCCCCCCC.[Br-].[Br-],47.0,72
280,C(CCC[N+](C)(C)CC(=O)NC1=CC=C(C=C1)OCCCCCCCCCCCCCC)[N+](C)(C)CC(=O)NC2=CC=C(C=C2)OCCCCCCCCCCCCCC.[Br-].[Br-],46.0,72
281,C(CCCCC[N+](C)(C)CC(=O)NC1=CC=C(C=C1)OCCCCCCCCCCCCCC)[N+](C)(C)CC(=O)NC2=CC=C(C=C2)OCCCCCCCCCCCCCC.[Br-].[Br-],51.1,72
282,C(C[N+](C)(C)CC(=O)NC1=CC=C(C=C1)OCCCCCCCCCCCCCCCC)[N+](C)(C)CC(=O)NC2=CC=C(C=C2)OCCCCCCCCCCCCCCCC.[Br-].[Br-],46.0,72
283,C(CCC[N+](C)(C)CC(=O)NC1=CC=C(C=C1)OCCCCCCCCCCCCCCCC)[N+](C)(C)CC(=O)NC2=CC=C(C=C2)OCCCCCCCCCCCCCCCC.[Br-].[Br-],48.0,72
284,C(CCCCC[N+](C)(C)CC(=O)NC1=CC=C(C=C1)OCCCCCCCCCCCCCCCC)[N+](C)(C)CC(=O)NC2=CC=C(C=C2)OCCCCCCCCCCCCCCCC.[Br-].[Br-],45.0,72
285,C1=CC=C(C2=C1C=CC=[N+]2CCCCCCCCCC)OC(=O)CCCCCCCCCCC.[Br-],36.0,73
286,C1=CC=C(C2=C1C=CC=[N+]2CCCCCCCCCC)OC(=O)CCCCCCCCCCCCC.[Br-],45.0,73
287,C1=CC=C(C2=C1C=CC=[N+]2CCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCC.[Br-],49.0,73
288,C1=CC=C(C2=C1C=CC=[N+]2CCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC.[Br-],47.0,73
289,C1=CC=C(C2=C1C=CC=[N+]2CCCCCC[N+]3=CC=CC4=C3C(=CC=C4)OC(CCCCCCCCCCC)=O)OC(CCCCCCCCCCC)=O.[Br-].[Br-],41.0,73
290,C1=CC=C(C2=C1C=CC=[N+]2CCCCCC[N+]3=CC=CC4=C3C(=CC=C4)OC(CCCCCCCCCCCCC)=O)OC(CCCCCCCCCCCCC)=O.[Br-].[Br-],43.0,73
291,C1=CC=C(C2=C1C=CC=[N+]2CCCCCC[N+]3=CC=CC4=C3C(=CC=C4)OC(CCCCCCCCCCCCCCC)=O)OC(CCCCCCCCCCCCCCC)=O.[Br-].[Br-],44.0,73
292,C1=CC=C(C2=C1C=CC=[N+]2CCCCCC[N+]3=CC=CC4=C3C(=CC=C4)OC(CCCCCCCCCCCCCCCCC)=O)OC(CCCCCCCCCCCCCCCCC)=O.[Br-].[Br-],46.0,73
293,C1=CC=C(C2=C1C=CC=[N+]2CCCCCCCCCC[N+]3=CC=CC4=C3C(=CC=C4)OC(CCCCCCCCCCC)=O)OC(CCCCCCCCCCC)=O.[Br-].[Br-],43.0,73
294,C1=CC=C(C2=C1C=CC=[N+]2CCCCCCCCCC[N+]3=CC=CC4=C3C(=CC=C4)OC(CCCCCCCCCCCCC)=O)OC(CCCCCCCCCCCCC)=O.[Br-].[Br-],45.0,73
295,C1=CC=C(C2=C1C=CC=[N+]2CCCCCCCCCC[N+]3=CC=CC4=C3C(=CC=C4)OC(CCCCCCCCCCCCCCC)=O)OC(CCCCCCCCCCCCCCC)=O.[Br-].[Br-],46.0,73
296,C1=CC=C(C2=C1C=CC=[N+]2CCCCCCCCCC[N+]3=CC=CC4=C3C(=CC=C4)OC(CCCCCCCCCCCCCCCCC)=O)OC(CCCCCCCCCCCCCCCCC)=O.[Br-].[Br-],50.0,73
297,C(C(C(C(C(O)CO)O)O)O)(=O)NCCC[N+](CCO)(C)CCCCCCCCCC.[Br-],28.2,74
298,C(C(C(C(C(O)CO)O)O)O)(=O)NCCC[N+](CCO)(C)CCCCCCCCCCCC.[Br-],29.6,74
299,C(C(C(C(C(O)CO)O)O)O)(=O)NCCC[N+](CCO)(C)CCCCCCCCCCCCCC.[Br-],28.2,74
300,CCCCCCCCCC[N+](C)(C)CC(=O)OCCN(CCOC(C[N+](CCCCCCCCCC)(C)C)=O)CCOC(=O)C[N+](C)(C)CCCCCCCCCC.[Br-].[Br-].[Br-],37.9,75
301,CCCCCCCCCC[N+](C)(C)CC(=O)OCCN(CCOC(C[N+](CCCCCCCCCCCC)(C)C)=O)CCOC(=O)C[N+](C)(C)CCCCCCCCCC.[Br-].[Br-].[Br-],41.8,75
302,CCCCCCCCCC[N+](C)(C)CC(=O)OCCN(CCOC(C[N+](CCCCCCCCCCCCCC)(C)C)=O)CCOC(=O)C[N+](C)(C)CCCCCCCCCC.[Br-].[Br-].[Br-],38.0,75
303,CCCCCCCCCC[N+](C)(C)CC(=O)OCCN(CCOC(C[N+](CCCCCCCCCCCCCCCC)(C)C)=O)CCOC(=O)C[N+](C)(C)CCCCCCCCCC.[Br-].[Br-].[Br-],38.5,75
304,N1=C([N+](CC1)(CCCCCC[N+]2(=C(NCC2)CCCCCCC)CCNCCN)CCNCCN)CCCCCCC.[Br-].[Br-],27.4,76
305,N1=C([N+](CC1)(CCCCCC[N+]2(=C(NCC2)CCCCCCCCCCC)CCNCCN)CCNCCN)CCCCCCCCCCC.[Br-].[Br-],28.3,76
306,N1=C([N+](CC1)(CCCCCC[N+]2(=C(NCC2)CCCCCCCCCCCCC)CCNCCN)CCNCCN)CCCCCCCCCCCCC.[Br-].[Br-],29.0,76
307,N1=C([N+](CC1)(CCCCCC[N+]2(=C(NCC2)CCCCCCCCCCCCCCC)CCNCCN)CCNCCN)CCCCCCCCCCCCCCC.[Br-].[Br-],30.9,76
308,C1=CC(=CC=C1C=NCCN=CC2=CC=C(C=C2)[N+](CC)(CC)CC(=O)OCCCCCCCC)[N+](CC)(CC)CC(=O)OCCCCCCCC.[Cl-].[Cl-],39.7,77
309,C1=CC(=CC=C1C=NCCN=CC2=CC=C(C=C2)[N+](CC)(CC)CC(=O)OCCCCCCCCCC)[N+](CC)(CC)CC(=O)OCCCCCCCCCC.[Cl-].[Cl-],37.6,77
310,C1=CC(=CC=C1C=NCCN=CC2=CC=C(C=C2)[N+](CC)(CC)CC(=O)OCCCCCCCCCCCC)[N+](CC)(CC)CC(=O)OCCCCCCCCCCCC.[Cl-].[Cl-],33.6,77
311,C1=CC(=CC=C1C=NCCN=CC2=CC=C(C=C2)[N+](CC)(CC)CC(=O)OCCCCCCCCCCCCCCCC)[N+](CC)(CC)CC(=O)OCCCCCCCCCCCCCCCC.[Cl-].[Cl-],42.1,77
312,C(C(=O)OCC[N+](C)(C)CCCCCCCCCCCC)CC(=O)OCC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],37.8,78
313,C(=O)(OCC[N+](C)(C)CCCCCCCCCCCC)C.[Br-],37.3,78
314,C1(CCCCCCCCC)OCC(O1)C[N+](C)(C)C.[Br-],31.4,79
315,C1(CCCCCCCCCCC)OCC(O1)C[N+](C)(C)C.[Br-],30.6,79
316,C1(CCCCCCCCCCCCC)OCC(O1)C[N+](C)(C)C.[Br-],30.3,79
317,C1(CCCCCCCC)(OCC(O1)C[N+](C)(C)C)C.[Br-],33.4,79
318,C1(CCCCCCCCCC)(OCC(O1)C[N+](C)(C)C)C.[Br-],34.5,79
319,C1(CCCCCC)(OCC(O1)C[N+](C)(C)C)CCCCCC.[Br-],29.2,79
320,CCCCCCCCCCCC[N+](C)(C)CC(=O)NCCN(CCNC(=O)C[N+](C)(C)CCCCCCCCCCCC)C(=O)C[N+](C)(C)CCCCCCCCCCCC.[Cl-].[Cl-].[Cl-],45.0,80
321,CCCCCCCCCCCC[N+](C)(C)CC(=O)NCCN(CCNC(=O)C[N+](C)(C)CCCCCCCCCCCC)CCNC(=O)C[N+](C)(C)CCCCCCCCCCCC.[Cl-].[Cl-].[Cl-],42.0,80
322,C1=C(C=CC=C1)N2N(C(=C(C2=O)N=CC3=CC=C(C=C3)[N+](C)(C)CCCCCCCC)C)C.[Br-],41.3,81
323,C1=C(C=CC=C1)N2N(C(=C(C2=O)N=CC3=CC=C(C=C3)[N+](C)(C)CCCCCCCCCCCC)C)C.[Br-],39.0,81
324,C1=C(C=CC=C1)N2N(C(=C(C2=O)N=CC3=CC=C(C=C3)[N+](C)(C)CCCCCCCCCCCCCCCC)C)C.[Br-],37.0,81
325,C1=C(C=CC=C1)C=NCCC[N+](C)(C)CCCCCCCCCC.[Br-],32.9,81
326,C1=C(C=CC=C1)C=NCCC[N+](C)(C)CCCCCCCCCCCC.[Br-],31.4,81
327,C1=C(C=CC=C1)C=NCCC[N+](C)(C)CCCCCCCCCCCCCCCC.[Br-],40.0,81
328,N(CC[N+](C)(C)CCCCCCCCCC)(CC[N+](C)(C)CCCCCCCCCC)CC[N+](C)(C)CCCCCCCCCC.[Br-].[Br-].[Br-],33.4,82
329,N(CC[N+](C)(C)CCCCCCCCCCCC)(CC[N+](C)(C)CCCCCCCCCCCC)CC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-].[Br-],32.3,82
330,N(CC[N+](C)(C)CCCCCCCCCCCCCC)(CC[N+](C)(C)CCCCCCCCCCCCCC)CC[N+](C)(C)CCCCCCCCCCCCCC.[Br-].[Br-].[Br-],32.1,82
331,CCCCCCCCCCCCCCCC[N+](C)(C)CCCCCC[N+](C)(C)CCCCCCCCCCCCCCCC.[Br-].[Br-],37.0,83
332,CCCCCCCCCCCCCCCC[N+](C)(C)CCCC[N+](C)(C)CCCCCCCCCCCCCCCC.[Br-].[Br-],43.0,83
333,CCCCCCCCCCCCCCCC[N+](C)(C)CC[N+](C)(C)CCCCCCCCCCCCCCCC.[Br-].[Br-],28.5,83
334,[N+](C)(C)(CCC(=O)OCCCCCCCCCC)CCC(=O)OCCCCCCCCCC.[Br-],35.0,84
335,[N+](C)(C)(CCC(=O)OCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCC.[Br-],45.0,84
336,[N+](C)(C)(CCC(=O)NCCCCCCCC)CCC(=O)NCCCCCCCC.[Br-],25.0,84
337,[N+](C)(C)(CCC(=O)NCCCCCCCCCC)CCC(=O)NCCCCCCCCCC.[Br-],25.0,84
338,[N+](C)(C)(CCC(=O)NCCCCCCCCCCCC)CCC(=O)NCCCCCCCCCCCC.[Br-],27.0,84
339,CCCCCCCCCCCCCC(=O)NCCC[N+](C)(C)CCCCCCCCCC.[Br-],33.8,85
340,CCCCCCCCCCCCCC(=O)NCCC[N+](C)(C)CCCCCCCCCCCC.[Br-],31.6,85
341,CCCCCCCCCCCCCC(=O)NCCC[N+](C)(C)CCCCCCCCCCCCCCCC.[Br-],34.6,85
342,CCCCCCCCCCCC[N+](C)(C)CCCNC(=O)C1=CC=C(C=C1)C(NCCC[N+](CCCCCCCCCCCC)(C)C)=O.[Br-].[Br-],36.3,86
343,CCCCCCCCCCCCCC[N+](C)(C)CCCNC(=O)C1=CC=C(C=C1)C(NCCC[N+](CCCCCCCCCCCCCC)(C)C)=O.[Br-].[Br-],40.9,86
344,CCCCCCCCCCCCCCCC[N+](C)(C)CCCNC(=O)C1=CC=C(C=C1)C(NCCC[N+](CCCCCCCCCCCCCCCC)(C)C)=O.[Br-].[Br-],43.4,86
345,CCCCCCCCCC(=O)OCC1C(C(C(C(O1)OCCC[N+](C)(C)C)O)O)O.[I-],33.8,87
346,CCCCCCCCCCCC(=O)OCC1C(C(C(C(O1)OCCC[N+](C)(C)C)O)O)O.[I-],29.6,87
347,CCCCCCCCCCCCCC(=O)OCC1C(C(C(C(O1)OCCC[N+](C)(C)C)O)O)O.[I-],27.3,87
348,CCCCCCCCCCCCCCCC(=O)OCC1C(C(C(C(O1)OCCC[N+](C)(C)C)O)O)O.[I-],33.5,87
349,CCCCCCCCCCCCCCCCCC(=O)OCC1C(C(C(C(O1)OCCC[N+](C)(C)C)O)O)O.[I-],39.7,87
350,C(CCCCCCCCCCC)[N+]1(CCCCC1)CC(=O)OCCOC(C[N+]2(CCCCC2)CCCCCCCCCCCC)=O.[Br-].[Br-],41.6,88
351,C(CCCCCCCCCCC)[N+]1(CCCC1)CC(=O)OCCOC(C[N+]2(CCCC2)CCCCCCCCCCCC)=O.[Br-].[Br-],40.0,88
352,C(CCCCCCCCCCC)[N+]1(CCOCC1)CC(=O)OCCOC(C[N+]2(CCOCC2)CCCCCCCCCCCC)=O.[Br-].[Br-],41.1,88
353,C(CCCCCCCCCCC)[N+](CC)(CC)CC(=O)OCCOC(C[N+](CC)(CC)CCCCCCCCCCCC)=O.[Br-].[Br-],40.9,88
354,CCCCCCCCCCCCCC[N+]CCO.[Br-],32.0,89
355,CCCCCCCCCCCCCC[N+](CCO)CCO.[Br-],27.8,89
356,CCCCCCCCCCCCCC[N+](CCO)(CCO)CCO.[Br-],29.6,89
357,CCCCCCCCCCCCCC[N+](CCO)C.[Br-],30.8,89
358,CCCCCCCCCCCCCC[N+](CCO)(C)CCO.[Br-],33.3,89
359,CCCCCCCCCCCCCC[N+](CCO)(CC(C)O)CCO.[Br-],36.1,89
360,CCCCCCCCCCCCCC[N+](CC(C)O)(CC(C)O)CCO.[Br-],37.7,89
361,CCCCCCCCCCCCCC[N+](CC(C)O)(CC(C)O)CC(C)O.[Br-],37.7,89
362,CCCCCCCCCCCCCC[N+](CCO)(CC)CC.[Br-],43.0,90
363,CCCCCCCCCCCC[N+](C)(C)CC(=O)NCCNC(=O)C[N+](C)(C)CCCCCCCCCCCC.[Cl-].[Cl-],42.8,91
364,CCCCCCCCCCCCCC[N+](C)(C)CC(=O)NCCNC(=O)C[N+](C)(C)CCCCCCCCCCCCCC.[Cl-].[Cl-],46.1,91
365,CCCCCCCCCCCCCCCC[N+](C)(C)CC(=O)NCCNC(=O)C[N+](C)(C)CCCCCCCCCCCCCCCC.[Cl-].[Cl-],50.0,91
366,CCCCCCCCCCCC[N+](C)(C)CC(=O)OCCOC(=O)C[N+](C)(C)CCCCCCCCCCCC.[Cl-].[Cl-],40.4,91
367,CCCCCCCCCCCCCC[N+](C)(C)CC(=O)OCCOC(=O)C[N+](C)(C)CCCCCCCCCCCCCC.[Cl-].[Cl-],44.7,91
368,CCCCCCCCCCCCCCCC[N+](C)(C)CC(=O)OCCOC(=O)C[N+](C)(C)CCCCCCCCCCCCCCCC.[Cl-].[Cl-],44.8,91
369,CCCCCCCCCCCCCC[N+](C)(C)CC[N+](C)(C)CCCCCCCCCCCCCC.[Br-].[Br-],41.0,91
370,CCCCCCCC[N+](C)(C)CCOCCO.[Br-],35.9,92
371,CCCCCCCCCCCC[N+](C)(C)CCOCCO.[Br-],35.0,92
372,CCCCCCCCCCCCCCCC[N+](C)(C)CCOCCO.[Br-],34.0,92
373,CCCCCCCCCCCCCCCCOCC[N+]1=CC=CC=C1.[Cl-],46.0,93
374,CCCCCCCCCCCCCCCCOCCOCC[N+]1=CC=CC=C1.[Cl-],46.5,93
375,CCCCCCCCCCCCCCCC[N+]1=CC=CC=C1.[Cl-],44.0,93
376,C1=CC(=CC=C1)C=NC2=[N+](OC(=C2)C)CC(=O)OCCCCCCCCCCCC.[Br-],42.0,94
377,C1=CC(=CC=C1)C=NC2=[N+](OC(=C2)C)CC(=O)OCCCCCCCCCCCCCC.[Br-],39.0,94
378,C1=CC(=CC=C1)C=NC2=[N+](OC(=C2)C)CC(=O)OCCCCCCCCCCCCCCCC.[Br-],37.8,94
379,C1=CC(=CC=C1)C=NC2=[N+](OC(=C2)C)CC(=O)OCCCCCCCCCCCCCCCCCC.[Br-],36.5,94
380,C1(C(C(C(C(O1)OCC[N+](C)(C)CCCCCCCC)OC)OC)OC)COC.[Br-],37.8,95
381,C1(C(C(C(C(O1)OCC[N+](C)(C)CCCCCCCCCCCC)OC)OC)OC)COC.[Br-],37.0,95
382,C1(C(C(C(C(O1)OCC[N+](C)(C)CCCCCCCCCCCCCCCC)OC)OC)OC)COC.[Br-],35.1,95
383,C1(C(C(C(C(O1)OCC[N+](C)(C)CCCCCCCCCCCC)O)O)O)CO.[Br-],39.0,95
384,C1(C(C(C(C(O1)OCC[N+](C)(C)CCCCCCCCCCCCCCCC)O)O)O)CO.[Br-],39.1,95
385,CCCCCCCCCCCC(=O)NCCC[N+](C)(C)CCCCCC[N+](CCCNC(CCCCCCCCCCC)=O)(C)C.[Br-].[Br-],38.4,96
