Number,SMILES,STCMC (mN/m),Reference
53,CCCCCCCCCC[N+]CC(O)COCC(COCC(C[N+]CCCCCCCCCC)O)(COCC(C[N+]CCCCCCCCCC)O)C.[Cl-].[Cl-].[Cl-],34.8,10
54,C1=CC(=CC=C1)NC(=O)C[N+](C)(C)CCCCCCCCCCCC.[Cl-],33.3,11
55,C1(=NC=CS1)NC(=O)C[N+](C)(C)CCCCCCCCCCCC.[Cl-],35.1,11
56,CCCCCCCC[N]1C=C[N+](=C1)C.[I-],34.5,12
57,CCCCCCCC[N]1C=C[N+](=C1)C.[Cl-],37.0,12
58,CCCCCCCCCCCC[N+](C)(C)CCC[N+](CCCCCCCCCCCC)(C)C.[Br-].[Br-],34.0,13
59,CCCCCCCCCCCC[N+](CCCC)(CCCC)CCCC.[Br-],35.5,13
60,CCCCCCCCCCCC[N+](C)(C)CCCC[N+](CCCCCCCCCCCC)(C)C.[Br-].[Br-],38.0,13
61,CCCCCCCCCCCC[N+](CC)(CC)CC.[Br-],39.0,13
62,CCCCCCCCCCCC[N+](CCC)(CCC)CCC.[Br-],39.0,13
63,CCCCCCCCCCCC(=O)NC(CCCNC(=[N+])N)C(=O)NCCCCCCNC(C(NC(CCCCCCCCCCC)=O)CCCNC(=[N+])N)=O.[Cl-].[Cl-],34.0,14
64,CCCCCCCCCCCC(=O)NC(CCCNC(=[N+])N)C(=O)NCCCNC(C(NC(CCCCCCCCCCC)=O)CCCNC(=[N+])N)=O.[Cl-].[Cl-],36.0,14
65,CCCCCCCCCCCC(=O)NC(CCCNC(=[N+])N)C(=O)NCCCCCCCCCNC(C(NC(CCCCCCCCCCC)=O)CCCNC(=[N+])N)=O.[Cl-].[Cl-],36.0,14
66,C[N+](CCCCCCCC)(C)CC[N+](CCCCCCCC)(C)CC[N+](CCCCCCCC)(C)C.[Br-].[Br-].[Br-],35.1,15
67,C[N+](CCCCCCCCCC)(C)CC[N+](CCCCCCCCCC)(C)CC[N+](CCCCCCCCCC)(C)C.[Br-].[Br-].[Br-],25.8,15
68,C[N+](CCCCCCCCCCCC)(C)CC[N+](CCCCCCCCCCCC)(C)CC[N+](CCCCCCCCCCCC)(C)C.[Br-].[Br-].[Br-],36.4,15
69,C[N+](CCCCCCCCCCCC)(C)CC[N+](CCCCCCCCCCCC)(C)C.[Br-].[Br-],40.0,15
70,CCCCCCCCCC[N+](C)(C)C.[Br-],36.2,16
71,C1C[N+](CCO1)(CCCCCCCCCC)CC2=CC=C(C=C2)C3=CC=C(C=C3)C[N+]4(CCOCC4)CCCCCCCCCC.[Cl-].[Cl-],36.0,17
72,C1C[N+](CCO1)(CCCCCCCCCCCC)CC2=CC=C(C=C2)C3=CC=C(C=C3)C[N+]4(CCOCC4)CCCCCCCCCCCC.[Cl-].[Cl-],35.4,17
73,C1C[N+](CCO1)(CCCCCCCCCCCCCCCC)CC2=CC=C(C=C2)C3=CC=C(C=C3)C[N+]4(CCOCC4)CCCCCCCCCCCCCCCC.[Cl-].[Cl-],36.0,17
74,C1C[N+](CCO1)(CC2=CC=C(C=C2)C[N+]3(CCOCC3)CCCCCCCCCCCC)CCCCCCCCCCCC.[Cl-].[Cl-],38.2,17
75,C1C[N+](CCO1)(CC2=CC=C(C=C2)C[N+]3(CCOCC3)CCCCCCCCCC)CCCCCCCCCC.[Cl-].[Cl-],39.9,17
