Number,SMILES,AW_ST_CMC/ mN/m,ref,Type_of_surfactant,DOI_1,DOI_2
164,CCCCCCCCCCCCC(=O)NCC[N+](CC(O)C[N+](CCNC(=O)CCCCCCCCCCCC)(C)C)(C)C.[Cl-].[Cl-],33,[42],cationic,10.1016/j.ces.2022.118208,
165,CCCCCCCCCCCCC(=O)NCC[N+](C)(C)C.[Cl-],35,[42],cationic,10.1016/j.ces.2022.118208,
166,CCCCCCCCCC1=CC=C(C=C1)OCC(C[N+](C)(C)C)O.[Br-],29.5,[43],cationic,10.1016/j.ces.2022.118208,
167,CCCCCCCCCCCC[N+](C)(CC[N+](CCCCCCCCCCCC)(C)C)C.[Br-].[Br-],31.5,[44],cationic,10.1016/j.ces.2022.118208,
168,CCCCCCCCCCCC[N+](C)(C)CCNC(=O)CCN(CCC(NCC[N+](CCCCCCCCCCCC)(C)C)=O)CCN(CCC(NCC[N+](CCCCCCCCCCCC)(C)C)=O)CCC(NCC[N+](CCCCCCCCCCCC)(C)C)=O.[Br-].[Br-].[Br-].[Br-],47.6,[45],cationic,10.1016/j.ces.2022.118208,
169,CCCCCCCCCCCCOCC(O)C[N]1C=C[N+](=C1)CC[N+]2=C[N](CC(COCCCCCCCCCCCC)O)C=C2.[Br-].[Br-],30,[46],cationic,10.1016/j.ces.2022.118208,
170,CCCCCCCCCCCCOCC(O)C[N]1C=C[N+](=C1)CCC[N+]2=C[N](CC(COCCCCCCCCCCCC)O)C=C2.[Br-].[Br-],36.1,[46],cationic,10.1016/j.ces.2022.118208,
171,CCCCCCCCCCCCCCOCC(O)C[N]1C=C[N+](=C1)CC[N+]2=C[N](CC(COCCCCCCCCCCCCCC)O)C=C2.[Br-].[Br-],43.5,[46],cationic,10.1016/j.ces.2022.118208,
172,CCCCCCCCCCCCCCOCC(O)C[N]1C=C[N+](=C1)CCC[N+]2=C[N](CC(COCCCCCCCCCCCCCC)O)C=C2.[Br-].[Br-],44.5,[46],cationic,10.1016/j.ces.2022.118208,
173,CCCCCCCCCCCCCCCCOCC(O)C[N]1C=C[N+](=C1)CC[N+]2=C[N](CC(COCCCCCCCCCCCCCCCC)O)C=C2.[Br-].[Br-],48.1,[46],cationic,10.1016/j.ces.2022.118208,
174,CCCCCCCCCCCCCCCCOCC(O)C[N]1C=C[N+](=C1)CCC[N+]2=C[N](CC(COCCCCCCCCCCCCCCCC)O)C=C2.[Br-].[Br-],50.1,[46],cationic,10.1016/j.ces.2022.118208,
175,CCCCCCCCCCCC[N+](C)(C)CC(O)COC1=CC=C(C=C1)OCC(C[N+](CCCCCCCCCCCC)(C)C)O.[Cl-].[Cl-],40.2,[47],cationic,10.1016/j.ces.2022.118208,
176,CCCCCCCCCCCCCC[N+](C)(C)CC(O)COC1=CC=C(C=C1)OCC(C[N+](CCCCCCCCCCCCCC)(C)C)O.[Cl-].[Cl-],41.1,[47],cationic,10.1016/j.ces.2022.118208,
177,CCCCCCCCCCCCCCCC[N+](C)(C)CC(O)COC1=CC=C(C=C1)OCC(C[N+](CCCCCCCCCCCCCCCC)(C)C)O.[Cl-].[Cl-],43.3,[47],cationic,10.1016/j.ces.2022.118208,
178,CCCCCCCCCCCC[N+](CCO)(CCO)CCCC[N+](CCO)(CCO)CCCCCCCCCCCC.[Br-].[Br-],35.6,[48],cationic,10.1016/j.ces.2022.118208,
179,CCCCCCCCCCCC[N+](CCO)(CCO)CCCCCC[N+](CCO)(CCO)CCCCCCCCCCCC.[Br-].[Br-],36.3,[48],cationic,10.1016/j.ces.2022.118208,
180,CCCCCCCCCCCC[N+](CCO)(CCO)CCCCCCCC[N+](CCO)(CCO)CCCCCCCCCCCC.[Br-].[Br-],36,[48],cationic,10.1016/j.ces.2022.118208,
181,CCCCCCCCCCCC[N+](CCO)(CCO)CCCCCCCCCC[N+](CCO)(CCO)CCCCCCCCCCCC.[Br-].[Br-],36.3,[48],cationic,10.1016/j.ces.2022.118208,
182,CCCCCCCCCCCC[N+]1(CCCC1=NCCC2=CC=CC=C2)C.[Br-],33.1,[49],cationic,10.1016/j.ces.2022.118208,
183,CCCCCCCCCCCC[N+]1(CCCC1=NCCO)C.[Br-],33.9,[49],cationic,10.1016/j.ces.2022.118208,
184,CCCCCCCCCCCC[N+]1(CCCC1=NC2=CC=C(C=C2)O)C.[Br-],29,[49],cationic,10.1016/j.ces.2022.118208,
185,CCCCCCCCCC[N+](CCC)(CCC)CCCC[N+](CCC)(CCC)CCCCCCCCCC.[Br-].[Br-],38.5,[50],cationic,10.1016/j.ces.2022.118208,
186,CCCCCCCCCCCC[N+](CCC)(CCC)CCCC[N+](CCC)(CCC)CCCCCCCCCCCC.[Br-].[Br-],38.6,[50],cationic,10.1016/j.ces.2022.118208,
187,CCCCCCCCCCCCCC[N+](CCC)(CCC)CCCC[N+](CCC)(CCC)CCCCCCCCCCCCCC.[Br-].[Br-],41,[50],cationic,10.1016/j.ces.2022.118208,
188,CCCCCCCCCCCCCCCC[N+](CCC)(CCC)CCCC[N+](CCC)(CCC)CCCCCCCCCCCCCCCC.[Br-].[Br-],48.5,[50],cationic,10.1016/j.ces.2022.118208,
189,C1=CC(=C(C2=C1C=CC=[N+]2CC(=O)OCCCCCCCCCCCC)O)CN3CCCCC3.[Br-],43,[51],cationic,10.1016/j.ces.2022.118208,
190,C1=CC(=C(C2=C1C=CC=[N+]2CC(=O)OCCCCCCCCCCCCCCCC)O)CN3CCCCC3.[Br-],42.5,[51],cationic,10.1016/j.ces.2022.118208,
191,C1=CC(=C(C2=C1C=CC=[N+]2CC(=O)OCCCCCCCCCCCCCCCCCC)O)CN3CCCCC3.[Br-],39,[51],cationic,10.1016/j.ces.2022.118208,
192,C1=CC(=C(C2=C1C=CC=[N+]2CC(=O)OCCCCCCCCCCCC)O)CN3CCOCC3.[Br-],43.5,[51],cationic,10.1016/j.ces.2022.118208,
193,C1=CC(=C(C2=C1C=CC=[N+]2CC(=O)OCCCCCCCCCCCCCCCC)O)CN3CCOCC3.[Br-],45,[51],cationic,10.1016/j.ces.2022.118208,
194,C1=CC(=C(C2=C1C=CC=[N+]2CC(=O)OCCCCCCCCCCCCCCCCCC)O)CN3CCOCC3.[Br-],47.5,[51],cationic,10.1016/j.ces.2022.118208,
195,CCCCCCCCC(=O)NCCC[N+](C)(C)CC(O)C[N+](C)(C)CCCNC(=O)CCCCCCCC.[Cl-].[Cl-],32.3,[52],cationic,10.1016/j.ces.2022.118208,
196,CCCCCCCCCCCCC(=O)NCCC[N+](C)(C)CC(O)C[N+](C)(C)CCCNC(=O)CCCCCCCCCCCC.[Cl-].[Cl-],34.8,[52],cationic,10.1016/j.ces.2022.118208,
197,CCCCCCCCCCCCCCCCC(=O)NCCC[N+](C)(C)CC(O)C[N+](C)(C)CCCNC(=O)CCCCCCCCCCCCCCCC.[Cl-].[Cl-],37.5,[52],cationic,10.1016/j.ces.2022.118208,
198,CCCCCCCCCCCCOCC(O)C[N+](C)(C)CC(O)COCCCCCCCCCCCC.CO[S](=O)(=O)[O-],28.9,[53],cationic,10.1016/j.ces.2022.118208,
199,CCCCCCCCCCCCOCC(O)C[N+](C)(C)CC(C[N+](C)(C)CC(O)COCCCCCCCCCCCC)O.[Cl-].[Cl-],31.3,[53],cationic,10.1016/j.ces.2022.118208,
200,CCCCCCCCCCCCOCC(O)C[N+](C)(C)CC(O)C[N+](CC(C[N+](C)(C)CC(O)COCCCCCCCCCCCC)O)(C)C.[Cl-].[Cl-].CO[S](=O)(=O)[O-],32.6,[53],cationic,10.1016/j.ces.2022.118208,
201,C1=CC=CC2=C1SC(=[N+]2CC(=O)OCCCCCCCCCCCC)N=CC3=CC=CC=C3.[Br-],44.4,[54],cationic,10.1016/j.ces.2022.118208,
202,C1=CC=CC2=C1SC(=[N+]2CC(=O)OCCCCCCCCCCCCCC)N=CC3=CC=CC=C3.[Br-],42.3,[54],cationic,10.1016/j.ces.2022.118208,
203,C1=CC=CC2=C1SC(=[N+]2CC(=O)OCCCCCCCCCCCCCCCC)N=CC3=CC=CC=C3.[Br-],40.4,[54],cationic,10.1016/j.ces.2022.118208,
204,C1=CC=CC2=C1SC(=[N+]2CC(=O)OCCCCCCCCCCCCCCCCCC)N=CC3=CC=CC=C3.[Br-],36.7,[54],cationic,10.1016/j.ces.2022.118208,
205,C1=CC=CC2=C1SC(=[N+]2CC(=O)OCCCCCCCCCCCC)N=CC3=CC=C(C=C3)OC.[Br-],45.2,[54],cationic,10.1016/j.ces.2022.118208,
206,C1=CC=CC2=C1SC(=[N+]2CC(=O)OCCCCCCCCCCCCCC)N=CC3=CC=C(C=C3)OC.[Br-],42.1,[54],cationic,10.1016/j.ces.2022.118208,
207,C1=CC=CC2=C1SC(=[N+]2CC(=O)OCCCCCCCCCCCCCCCC)N=CC3=CC=C(C=C3)OC.[Br-],39.2,[54],cationic,10.1016/j.ces.2022.118208,
208,C1=CC=CC2=C1SC(=[N+]2CC(=O)OCCCCCCCCCCCCCCCCCC)N=CC3=CC=C(C=C3)OC.[Br-],39.1,[54],cationic,10.1016/j.ces.2022.118208,
209,CCCCCCCCCCCC(=O)NCCC[N+](CC1=CC=CC=C1)(C)C.[Cl-],29.2,[55],cationic,10.1016/j.ces.2022.118208,
210,CCCCCCCCCCCCCC(=O)NCCC[N+](CC1=CC=CC=C1)(C)C.[Cl-],32.3,[55],cationic,10.1016/j.ces.2022.118208,
211,CCCCCCCCCCCCCCCC(=O)NCCC[N+](CC1=CC=CC=C1)(C)C.[Cl-],41.5,[55],cationic,10.1016/j.ces.2022.118208,
212,CCCCCCCCCCOC(=O)C[N+](C)(C)CCOCCO.[Cl-],31.4,[56],cationic,10.1016/j.ces.2022.118208,
213,CCCCCCCCCCCCOC(=O)C[N+](C)(C)CCOCCO.[Cl-],30,[56],cationic,10.1016/j.ces.2022.118208,
214,CCCCCCCCCCCCCCCCOC(=O)C[N+](C)(C)CCOCCO.[Cl-],27.7,[56],cationic,10.1016/j.ces.2022.118208,
215,CCCCCCCCCCCCCCCCOCC(O)C[N]1C=[N+](C=C1)CCC.[Cl-],54.2,[57],cationic,10.1016/j.ces.2022.118208,
216,CCCCCCCCCCCCCCOCC(O)C[N]1C=[N+](C=C1)CCC.[Cl-],31.5,[57],cationic,10.1016/j.ces.2022.118208,
217,CCCCCCCCCCCCOCC(O)C[N]1C=[N+](C=C1)CCC.[Cl-],34.9,[57],cationic,10.1016/j.ces.2022.118208,
218,CCCCCCCCCCCCCCCCOCC(O)C[N]1C=[N+](C=C1)CCC.[Br-],50.5,[57],cationic,10.1016/j.ces.2022.118208,
219,CCCCCCCCCCCCCCOCC(O)C[N]1C=[N+](C=C1)CCC.[Br-],35.9,[57],cationic,10.1016/j.ces.2022.118208,
220,CCCCCCCCCCCCOCC(O)C[N]1C=[N+](C=C1)CCC.[Br-],27.7,[57],cationic,10.1016/j.ces.2022.118208,
221,C1=C(C(=CC(=C1)C=NC2=C[N+](=CC=C2)CC(=O)OCCCCCCCC)OC)O.[Br-],41.3,[58],cationic,10.1016/j.ces.2022.118208,
222,C1=C(C(=CC(=C1)C=NC2=C[N+](=CC=C2)CC(=O)OCCCCCCCCCCCC)OC)O.[Br-],37.8,[58],cationic,10.1016/j.ces.2022.118208,
223,C1=C(C(=CC(=C1)C=NC2=C[N+](=CC=C2)CC(=O)OCCCCCCCCCCCCCCCC)OC)O.[Br-],29.8,[58],cationic,10.1016/j.ces.2022.118208,
224,C1(=CC=C[N+](=C1)CCCCCCCCCCCC)CO.[Br-],29.5,[59],cationic,10.1016/j.ces.2022.118208,
225,N(CCC[N+](C)(C)CCCC[N+](C)(C)CCCNC(=O)CCCCCCCC=CCCCCCCCC)C(=O)CCCCCCCC=CCCCCCCCC.[Br-].[Br-],32.9,[60],cationic,10.1016/j.ces.2022.118208,
226,N(CCC[N+](C)(C)CCCCCC[N+](C)(C)CCCNC(=O)CCCCCCCC=CCCCCCCCC)C(=O)CCCCCCCC=CCCCCCCCC.[Br-].[Br-],30.3,[60],cationic,10.1016/j.ces.2022.118208,
227,C(O)(C)C[N+](CCCCCCCC)CCCCC[N+](CC(C)O)CCCCCCCC.[Br-].[Br-],29.9,[61],cationic,10.1016/j.ces.2022.118208,
228,C(O)(C)C[N+](CCCCCCCCC)CCCCC[N+](CC(C)O)CCCCCCCCC.[Br-].[Br-],25.7,[61],cationic,10.1016/j.ces.2022.118208,
229,C(O)(C)C[N+](CCCCCCCCCCCC)CCCCC[N+](CC(C)O)CCCCCCCCCCCC.[Br-].[Br-],30.7,[61],cationic,10.1016/j.ces.2022.118208,
230,C(O)(C)C[N+](CCCCCCCCCCCCCCCC)CCCCC[N+](CC(C)O)CCCCCCCCCCCCCCCC.[Br-].[Br-],30,[61],cationic,10.1016/j.ces.2022.118208,
231,C(O)(C)C[N+](CCCCCCCC)(CCCCC[N+](CC(C)O)(CCCCCCCC)CC(C)O)CC(C)O.[Br-].[Br-],29,[61],cationic,10.1016/j.ces.2022.118208,
232,C(O)(C)C[N+](CCCCCCCCC)(CCCCC[N+](CC(C)O)(CCCCCCCCC)CC(C)O)CC(C)O.[Br-].[Br-],28,[61],cationic,10.1016/j.ces.2022.118208,
233,C(O)(C)C[N+](CCCCCCCCCCCC)(CCCCC[N+](CC(C)O)(CCCCCCCCCCCC)CC(C)O)CC(C)O.[Br-].[Br-],27.9,[61],cationic,10.1016/j.ces.2022.118208,
234,C(O)(C)C[N+](CCCCCCCCCCCCCCCC)(CCCCC[N+](CC(C)O)(CCCCCCCCCCCCCCCC)CC(C)O)CC(C)O.[Br-].[Br-],27.9,[61],cationic,10.1016/j.ces.2022.118208,
235,C1C[N+](CC[N+]1(C)CCCCCCCCCCCC)(CCCCCCCCCCCC)C.[Br-].[Br-],36,[62],cationic,10.1016/j.ces.2022.118208,
236,C1C[N+](CC[N+]1(C)CCCCCCCCCCCCCC)(CCCCCCCCCCCCCC)C.[Br-].[Br-],35,[62],cationic,10.1016/j.ces.2022.118208,
237,C1C[N+](CC[N+]1(C)CCCCCCCCCCCCCCCC)(CCCCCCCCCCCCCCCC)C.[Br-].[Br-],38,[62],cationic,10.1016/j.ces.2022.118208,
238,C1=C(C=C(C=C1C)C(CCCCCCCC[N+](CCC[N+](C)(C)CCCCCCCCC(C2=CC(=CC(=C2)C)C)CCCCCCCCC)(C)C)CCCCCCCCC)C.[Br-].[Br-],45.8,[63],cationic,10.1016/j.ces.2022.118208,
239,C1=C(C=C(C=C1C)C(CCCCCCCC[N+](CCCCCC[N+](C)(C)CCCCCCCCC(C2=CC(=CC(=C2)C)C)CCCCCCCCC)(C)C)CCCCCCCCC)C.[Br-].[Br-],44.7,[63],cationic,10.1016/j.ces.2022.118208,
240,CCCCCCCCCC(=O)N[N+](C)(C)CCC[N+](C)(C)NC(=O)CCCCCCCCC.[Br-].[Br-],33.2,[64],cationic,10.1016/j.ces.2022.118208,
241,CCCCCCCCCCCC(=O)N[N+](C)(C)CCC[N+](C)(C)NC(=O)CCCCCCCCCCC.[Br-].[Br-],34,[64],cationic,10.1016/j.ces.2022.118208,
242,CCCCCCCCCCCCCC(=O)N[N+](C)(C)CCC[N+](C)(C)NC(=O)CCCCCCCCCCCCC.[Br-].[Br-],37.5,[64],cationic,10.1016/j.ces.2022.118208,
243,CCCCCCCCCCCCCCCC(=O)N[N+](C)(C)CCC[N+](C)(C)NC(=O)CCCCCCCCCCCCCCC.[Br-].[Br-],38.2,[64],cationic,10.1016/j.ces.2022.118208,
244,CCCCCCCCCCCCCC(=O)OCC[N+](C)(CCO)CC[N+](C)(CCO)CCOC(=O)CCCCCCCCCCCCC.[Br-].[Br-],31.5,[65],cationic,10.1016/j.ces.2022.118208,
245,CCCCCCCCCCCCCC(=O)OCC[N+](C)(CCO)CCCCCC[N+](C)(CCO)CCOC(=O)CCCCCCCCCCCCC.[Br-].[Br-],30,[65],cationic,10.1016/j.ces.2022.118208,
246,CCCCCCCCCCCCCC(=O)OCC[N+](C)(CCO)CCCCCCCCCCCC[N+](C)(CCO)CCOC(=O)CCCCCCCCCCCCC.[Br-].[Br-],29.2,[65],cationic,10.1016/j.ces.2022.118208,
247,C1=CC(=CC=C1OC(=O)C[N+](C)(C)CCCCCCCCCCCC)OC(=O)C[N+](C)(C)CCCCCCCCCCCC.[Cl-].[Cl-],37.8,[66],cationic,10.1016/j.ces.2022.118208,
248,C1=CC(=CC=C1OC(=O)C[N+](C)(C)CCCCCCCCCCCCCC)OC(=O)C[N+](C)(C)CCCCCCCCCCCCCC.[Cl-].[Cl-],37.7,[66],cationic,10.1016/j.ces.2022.118208,
249,C1=CC(=CC=C1COC(=O)C[N+](C)(C)CCCCCCCCCCCC)COC(=O)C[N+](C)(C)CCCCCCCCCCCC.[Cl-].[Cl-],41.1,[66],cationic,10.1016/j.ces.2022.118208,
250,C1=CC(=CC=C1COC(=O)C[N+](C)(C)CCCCCCCCCCCCCC)COC(=O)C[N+](C)(C)CCCCCCCCCCCCCC.[Cl-].[Cl-],40.9,[66],cationic,10.1016/j.ces.2022.118208,
251,CCCCCCCCCCCCCCCCCC(=O)OCC[N+](CCO)(C)CCOC(=O)CCCCCCCCCCCCCCCCC.CO[S](=O)(=O)[O-],30,[67],cationic,10.1016/j.ces.2022.118208,
252,C1(=C(C=CC(=C1)C=NCC[N+](C)(C)CCCCCCCC)OC)OC.[Br-],34.7,[68],cationic,10.1016/j.ces.2022.118208,
253,C1(=C(C=CC(=C1)C=NCC[N+](C)(C)CCCCCCCCCCCC)OC)OC.[Br-],32.8,[68],cationic,10.1016/j.ces.2022.118208,
254,C1(=C(C=CC(=C1)C=NCC[N+](C)(C)CCCCCCCCCCCCCCCC)OC)OC.[Br-],36.7,[68],cationic,10.1016/j.ces.2022.118208,
255,C1=CC=CC=C1OCC(=O)NCC[N+](C)(C)CC(=O)NCCCCCCCCCCCC.[Cl-],35.8,[69],cationic,10.1016/j.ces.2022.118208,
256,C1=CC=CC=C1OCC(=O)NCC[N+](C)(C)CC(=O)NCCCCCCCCCCCCCC.[Cl-],37.8,[69],cationic,10.1016/j.ces.2022.118208,
257,C1=CC=CC=C1OCC(=O)NCC[N+](C)(C)CC(=O)NCCCCCCCCCCCCCCCC.[Cl-],39.8,[69],cationic,10.1016/j.ces.2022.118208,
258,C1=CC=CC=C1C[N+](C)(C)CCNC(=O)CCCCCCCCCC.[Cl-],39,[70],cationic,10.1016/j.ces.2022.118208,
259,C1=CC=CC=C1C[N+](C)(C)CCNC(=O)CCCCCCCCCCCC.[Cl-],39.6,[70],cationic,10.1016/j.ces.2022.118208,
260,C1=CC=CC=C1C[N+](C)(C)CCNC(=O)CCCCCCCCCCCCCC.[Cl-],39.9,[70],cationic,10.1016/j.ces.2022.118208,
261,C1=CC=CC=C1C[N+](C)(C)CCNC(=O)CCCCCCCCCCCCCCCC.[Cl-],42.2,[70],cationic,10.1016/j.ces.2022.118208,
262,CCCCCCCCCC(=O)OCCC[N+](C)(C)CC(O)CN(CCCC)CC(O)C[N+](C)(C)CCCOC(=O)CCCCCCCCC.[Cl-].[Cl-],38,[71],cationic,10.1016/j.ces.2022.118208,
263,CCCCCCCCCC(=O)OCCC[N+](C)(C)CC(O)CN(CCCCC)CC(O)C[N+](C)(C)CCCOC(=O)CCCCCCCCC.[Cl-].[Cl-],36,[71],cationic,10.1016/j.ces.2022.118208,
264,CCCCCCCCCC(=O)OCCC[N+](C)(C)CC(O)CN(CCCCCC)CC(O)C[N+](C)(C)CCCOC(=O)CCCCCCCCC.[Cl-].[Cl-],39,[71],cationic,10.1016/j.ces.2022.118208,
265,CCCCCCCCCC(=O)OCCC[N+](C)(C)CC(O)CN(CCCCCCCC)CC(O)C[N+](C)(C)CCCOC(=O)CCCCCCCCC.[Cl-].[Cl-],37,[71],cationic,10.1016/j.ces.2022.118208,
266,CCCCCCCCCCCC(=O)OCCC[N+](C)(C)CC(O)CN(CCCC)CC(O)C[N+](C)(C)CCCOC(=O)CCCCCCCCCCC.[Cl-].[Cl-],37,[71],cationic,10.1016/j.ces.2022.118208,
267,CCCCCCCCCCCC(=O)OCCC[N+](C)(C)CC(O)CN(CCCCC)CC(O)C[N+](C)(C)CCCOC(=O)CCCCCCCCCCC.[Cl-].[Cl-],35,[71],cationic,10.1016/j.ces.2022.118208,
268,CCCCCCCCCCCC(=O)OCCC[N+](C)(C)CC(O)CN(CCCCCC)CC(O)C[N+](C)(C)CCCOC(=O)CCCCCCCCCCC.[Cl-].[Cl-],38,[71],cationic,10.1016/j.ces.2022.118208,
269,CCCCCCCCCCCC(=O)OCCC[N+](C)(C)CC(O)CN(CCCCCCCC)CC(O)C[N+](C)(C)CCCOC(=O)CCCCCCCCCCC.[Cl-].[Cl-],36,[71],cationic,10.1016/j.ces.2022.118208,
270,C(C[N+](C)(C)CC(=O)NC1=CC=C(C=C1)OCCCCCCCC)[N+](C)(C)CC(=O)NC2=CC=C(C=C2)OCCCCCCCC.[Br-].[Br-],30.4,[72],cationic,10.1016/j.ces.2022.118208,
271,C(CCC[N+](C)(C)CC(=O)NC1=CC=C(C=C1)OCCCCCCCC)[N+](C)(C)CC(=O)NC2=CC=C(C=C2)OCCCCCCCC.[Br-].[Br-],32,[72],cationic,10.1016/j.ces.2022.118208,
272,C(CCCCC[N+](C)(C)CC(=O)NC1=CC=C(C=C1)OCCCCCCCC)[N+](C)(C)CC(=O)NC2=CC=C(C=C2)OCCCCCCCC.[Br-].[Br-],36,[72],cationic,10.1016/j.ces.2022.118208,
273,C(C[N+](C)(C)CC(=O)NC1=CC=C(C=C1)OCCCCCCCCCC)[N+](C)(C)CC(=O)NC2=CC=C(C=C2)OCCCCCCCCCC.[Br-].[Br-],33.1,[72],cationic,10.1016/j.ces.2022.118208,
274,C(CCC[N+](C)(C)CC(=O)NC1=CC=C(C=C1)OCCCCCCCCCC)[N+](C)(C)CC(=O)NC2=CC=C(C=C2)OCCCCCCCCCC.[Br-].[Br-],41.6,[72],cationic,10.1016/j.ces.2022.118208,
275,C(CCCCC[N+](C)(C)CC(=O)NC1=CC=C(C=C1)OCCCCCCCCCC)[N+](C)(C)CC(=O)NC2=CC=C(C=C2)OCCCCCCCCCC.[Br-].[Br-],45,[72],cationic,10.1016/j.ces.2022.118208,
276,C(C[N+](C)(C)CC(=O)NC1=CC=C(C=C1)OCCCCCCCCCCCC)[N+](C)(C)CC(=O)NC2=CC=C(C=C2)OCCCCCCCCCCCC.[Br-].[Br-],44.6,[72],cationic,10.1016/j.ces.2022.118208,
277,C(CCC[N+](C)(C)CC(=O)NC1=CC=C(C=C1)OCCCCCCCCCCCC)[N+](C)(C)CC(=O)NC2=CC=C(C=C2)OCCCCCCCCCCCC.[Br-].[Br-],44.8,[72],cationic,10.1016/j.ces.2022.118208,
278,C(CCCCC[N+](C)(C)CC(=O)NC1=CC=C(C=C1)OCCCCCCCCCCCC)[N+](C)(C)CC(=O)NC2=CC=C(C=C2)OCCCCCCCCCCCC.[Br-].[Br-],49,[72],cationic,10.1016/j.ces.2022.118208,
279,C(C[N+](C)(C)CC(=O)NC1=CC=C(C=C1)OCCCCCCCCCCCCCC)[N+](C)(C)CC(=O)NC2=CC=C(C=C2)OCCCCCCCCCCCCCC.[Br-].[Br-],47,[72],cationic,10.1016/j.ces.2022.118208,
280,C(CCC[N+](C)(C)CC(=O)NC1=CC=C(C=C1)OCCCCCCCCCCCCCC)[N+](C)(C)CC(=O)NC2=CC=C(C=C2)OCCCCCCCCCCCCCC.[Br-].[Br-],46,[72],cationic,10.1016/j.ces.2022.118208,
281,C(CCCCC[N+](C)(C)CC(=O)NC1=CC=C(C=C1)OCCCCCCCCCCCCCC)[N+](C)(C)CC(=O)NC2=CC=C(C=C2)OCCCCCCCCCCCCCC.[Br-].[Br-],51.1,[72],cationic,10.1016/j.ces.2022.118208,
282,C(C[N+](C)(C)CC(=O)NC1=CC=C(C=C1)OCCCCCCCCCCCCCCCC)[N+](C)(C)CC(=O)NC2=CC=C(C=C2)OCCCCCCCCCCCCCCCC.[Br-].[Br-],46,[72],cationic,10.1016/j.ces.2022.118208,
283,C(CCC[N+](C)(C)CC(=O)NC1=CC=C(C=C1)OCCCCCCCCCCCCCCCC)[N+](C)(C)CC(=O)NC2=CC=C(C=C2)OCCCCCCCCCCCCCCCC.[Br-].[Br-],48,[72],cationic,10.1016/j.ces.2022.118208,
284,C(CCCCC[N+](C)(C)CC(=O)NC1=CC=C(C=C1)OCCCCCCCCCCCCCCCC)[N+](C)(C)CC(=O)NC2=CC=C(C=C2)OCCCCCCCCCCCCCCCC.[Br-].[Br-],45,[72],cationic,10.1016/j.ces.2022.118208,
285,C1=CC=C(C2=C1C=CC=[N+]2CCCCCCCCCC)OC(=O)CCCCCCCCCCC.[Br-],36,[73],cationic,10.1016/j.ces.2022.118208,
286,C1=CC=C(C2=C1C=CC=[N+]2CCCCCCCCCC)OC(=O)CCCCCCCCCCCCC.[Br-],45,[73],cationic,10.1016/j.ces.2022.118208,
287,C1=CC=C(C2=C1C=CC=[N+]2CCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCC.[Br-],49,[73],cationic,10.1016/j.ces.2022.118208,
288,C1=CC=C(C2=C1C=CC=[N+]2CCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC.[Br-],47,[73],cationic,10.1016/j.ces.2022.118208,
289,C1=CC=C(C2=C1C=CC=[N+]2CCCCCC[N+]3=CC=CC4=C3C(=CC=C4)OC(CCCCCCCCCCC)=O)OC(CCCCCCCCCCC)=O.[Br-].[Br-],41,[73],cationic,10.1016/j.ces.2022.118208,
290,C1=CC=C(C2=C1C=CC=[N+]2CCCCCC[N+]3=CC=CC4=C3C(=CC=C4)OC(CCCCCCCCCCCCC)=O)OC(CCCCCCCCCCCCC)=O.[Br-].[Br-],43,[73],cationic,10.1016/j.ces.2022.118208,
291,C1=CC=C(C2=C1C=CC=[N+]2CCCCCC[N+]3=CC=CC4=C3C(=CC=C4)OC(CCCCCCCCCCCCCCC)=O)OC(CCCCCCCCCCCCCCC)=O.[Br-].[Br-],44,[73],cationic,10.1016/j.ces.2022.118208,
292,C1=CC=C(C2=C1C=CC=[N+]2CCCCCC[N+]3=CC=CC4=C3C(=CC=C4)OC(CCCCCCCCCCCCCCCCC)=O)OC(CCCCCCCCCCCCCCCCC)=O.[Br-].[Br-],46,[73],cationic,10.1016/j.ces.2022.118208,
293,C1=CC=C(C2=C1C=CC=[N+]2CCCCCCCCCC[N+]3=CC=CC4=C3C(=CC=C4)OC(CCCCCCCCCCC)=O)OC(CCCCCCCCCCC)=O.[Br-].[Br-],43,[73],cationic,10.1016/j.ces.2022.118208,
294,C1=CC=C(C2=C1C=CC=[N+]2CCCCCCCCCC[N+]3=CC=CC4=C3C(=CC=C4)OC(CCCCCCCCCCCCC)=O)OC(CCCCCCCCCCCCC)=O.[Br-].[Br-],45,[73],cationic,10.1016/j.ces.2022.118208,
295,C1=CC=C(C2=C1C=CC=[N+]2CCCCCCCCCC[N+]3=CC=CC4=C3C(=CC=C4)OC(CCCCCCCCCCCCCCC)=O)OC(CCCCCCCCCCCCCCC)=O.[Br-].[Br-],46,[73],cationic,10.1016/j.ces.2022.118208,
296,C1=CC=C(C2=C1C=CC=[N+]2CCCCCCCCCC[N+]3=CC=CC4=C3C(=CC=C4)OC(CCCCCCCCCCCCCCCCC)=O)OC(CCCCCCCCCCCCCCCCC)=O.[Br-].[Br-],50,[73],cationic,10.1016/j.ces.2022.118208,
297,C(C(C(C(C(O)CO)O)O)O)(=O)NCCC[N+](CCO)(C)CCCCCCCCCC.[Br-],28.2,[74],cationic,10.1016/j.ces.2022.118208,
