Number,SMILES,AW_ST_CMC/ mN/m,ref,Type_of_surfactant,DOI_1,DOI_2
39,CCCCCCCCCCCC[N+](C)(C)CC(O)CN(CC)CC(O)C[N+](C)(C)CCCCCCCCCCCC.[Cl-].[Cl-],38,[6],cationic,10.1016/j.ces.2022.118208,
40,C1=CC=CC=C1NC(=O)C[N+](C)(C)CCCCCCCCCCCCCCCC.[Cl-],32.4,[7],cationic,10.1016/j.ces.2022.118208,
41,C1=CC=CC=C1C[N+](C)(C)CCCCCCCCCCCCCCCC.[Cl-],40.5,[7],cationic,10.1016/j.ces.2022.118208,
42,CCCCCCCCCC[N+](C)(C)CC[N+](CCCCCCCCCC)(C)C.[Br-].[Br-],32,[8],cationic,10.1016/j.ces.2022.118208,
43,C[N+](CCCCCCCCCCCC)(C)CCCCCCCCCC[N+](CCCCCCCCCCCC)(C)C.[Br-].[Br-],43,[8],cationic,10.1016/j.ces.2022.118208,
44,C[N+](CCCCCCCCCCCC)(C)CCCCCC[N+](CCCCCCCCCCCC)(C)C.[Br-].[Br-],41,[8],cationic,10.1016/j.ces.2022.118208,
45,C(N)([N+])NCCCC(C(=O)OC)NC(=O)CCCCCCCCCCC.[Cl-],32,[9],cationic,10.1016/j.ces.2022.118208,
46,C(N)([N+])NCCCC(C(=O)OC)NC(=O)CCCCCCCCCCCCC.[Cl-],32,[9],cationic,10.1016/j.ces.2022.118208,
47,C(N)([N+])NCCCC(C(=O)NCCCCCCCCCC)[N+].[Cl-].[Cl-],35,[9],cationic,10.1016/j.ces.2022.118208,
48,C(N)([N+])NCCCC(C(=O)OCCCCCCCC)[N+].[Cl-].[Cl-],35,[9],cationic,10.1016/j.ces.2022.118208,
49,C(N)([N+])NCCCC(C(=O)NCCCCCCCCCCCCCC)[N+].[Cl-].[Cl-],33,[9],cationic,10.1016/j.ces.2022.118208,
50,C(N)([N+])NCCCC(C(=O)OCCCCCCCCCC)[N+].[Cl-].[Cl-],34,[9],cationic,10.1016/j.ces.2022.118208,
51,C(N)([N+])NCCCC(C(=O)OC)NC(=O)CCCCCCCCC.[Cl-],40,[9],cationic,10.1016/j.ces.2022.118208,
52,CCCCCCCCCCCCCC[N+]CC(O)COCC(COCC(C[N+]CCCCCCCCCCCCCC)O)(COCC(C[N+]CCCCCCCCCCCCCC)O)C.[Cl-].[Cl-].[Cl-],34,[10],cationic,10.1016/j.ces.2022.118208,
53,CCCCCCCCCC[N+]CC(O)COCC(COCC(C[N+]CCCCCCCCCC)O)(COCC(C[N+]CCCCCCCCCC)O)C.[Cl-].[Cl-].[Cl-],34.8,[10],cationic,10.1016/j.ces.2022.118208,
54,C1=CC(=CC=C1)NC(=O)C[N+](C)(C)CCCCCCCCCCCC.[Cl-],33.3,[11],cationic,10.1016/j.ces.2022.118208,
55,C1(=NC=CS1)NC(=O)C[N+](C)(C)CCCCCCCCCCCC.[Cl-],35.1,[11],cationic,10.1016/j.ces.2022.118208,
56,CCCCCCCC[N]1C=C[N+](=C1)C.[I-],34.5,[12],cationic,10.1016/j.ces.2022.118208,
57,CCCCCCCC[N]1C=C[N+](=C1)C.[Cl-],37,[12],cationic,10.1016/j.ces.2022.118208,
58,CCCCCCCCCCCC[N+](C)(C)CCC[N+](CCCCCCCCCCCC)(C)C.[Br-].[Br-],34,[13],cationic,10.1016/j.ces.2022.118208,
59,CCCCCCCCCCCC[N+](CCCC)(CCCC)CCCC.[Br-],35.5,[13],cationic,10.1016/j.ces.2022.118208,
60,CCCCCCCCCCCC[N+](C)(C)CCCC[N+](CCCCCCCCCCCC)(C)C.[Br-].[Br-],38,[13],cationic,10.1016/j.ces.2022.118208,
61,CCCCCCCCCCCC[N+](CC)(CC)CC.[Br-],39,[13],cationic,10.1016/j.ces.2022.118208,
62,CCCCCCCCCCCC[N+](CCC)(CCC)CCC.[Br-],39,[13],cationic,10.1016/j.ces.2022.118208,
63,CCCCCCCCCCCC(=O)NC(CCCNC(=[N+])N)C(=O)NCCCCCCNC(C(NC(CCCCCCCCCCC)=O)CCCNC(=[N+])N)=O.[Cl-].[Cl-],34,[14],cationic,10.1016/j.ces.2022.118208,
64,CCCCCCCCCCCC(=O)NC(CCCNC(=[N+])N)C(=O)NCCCNC(C(NC(CCCCCCCCCCC)=O)CCCNC(=[N+])N)=O.[Cl-].[Cl-],36,[14],cationic,10.1016/j.ces.2022.118208,
65,CCCCCCCCCCCC(=O)NC(CCCNC(=[N+])N)C(=O)NCCCCCCCCCNC(C(NC(CCCCCCCCCCC)=O)CCCNC(=[N+])N)=O.[Cl-].[Cl-],36,[14],cationic,10.1016/j.ces.2022.118208,
66,C[N+](CCCCCCCC)(C)CC[N+](CCCCCCCC)(C)CC[N+](CCCCCCCC)(C)C.[Br-].[Br-].[Br-],35.1,[15],cationic,10.1016/j.ces.2022.118208,
67,C[N+](CCCCCCCCCC)(C)CC[N+](CCCCCCCCCC)(C)CC[N+](CCCCCCCCCC)(C)C.[Br-].[Br-].[Br-],25.8,[15],cationic,10.1016/j.ces.2022.118208,
68,C[N+](CCCCCCCCCCCC)(C)CC[N+](CCCCCCCCCCCC)(C)CC[N+](CCCCCCCCCCCC)(C)C.[Br-].[Br-].[Br-],36.4,[15],cationic,10.1016/j.ces.2022.118208,
69,C[N+](CCCCCCCCCCCC)(C)CC[N+](CCCCCCCCCCCC)(C)C.[Br-].[Br-],40,[15],cationic,10.1016/j.ces.2022.118208,
70,CCCCCCCCCC[N+](C)(C)C.[Br-],36.2,[16],cationic,10.1016/j.ces.2022.118208,
71,C1C[N+](CCO1)(CCCCCCCCCC)CC2=CC=C(C=C2)C3=CC=C(C=C3)C[N+]4(CCOCC4)CCCCCCCCCC.[Cl-].[Cl-],36,[17],cationic,10.1016/j.ces.2022.118208,
72,C1C[N+](CCO1)(CCCCCCCCCCCC)CC2=CC=C(C=C2)C3=CC=C(C=C3)C[N+]4(CCOCC4)CCCCCCCCCCCC.[Cl-].[Cl-],35.4,[17],cationic,10.1016/j.ces.2022.118208,
73,C1C[N+](CCO1)(CCCCCCCCCCCCCCCC)CC2=CC=C(C=C2)C3=CC=C(C=C3)C[N+]4(CCOCC4)CCCCCCCCCCCCCCCC.[Cl-].[Cl-],36,[17],cationic,10.1016/j.ces.2022.118208,
74,C1C[N+](CCO1)(CC2=CC=C(C=C2)C[N+]3(CCOCC3)CCCCCCCCCCCC)CCCCCCCCCCCC.[Cl-].[Cl-],38.2,[17],cationic,10.1016/j.ces.2022.118208,
75,C1C[N+](CCO1)(CC2=CC=C(C=C2)C[N+]3(CCOCC3)CCCCCCCCCC)CCCCCCCCCC.[Cl-].[Cl-],39.9,[17],cationic,10.1016/j.ces.2022.118208,
76,C1C[N+](CCO1)(CC2=CC=C(C=C2)C[N+]3(CCOCC3)CCCCCCCCCCCCCC)CCCCCCCCCCCCCC.[Cl-].[Cl-],42.5,[17],cationic,10.1016/j.ces.2022.118208,
77,C1C[N+](CCO1)(CC2=CC=C(C=C2)C[N+]3(CCOCC3)CCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCC.[Cl-].[Cl-],49.1,[17],cationic,10.1016/j.ces.2022.118208,
78,CCCCCCCCCCCCC(C(CCCCCCCCCCCC)C[N+](C)(C)C)C[N+](C)(C)C.[Br-].[Br-],35.3,[18],cationic,10.1016/j.ces.2022.118208,
79,CCCCCCCCCCCC[N+](CCO)(CCO)CCO.[Cl-],37.8,[19],cationic,10.1016/j.ces.2022.118208,
80,CCCCCCCCCCCC[N+]1=CC=CC=C1.[Br-],38.9,[19],cationic,10.1016/j.ces.2022.118208,
81,CCCCCCCCCCCC[N+](C)(C)C.COS(=O)(=O)[O-],38.3,[19],cationic,10.1016/j.ces.2022.118208,
82,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],40.4,[19],cationic,10.1016/j.ces.2022.118208,
83,CCCCCCCCCC[N+]1=CC=CC=C1.[Br-],40.1,[19],cationic,10.1016/j.ces.2022.118208,
84,CCCCCCCCCCCCCC[N+]1=CC=CC=C1.[Br-],40.8,[19],cationic,10.1016/j.ces.2022.118208,
85,CCCCCCCCCCCC[NH2+]CCO.[Cl-],40.8,[19],cationic,10.1016/j.ces.2022.118208,
86,CCCCCCCCCCCC[NH+](CCO)CCO.[Cl-],39.8,[19],cationic,10.1016/j.ces.2022.118208,
87,CCCCCCCCCCCCCC[N+](CCC)(CCC)CCC.[Br-],42.8,[19],cationic,10.1016/j.ces.2022.118208,
