identifier,CMC (mM),γCMC (mN/m),Γmax10-10 (mol/cm2),Amin (A ̊ 2),method,β,ΔGmic  0 (kJ/mol),SMILES,Temp_Celsius,source_doi,reference_doi
2a,145,35.9,1.58,105,tensiometry,,,C[N+](CCCCNC(N(C)C)=[NH2+])(C)CCCCCCCC.[Br-].[Br-],25,10.1007/s11743-012-1417-1,
2b,16.9,33.7,1.77,93.6,tensiometry,,,C[N+](CCCCNC(N(C)C)=[NH2+])(C)CCCCCCCCCC.[Br-].[Br-],25,10.1007/s11743-012-1417-1,
2c,2.05,31.9,1.97,84.3,tensiometry,,,C[N+](CCCCNC(N(C)C)=[NH2+])(C)CCCCCCCCCCCC.[Br-].[Br-],25,10.1007/s11743-012-1417-1,
2a,130,,,,conductometry,0.68,-49.2,C[N+](CCCCNC(N(C)C)=[NH2+])(C)CCCCCCCC.[Br-].[Br-],25,10.1007/s11743-012-1417-1,
2b,18.5,,,,conductometry,0.72,-51.5,C[N+](CCCCNC(N(C)C)=[NH2+])(C)CCCCCCCCCC.[Br-].[Br-],25,10.1007/s11743-012-1417-1,
2c,2.31,,,,conductometry,0.76,-55.8,C[N+](CCCCNC(N(C)C)=[NH2+])(C)CCCCCCCCCCCC.[Br-].[Br-],25,10.1007/s11743-012-1417-1,
