Compound,"CMC, M/L",Interfacial tension (mN/m),E.B. Sec.,Foaming power (mL),πcmc,Pc20,∏max x 10^-9,Amin Nm2,"ΔGacs, kJ/mole",source_doi,reference_doi,SMILES,Temp_Celsius
Pa,0.001,12.5,165,—,43,5.53,5.253,3.16,9.33,10.1016/j.bmc.2005.07.031,,CCCCCCCCCCCCOC(=O)C[n+]1cccc2ccc(CN3CCCCC3)c(O)c21.[Br-],25.0
Pb,0.0005,3.0,35,30,46,5.51,5.231,3.174,8.55,10.1016/j.bmc.2005.07.031,,CCCCCCCCCCCCCCCCOC(=O)C[n+]1cccc2ccc(CN3CCCCC3)c(O)c21.[Br-],25.0
Pc,0.00025,6.5,65,40,48,5.94,5.639,2.944,8.45,10.1016/j.bmc.2005.07.031,,CCCCCCCCCCCCCCCCCCOC(=O)C[n+]1cccc2ccc(CN3CCCCC3)c(O)c21.[Br-],25.0
Ma,0.00025,3.0,160,—,45,4.45,4.225,3.93,10.42,10.1016/j.bmc.2005.07.031,,CCCCCCCCCCCCOC(=O)C[n+]1cccc2ccc(CN3CCOCC3)c(O)c21.[Br-],25.0
Mb,0.001,2.5,135,—,43,3.04,2.886,5.753,11.45,10.1016/j.bmc.2005.07.031,,CCCCCCCCCCCCCCCCOC(=O)C[n+]1cccc2ccc(CN3CCOCC3)c(O)c21.[Br-],25.0
Mc,0.0016,2.0,117,—,40,3.12,2.962,5.905,9.99,10.1016/j.bmc.2005.07.031,,CCCCCCCCCCCCCCCCCCOC(=O)C[n+]1cccc2ccc(CN3CCOCC3)c(O)c21.[Br-],25.0
