Surfactant,MW (g/mol),CMC (mol/L),Surface tensiona (mN/m),Contact angleb (o),Viscosity (cP),IFTd (mN/m),Foam stabilitye (%),Emulsion stability (1/V) 1 wt% T,Emulsion stability (1/V) 1 wt% B,Emulsion stability (1/V) 3 wt% T,Emulsion stability (1/V) 3 wt% B,source_doi,reference_doi,Temp_Celsius,SMILES,Unnamed: 16
BA-2-MA,603.13,0.000901,28.64,24.9,3.35,0.09,40.59,0.999,1.001,1.003,1.005,10.1016/j.jiec.2014.06.027,,25.0,CCCCCCCCCCCCOCC(OCCO)CN(C)CC(OCCO)CCOCCCCCCCCCCCC,
BA-5-MA,717.24,0.00492,32.22,22.6,3.37,0.21,45.54,0.998,1.002,1.0,1.05,10.1016/j.jiec.2014.06.027,,25.0,CCCCCCCCCCCCOCC(OCCOCCO)CN(C)CC(OCCOCCOCCO)CCOCCCCCCCCCCCC.CCCCCCCCCCCCOCC(OCCO)CN(C)CC(OCCOCCOCCOCCO)CCOCCCCCCCCCCCC,
