Compound,R,X,CMC/ mol/dm3,γcmc/ mN/m,-(dγ/dlogc)T,Γmax x 10^6/ mol/m2,F x 10^20/ m2,-ΔGm/ kJ/mol,(nCH2)eq,I,source_doi,SMILES,reference_doi,Temp_Celsius,
XXIV,Tridecyl,O,0.00031,39.7,14.78,1.32,125.8,19.7,12,0.922,10.1016/0021-9797(86)90417-0,C[N+](C)(CCCCCCCCCCCCC)CCCOCCC[N+](C)(CCCCCCCCCCCCC)C.[Br-].[Br-],,20,tensiometry
XXV,Tetradecyl,O,0.0001,40.1,13.51,1.2,138.4,22.4,12.9,0.924,10.1016/0021-9797(86)90417-0,C[N+](C)(CCCCCCCCCCCCCC)CCCOCCC[N+](C)(CCCCCCCCCCCCCC)C.[Br-].[Br-],,20,tensiometry
XXVI,Hexadecyl,O,4.40E-06,47.2,13-Jan,1.18,141.3,30.1,14.8,0.927,10.1016/0021-9797(86)90417-0,C[N+](C)(CCCCCCCCCCCCCCCC)CCCOCCC[N+](C)(CCCCCCCCCCCCCCCC)C.[Br-].[Br-],,20,tensiometry
XXVII,Hexyl,S,0.061,28.7,23-Jan,2.11,78.8,6.8,6.3,1.05,10.1016/0021-9797(86)90417-0,C[N+](C)(CCCCCC)CCCSCCC[N+](C)(CCCCCC)C.[Br-].[Br-],,20,tensiometry
XXVIII,Octyl,S,0.021,33.1,21.12,1.88,88.3,9.4,8.3,1.041,10.1016/0021-9797(86)90417-0,C[N+](C)(CCCCCCCC)CCCSCCC[N+](C)(CCCCCCCC)C.[Br-].[Br-],,20,tensiometry
XXIX,Decyl,S,0.0088,35,21.9,1.95,85.1,11.6,10.4,1.035,10.1016/0021-9797(86)90417-0,C[N+](C)(CCCCCCCCCC)CCCSCCC[N+](C)(CCCCCCCCCC)C.[Br-].[Br-],,20,tensiometry
XXX,Dodecyl,S,0.00084,34.5,22.23,1.19,83.9,17.3,12.4,1.031,10.1016/0021-9797(86)90417-0,C[N+](C)(CCCCCCCCCCCC)CCCSCCC[N+](C)(CCCCCCCCCCCC)C.[Br-].[Br-],,20,tensiometry
XXXI,Tetradecyl,S,0.00015,33.9,16.42,1.46,113.5,21.5,14.4,1.029,10.1016/0021-9797(86)90417-0,C[N+](C)(CCCCCCCCCCCCCC)CCCSCCC[N+](C)(CCCCCCCCCCCCCC)C.[Br-].[Br-],,20,tensiometry
XXXII,Hexadecyl,S,1.70E-05,41.9,15.36,1.37,121.4,26.8,16.4,1.027,10.1016/0021-9797(86)90417-0,C[N+](C)(CCCCCCCCCCCCCCCC)CCCSCCC[N+](C)(CCCCCCCCCCCCCCCC)C.[Br-].[Br-],,20,tensiometry
XXXIII,Octadecyl,S,5.20E-06,40.9,15.57,1.39,119.7,29.7,,,10.1016/0021-9797(86)90417-0,C[N+](C)(CCCCCCCCCCCCCCCCCC)CCCSCCC[N+](C)(CCCCCCCCCCCCCCCCCC)C.[Br-].[Br-],,20,tensiometry
I,Hexyl,CH2,0.16,,,,,4.5,,,10.1016/0021-9797(86)90417-0,C[N+](C)(CCCCCC)CCCCCCC[N+](C)(CCCCCC)C.[Br-].[Br-],,20,conductometry
II,Octyl,CH2,0.048,,,,,7.4,,,10.1016/0021-9797(86)90417-0,C[N+](C)(CCCCCCCC)CCCCCCC[N+](C)(CCCCCCCC)C.[Br-].[Br-],,20,
III,Nonyl,CH2,0.025,,,,,9,,,10.1016/0021-9797(86)90417-0,C[N+](C)(CCCCCCCCC)CCCCCCC[N+](C)(CCCCCCCCC)C.[Br-].[Br-],,20,
IV,Decyl,CH2,0.0089,,,,,11.5,,,10.1016/0021-9797(86)90417-0,C[N+](C)(CCCCCCCCCC)CCCCCCC[N+](C)(CCCCCCCCCC)C.[Br-].[Br-],,20,
V,Undecyl,CH2,0.003,,,,,14.2,,,10.1016/0021-9797(86)90417-0,C[N+](C)(CCCCCCCCCCC)CCCCCCC[N+](C)(CCCCCCCCCCC)C.[Br-].[Br-],,20,
VI,Dodecyl,CH2,0.0011,,,,,16.5,,,10.1016/0021-9797(86)90417-0,C[N+](C)(CCCCCCCCCCCC)CCCCCCC[N+](C)(CCCCCCCCCCCC)C.[Br-].[Br-],,20,
VII,Tridecyl,CH2,0.00041,,,,,19,,,10.1016/0021-9797(86)90417-0,C[N+](C)(CCCCCCCCCCCCC)CCCCCCC[N+](C)(CCCCCCCCCCCCC)C.[Br-].[Br-],,20,
VIII,Tetradecyl,CH2,0.00018,,,,,21.1,,,10.1016/0021-9797(86)90417-0,C[N+](C)(CCCCCCCCCCCCCC)CCCCCCC[N+](C)(CCCCCCCCCCCCCC)C.[Br-].[Br-],,20,
IX,Hexadecyl,CH2,3.20E-05,,,,,25.2,,,10.1016/0021-9797(86)90417-0,C[N+](C)(CCCCCCCCCCCCCCCC)CCCCCCC[N+](C)(CCCCCCCCCCCCCCCC)C.[Br-].[Br-],,20,
