glycol units,Log(concentration),surface tension at CMC/ dyne cm-1,SMILES,Surfactant_Type,Temp_Celsius,source_doi,reference_doi,method
3,1.492525,27.56,CCCCCCOCCOCCOCCO,non-ionic,20,10.1016/0095-8522(62)90020-X,,tensiometry
6,1.477675,31.34,CCCCCCOCCOCCOCCOCCOCCOCCO,non-ionic,20,10.1016/0095-8522(62)90020-X,,tensiometry
5,1.492525,32.55,CCCCCCOCCOCCOCCOCCOCCO,non-ionic,20,10.1016/0095-8522(62)90020-X,,tensiometry
4,1.289575,33.31,CCCCCCOCCOCCOCCOCCO,non-ionic,20,10.1016/0095-8522(62)90020-X,,tensiometry
