identifier,pC20,CMC,Pi_CMC,CMC/C20,Temp_Celsius,source_doi,reference_doi,SMILES,Molecular_Weight,InChI,Gamma_max,Area_min,pCMC
C10-MGA,3.6,0.00129,36.1,5.2,20.0,10.1006/jcis.2001.7704,,CCCCCCCCCCN(C)C(=O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,349.4680000000001,"InChI=1S/C17H35NO6/c1-3-4-5-6-7-8-9-10-11-18(2)17(24)16(23)15(22)14(21)13(20)12-19/h13-16,19-23H,3-12H2,1-2H3/t13-,14-,15+,16-/m1/s1",3.96e-06,0.42,2.889410289700751
C12-MGA,4.78,0.000146,37.6,8.8,20.0,10.1006/jcis.2001.7704,,CCCCCCCCCCCCN(C)C(=O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,377.52200000000005,"InChI=1S/C19H39NO6/c1-3-4-5-6-7-8-9-10-11-12-13-20(2)19(26)18(25)17(24)16(23)15(22)14-21/h15-18,21-25H,3-14H2,1-2H3/t15-,16-,17+,18-/m1/s1",3.99e-06,0.42,3.835647144215563
C14-MGA,5.55,2.36e-05,37.8,8.5,20.0,10.1006/jcis.2001.7704,,CCCCCCCCCCCCCCN(C)C(=O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,405.576,"InChI=1S/C21H43NO6/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-22(2)21(28)20(27)19(26)18(25)17(24)16-23/h17-20,23-27H,3-16H2,1-2H3/t17-,18-,19+,20-/m1/s1",3.97e-06,0.42,4.627087997029894
C16-MGA,6.11,7.74e-06,38.5,10.1,20.0,10.1006/jcis.2001.7704,,CCCCCCCCCCCCCCCCN(C)C(=O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,433.63000000000005,"InChI=1S/C23H47NO6/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-24(2)23(30)22(29)21(28)20(27)19(26)18-25/h19-22,25-29H,3-18H2,1-2H3/t19-,20-,21+,22-/m1/s1",3.6499999999999998e-06,0.45,5.111259039317107
C18-MGA,6.46,2.85e-06,39.7,8.1,20.0,10.1006/jcis.2001.7704,,CCCCCCCCCCCCCCCCCCN(C)C(=O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,461.684,"InChI=1S/C25H51NO6/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-26(2)25(32)24(31)23(30)22(29)21(28)20-27/h21-24,27-31H,3-20H2,1-2H3/t21-,22-,23+,24-/m1/s1",3.97e-06,0.42,5.54515513999149
C10-MLA,3.29,0.00231,33.9,4.6,20.0,10.1006/jcis.2001.7704,,CCCCCCCCCCN(C)C(=O)[C@H](O)[C@@H](O)[C@H](O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)CO,511.6090000000004,"InChI=1S/C23H45NO11/c1-3-4-5-6-7-8-9-10-11-24(2)22(33)19(31)18(30)21(14(27)12-25)35-23-20(32)17(29)16(28)15(13-26)34-23/h14-21,23,25-32H,3-13H2,1-2H3/t14-,15-,16+,17+,18-,19-,20-,21-,23+/m1/s1",4.139999999999999e-06,0.39999999999999997,2.6363880201078556
C12-MLA,4.45,0.000249,36.8,7.1,20.0,10.1006/jcis.2001.7704,,CCCCCCCCCCCCN(C)C(=O)[C@H](O)[C@@H](O)[C@H](O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)CO,539.6630000000006,"InChI=1S/C25H49NO11/c1-3-4-5-6-7-8-9-10-11-12-13-26(2)24(35)21(33)20(32)23(16(29)14-27)37-25-22(34)19(31)18(30)17(15-28)36-25/h16-23,25,27-34H,3-15H2,1-2H3/t16-,17-,18+,19+,20-,21-,22-,23-,25+/m1/s1",3.98e-06,0.42,3.6038006529042637
C14-MLA,5.4,3.64e-05,37.1,9.2,20.0,10.1006/jcis.2001.7704,,CCCCCCCCCCCCCCN(C)C(=O)[C@H](O)[C@@H](O)[C@H](O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)CO,567.7170000000008,"InChI=1S/C27H53NO11/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-28(2)26(37)23(35)22(34)25(18(31)16-29)39-27-24(36)21(33)20(32)19(17-30)38-27/h18-25,27,29-36H,3-17H2,1-2H3/t18-,19-,20+,21+,22-,23-,24-,25-,27+/m1/s1",3.7599999999999996e-06,0.43999999999999995,4.438898616350944
C16-MLA,6.01,9.3e-06,37.2,9.5,20.0,10.1006/jcis.2001.7704,,CCCCCCCCCCCCCCCCN(C)C(=O)[C@H](O)[C@@H](O)[C@H](O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)CO,595.7710000000008,"InChI=1S/C29H57NO11/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-30(2)28(39)25(37)24(36)27(20(33)18-31)41-29-26(38)23(35)22(34)21(19-32)40-29/h20-27,29,31-38H,3-19H2,1-2H3/t20-,21-,22+,23+,24-,25-,26-,27-,29+/m1/s1",3.7599999999999996e-06,0.43999999999999995,5.031517051446065
C18-MLA,6.34,3.3e-06,38.2,7.2,20.0,10.1006/jcis.2001.7704,,CCCCCCCCCCCCCCCCCCN(C)C(=O)[C@H](O)[C@@H](O)[C@H](O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)CO,623.8250000000008,"InChI=1S/C31H61NO11/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-32(2)30(41)27(39)26(38)29(22(35)20-33)43-31-28(40)25(37)24(36)23(21-34)42-31/h22-29,31,33-40H,3-21H2,1-2H3/t22-,23-,24+,25+,26-,27-,28-,29-,31+/m1/s1",3.96e-06,0.42,5.481486060122113
OL-MGA,5.37,3.22e-05,38.0,7.5,20.0,10.1006/jcis.2001.7704,,CCCCCCCC/C=C\CCCCCCCCN(C)C(=O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,459.66800000000006,"InChI=1S/C25H49NO6/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-26(2)25(32)24(31)23(30)22(29)21(28)20-27/h10-11,21-24,27-31H,3-9,12-20H2,1-2H3/b11-10-/t21-,22-,23+,24-/m1/s1",3.89e-06,0.43000000000000005,4.492144128304169
