DOI,entry,SMILES,pCMC,AW_ST_CMC/ mN/m,gamma * 10^6 mol/m^2,Area * 10^6 m^2,deltaG ads kJ/mol,Type_of_surfactant
10.1111/cbdd.12236,31,N1(CCC)C=[N+](COCCCCOC[N+]2=CN(CCC)C=C2)C=C1.[Cl-].[Cl-],2.39,56.6,2.63,60,21.9,cationic gemini
10.1111/cbdd.12236,32,N1(CCCC)C=[N+](COCCCCOC[N+]2=CN(CCCC)C=C2)C=C1.[Cl-].[Cl-],2.45,55.1,2.59,62,22.3,cationic gemini
10.1111/cbdd.12236,33,N1(CCCCC)C=[N+](COCCCCOC[N+]2=CN(CCCCC)C=C2)C=C1.[Cl-].[Cl-],2.53,53.2,2.55,64,22.9,cationic gemini
10.1111/cbdd.12236,34,N1(CCCCCC)C=[N+](COCCCCOC[N+]2=CN(CCCCCC)C=C2)C=C1.[Cl-].[Cl-],2.64,51.1,2.51,66,23.3,cationic gemini
10.1111/cbdd.12236,35,N1(CCCCCCC)C=[N+](COCCCCOC[N+]2=CN(CCCCCCC)C=C2)C=C1.[Cl-].[Cl-],2.71,48.9,2.47,68,23.9,cationic gemini
10.1111/cbdd.12236,36,N1(CCCCCCCC)C=[N+](COCCCCOC[N+]2=CN(CCCCCCCC)C=C2)C=C1.[Cl-].[Cl-],2.79,46.7,2.43,70,24.5,cationic gemini
10.1111/cbdd.12236,37,N1(CCCCCCCCC)C=[N+](COCCCCOC[N+]2=CN(CCCCCCCCC)C=C2)C=C1.[Cl-].[Cl-],2.88,45.2,2.39,72,24.9,cationic gemini
10.1111/cbdd.12236,38,N1(CCCCCCCCCC)C=[N+](COCCCCOC[N+]2=CN(CCCCCCCCCC)C=C2)C=C1.[Cl-].[Cl-],3,43,2.35,74,25.4,cationic gemini
10.1111/cbdd.12236,39,N1(CCCCCCCCCCC)C=[N+](COCCCCOC[N+]2=CN(CCCCCCCCCCC)C=C2)C=C1.[Cl-].[Cl-],3.13,41.2,2.31,76,26.2,cationic gemini
10.1111/cbdd.12236,40,N1(CCCCCCCCCCCC)C=[N+](COCCCCOC[N+]2=CN(CCCCCCCCCCCC)C=C2)C=C1.[Cl-].[Cl-],3.22,39.2,2.27,78,26.9,cationic gemini
10.1111/cbdd.12236,41,N1(CCCCCCCCCCCCCC)C=[N+](COCCCCOC[N+]2=CN(CCCCCCCCCCCCCC)C=C2)C=C1.[Cl-].[Cl-],3.4,35.2,2.19,82,28,cationic gemini
