identifier,pC20,AW_ST_CMC,SMILES,source_doi,reference_doi,Temp_Celsius,InChI,Molecular_Weight,CMC,pCMC,Gamma_max,Area_min,C20
MAL-C6,2.5,39.8,CCCCCCNC(=O)[C@H](O)[C@@H](O)[C@H](O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@H](O)CO,10.1006/jcis.1996.0054,,25.0,"InChI=1S/C18H35NO11/c1-2-3-4-5-6-19-17(28)14(26)13(25)16(9(22)7-20)30-18-15(27)12(24)11(23)10(8-21)29-18/h9-16,18,20-27H,2-8H2,1H3,(H,19,28)/t9-,10-,11-,12+,13-,14-,15-,16-,18-/m1/s1",441.4740000000001,0.083,1.080921907623926,2.53e-06,0.66,0.0031622776601683794
MAL-C8,3.1,40.2,CCCCCCCCNC(=O)[C@H](O)[C@@H](O)[C@H](O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@H](O)CO,10.1006/jcis.1996.0054,,25.0,"InChI=1S/C20H39NO11/c1-2-3-4-5-6-7-8-21-19(30)16(28)15(27)18(11(24)9-22)32-20-17(29)14(26)13(25)12(10-23)31-20/h11-18,20,22-29H,2-10H2,1H3,(H,21,30)/t11-,12-,13-,14+,15-,16-,17-,18-,20-/m1/s1",469.52800000000013,0.0057,2.2441251443275085,4.26e-06,0.39,0.0007943282347242813
MAL-C10,3.6,38.1,CCCCCCCCCCNC(=O)[C@H](O)[C@@H](O)[C@H](O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@H](O)CO,10.1006/jcis.1996.0054,,25.0,"InChI=1S/C22H43NO11/c1-2-3-4-5-6-7-8-9-10-23-21(32)18(30)17(29)20(13(26)11-24)34-22-19(31)16(28)15(27)14(12-25)33-22/h13-20,22,24-31H,2-12H2,1H3,(H,23,32)/t13-,14-,15-,16+,17-,18-,19-,20-,22-/m1/s1",497.5820000000002,0.0013,2.886056647693163,4.57e-06,0.36,0.00025118864315095795
MAL-C12,4.4,38.4,CCCCCCCCCCCCNC(=O)[C@H](O)[C@@H](O)[C@H](O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@H](O)CO,10.1006/jcis.1996.0054,,25.0,"InChI=1S/C24H47NO11/c1-2-3-4-5-6-7-8-9-10-11-12-25-23(34)20(32)19(31)22(15(28)13-26)36-24-21(33)18(30)17(29)16(14-27)35-24/h15-22,24,26-33H,2-14H2,1H3,(H,25,34)/t15-,16-,17-,18+,19-,20-,21-,22-,24-/m1/s1",525.6360000000003,0.00031,3.5086383061657274,3.83e-06,0.43,3.9810717055349695e-05
DEX9-C12,4.0,28.2,CCCCCCCCCCCCNC(=O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)COC1O[C@H](COC2O[C@H](COC3O[C@H](COC4O[C@H](COC5O[C@H](COC6O[C@H](COC7O[C@H](COC8O[C@H](CO)[C@@H](O)[C@H](O)[C@H]8O)[C@@H](O)[C@H](O)[C@H]7O)[C@@H](O)[C@H](O)[C@H]6O)[C@@H](O)[C@H](O)[C@H]5O)[C@@H](O)[C@H](O)[C@H]4O)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@H](O)[C@H]1O,10.1006/jcis.1996.0054,,25.0,"InChI=1S/C66H117NO46/c1-2-3-4-5-6-7-8-9-10-11-12-67-58(97)49(88)40(79)31(70)22(69)14-98-59-51(90)42(81)33(72)24(107-59)16-100-61-53(92)44(83)35(74)26(109-61)18-102-63-55(94)46(85)37(76)28(111-63)20-104-65-57(96)48(87)39(78)30(113-65)21-105-66-56(95)47(86)38(77)29(112-66)19-103-64-54(93)45(84)36(75)27(110-64)17-101-62-52(91)43(82)34(73)25(108-62)15-99-60-50(89)41(80)32(71)23(13-68)106-60/h22-57,59-66,68-96H,2-21H2,1H3,(H,67,97)/t22-,23-,24-,25-,26-,27-,28-,29-,30-,31-,32-,33-,34-,35-,36-,37-,38-,39-,40+,41+,42+,43+,44+,45+,46+,47+,48+,49-,50-,51-,52-,53-,54-,55-,56-,57-,59?,60?,61?,62?,63?,64?,65?,66?/m1/s1",1660.623000000002,0.00033,3.4814860601221125,2.75e-06,0.6,0.0001
