identifier,Temp_Celsius,source_doi,reference_doi,SMILES,CMC,pCMC,Molecular_Weight,InChI
C4FC11-6-C11C4F,25.0,10.1016/j.jcis.2005.01.108,,C[N+](C)(CCCCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CCCCCC[N+](C)(C)CCCCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Br-].[Br-],7.199999999999999e-05,4.142667503568732,1078.77,"InChI=1S/C40H68F18N2.2BrH/c1-59(2,29-23-17-13-9-5-7-11-15-21-27-33(41,42)35(45,46)37(49,50)39(53,54)55)31-25-19-20-26-32-60(3,4)30-24-18-14-10-6-8-12-16-22-28-34(43,44)36(47,48)38(51,52)40(56,57)58;;/h5-32H2,1-4H3;2*1H/q+2;;/p-2"
C4FC11-12-C11C4F,25.0,10.1016/j.jcis.2005.01.108,,C[N+](C)(CCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CCCCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Br-].[Br-],4.9000000000000005e-05,4.309803919971486,1162.9319999999998,"InChI=1S/C46H80F18N2.2BrH/c1-65(2,37-31-25-19-13-7-9-15-21-27-33-39(47,48)41(51,52)43(55,56)45(59,60)61)35-29-23-17-11-5-6-12-18-24-30-36-66(3,4)38-32-26-20-14-8-10-16-22-28-34-40(49,50)42(53,54)44(57,58)46(62,63)64;;/h5-38H2,1-4H3;2*1H/q+2;;/p-2"
C5FC10-6-C10C5F,25.0,10.1016/j.jcis.2005.01.108,,C[N+](C)(CCCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CCCCCC[N+](C)(C)CCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Br-].[Br-],5.9999999999999995e-05,4.221848749616356,1080.5950000000003,"InChI=1S/C35H54F22N2.2BrH/c1-58(2,22-16-10-8-6-5-7-9-14-20-26(36,37)28(40,41)30(44,45)32(48,49)34(52,53)54)23-17-11-12-18-24-59(3,4)25-19-13-15-21-27(38,39)29(42,43)31(46,47)33(50,51)35(55,56)57;;/h5-25H2,1-4H3;2*1H/q+2;;/p-2"
C5FC10-12-C10C5F,25.0,10.1016/j.jcis.2005.01.108,,C[N+](C)(CCCCCCCCCCCC[N+](C)(C)CCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CCCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Br-].[Br-],5.4e-05,4.267606240177032,1164.757,"InChI=1S/C41H66F22N2.2BrH/c1-64(2,29-23-18-14-10-7-11-15-20-26-32(42,43)34(46,47)36(50,51)38(54,55)40(58,59)60)28-22-16-12-8-5-6-9-13-17-24-30-65(3,4)31-25-19-21-27-33(44,45)35(48,49)37(52,53)39(56,57)41(61,62)63;;/h5-31H2,1-4H3;2*1H/q+2;;/p-2"
C6FC8-6-C8C6F,25.0,10.1016/j.jcis.2005.01.108,,C[N+](C)(CCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CCCCCC[N+](C)(C)CCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Br-].[Br-],4.9000000000000005e-05,4.309803919971486,1194.636,"InChI=1S/C38H56F26N2.2BrH/c1-65(2,23-17-11-7-5-9-15-21-27(39,40)29(43,44)31(47,48)33(51,52)35(55,56)37(59,60)61)25-19-13-14-20-26-66(3,4)24-18-12-8-6-10-16-22-28(41,42)30(45,46)32(49,50)34(53,54)36(57,58)38(62,63)64;;/h5-26H2,1-4H3;2*1H/q+2;;/p-2"
C8FC6-6-C6C8F,25.0,10.1016/j.jcis.2005.01.108,,C[N+](C)(CCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CCCCCC[N+](C)(C)CCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Br-].[Br-],2.3e-05,4.638272163982407,1338.5559999999996,"InChI=1S/C38H48F34N2.2BrH/c1-73(2,19-13-7-5-11-17-23(39,40)25(43,44)27(47,48)29(51,52)31(55,56)33(59,60)35(63,64)37(67,68)69)21-15-9-10-16-22-74(3,4)20-14-8-6-12-18-24(41,42)26(45,46)28(49,50)30(53,54)32(57,58)34(61,62)36(65,66)38(70,71)72;;/h5-22H2,1-4H3;2*1H/q+2;;/p-2"
C4FC11TAB,25.0,10.1016/j.jcis.2005.01.108,,C[N+](C)(C)CCCCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Br-],0.00158,2.8013429130455774,512.3390000000004,"InChI=1S/C18H31F9N.BrH/c1-28(2,3)14-12-10-8-6-4-5-7-9-11-13-15(19,20)16(21,22)17(23,24)18(25,26)27;/h4-14H2,1-3H3;1H/q+1;/p-1"
C5FC10TAB,25.0,10.1016/j.jcis.2005.01.108,,C[N+](C)(C)CCCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Br-],0.0014299999999999998,2.844663962534938,548.3190000000004,"InChI=1S/C18H29F11N.BrH/c1-30(2,3)13-11-9-7-5-4-6-8-10-12-14(19,20)15(21,22)16(23,24)17(25,26)18(27,28)29;/h4-13H2,1-3H3;1H/q+1;/p-1"
C6FC8TAB,25.0,10.1016/j.jcis.2005.01.108,,C[N+](C)(C)CCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Br-],0.0010400000000000001,2.9829666607012197,570.2720000000004,"InChI=1S/C17H25F13N.BrH/c1-31(2,3)11-9-7-5-4-6-8-10-12(18,19)13(20,21)14(22,23)15(24,25)16(26,27)17(28,29)30;/h4-11H2,1-3H3;1H/q+1;/p-1"
C8FC6TAB,25.0,10.1016/j.jcis.2005.01.108,,C[N+](C)(C)CCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Br-],0.00041999999999999996,3.3767507096020997,642.2320000000001,"InChI=1S/C17H21F17N.BrH/c1-35(2,3)9-7-5-4-6-8-10(18,19)11(20,21)12(22,23)13(24,25)14(26,27)15(28,29)16(30,31)17(32,33)34;/h4-9H2,1-3H3;1H/q+1;/p-1"
