identifier,Temp_Celsius,CMC surface tension/(mM·L−1),pC20,Pi_CMC,source_doi,reference_doi,SMILES,CMC,Gamma_max,Area_min,pCMC,C20,Molecular_Weight,InChI
C10Dim,25,2.438,4.77,39.7,10.1016/j.molliq.2015.03.043,,CCCCCCCCCC[N+](C)(C)CCC/N=C/c1ccc(OC)c(OC)c1.[Br-],0.002438,7.93e-06,2.094,2.612966298717637,1.698243652461746e-05,471.5240000000001,"InChI=1S/C24H43N2O2.BrH/c1-6-7-8-9-10-11-12-13-18-26(2,3)19-14-17-25-21-22-15-16-23(27-4)24(20-22)28-5;/h15-16,20-21H,6-14,17-19H2,1-5H3;1H/q+1;/p-1/b25-21+;"
C10Dim,40,1.204,5.03,38.07,10.1016/j.molliq.2015.03.043,,CCCCCCCCCC[N+](C)(C)CCC/N=C/c1ccc(OC)c(OC)c1.[Br-],0.001204,7.0300000000000005e-06,2.3601,2.9193735130781944,9.332543007969906e-06,471.5240000000001,"InChI=1S/C24H43N2O2.BrH/c1-6-7-8-9-10-11-12-13-18-26(2,3)19-14-17-25-21-22-15-16-23(27-4)24(20-22)28-5;/h15-16,20-21H,6-14,17-19H2,1-5H3;1H/q+1;/p-1/b25-21+;"
C10Dim,60,0.507,5.16,35.29,10.1016/j.molliq.2015.03.043,,CCCCCCCCCC[N+](C)(C)CCC/N=C/c1ccc(OC)c(OC)c1.[Br-],0.000507,6.2e-06,2.6781,3.294992040666664,6.9183097091893625e-06,471.5240000000001,"InChI=1S/C24H43N2O2.BrH/c1-6-7-8-9-10-11-12-13-18-26(2,3)19-14-17-25-21-22-15-16-23(27-4)24(20-22)28-5;/h15-16,20-21H,6-14,17-19H2,1-5H3;1H/q+1;/p-1/b25-21+;"
C12Dim,25,0.893,5.49,40.71,10.1016/j.molliq.2015.03.043,,CCCCCCCCCCCC[N+](C)(C)CCC/N=C/c1ccc(OC)c(OC)c1.[Br-],0.000893,7.37e-06,2.2513,3.0491485411114536,3.235936569296281e-06,499.5780000000001,"InChI=1S/C26H47N2O2.BrH/c1-6-7-8-9-10-11-12-13-14-15-20-28(2,3)21-16-19-27-23-24-17-18-25(29-4)26(22-24)30-5;/h17-18,22-23H,6-16,19-21H2,1-5H3;1H/q+1;/p-1/b27-23+;"
C12Dim,40,0.453,5.64,38.79,10.1016/j.molliq.2015.03.043,,CCCCCCCCCCCC[N+](C)(C)CCC/N=C/c1ccc(OC)c(OC)c1.[Br-],0.000453,6.36e-06,2.6094,3.343901797987168,2.2908676527677747e-06,499.5780000000001,"InChI=1S/C26H47N2O2.BrH/c1-6-7-8-9-10-11-12-13-14-15-20-28(2,3)21-16-19-27-23-24-17-18-25(29-4)26(22-24)30-5;/h17-18,22-23H,6-16,19-21H2,1-5H3;1H/q+1;/p-1/b27-23+;"
C12Dim,60,0.221,5.89,36.61,10.1016/j.molliq.2015.03.043,,CCCCCCCCCCCC[N+](C)(C)CCC/N=C/c1ccc(OC)c(OC)c1.[Br-],0.000221,5.73e-06,2.8971,3.6556077263148894,1.288249551693135e-06,499.5780000000001,"InChI=1S/C26H47N2O2.BrH/c1-6-7-8-9-10-11-12-13-14-15-20-28(2,3)21-16-19-27-23-24-17-18-25(29-4)26(22-24)30-5;/h17-18,22-23H,6-16,19-21H2,1-5H3;1H/q+1;/p-1/b27-23+;"
C16Dim,25,0.096,5.9,32.16,10.1016/j.molliq.2015.03.043,,CCCCCCCCCCCCCCCC[N+](C)(C)CCC/N=C/c1ccc(OC)c(OC)c1.[Br-],9.6e-05,6.570000000000001e-06,2.5263,4.017728766960432,1.2589254117941661e-06,555.6860000000003,"InChI=1S/C30H55N2O2.BrH/c1-6-7-8-9-10-11-12-13-14-15-16-17-18-19-24-32(2,3)25-20-23-31-27-28-21-22-29(33-4)30(26-28)34-5;/h21-22,26-27H,6-20,23-25H2,1-5H3;1H/q+1;/p-1/b31-27+;"
C16Dim,40,0.069,6.13,31.62,10.1016/j.molliq.2015.03.043,,CCCCCCCCCCCCCCCC[N+](C)(C)CCC/N=C/c1ccc(OC)c(OC)c1.[Br-],6.900000000000001e-05,5.7199999999999994e-06,2.9002,4.161150909262744,7.413102413009177e-07,555.6860000000003,"InChI=1S/C30H55N2O2.BrH/c1-6-7-8-9-10-11-12-13-14-15-16-17-18-19-24-32(2,3)25-20-23-31-27-28-21-22-29(33-4)30(26-28)34-5;/h21-22,26-27H,6-20,23-25H2,1-5H3;1H/q+1;/p-1/b31-27+;"
C16Dim,60,0.0379,6.53,31.45,10.1016/j.molliq.2015.03.043,,CCCCCCCCCCCCCCCC[N+](C)(C)CCC/N=C/c1ccc(OC)c(OC)c1.[Br-],3.7900000000000006e-05,4.7300000000000005e-06,3.5132999999999996,4.421360790031928,2.951209226666384e-07,555.6860000000003,"InChI=1S/C30H55N2O2.BrH/c1-6-7-8-9-10-11-12-13-14-15-16-17-18-19-24-32(2,3)25-20-23-31-27-28-21-22-29(33-4)30(26-28)34-5;/h21-22,26-27H,6-20,23-25H2,1-5H3;1H/q+1;/p-1/b31-27+;"
