identifier,Temp_Celsius,CMC,AW_ST_CMC,source_doi,reference_doi,SMILES,InChI,Molecular_Weight,pCMC
"P,[i-OPE20] (HC3)",50,0.0152,28.4,10.1016/S0927-7757(00)00475-1,,CC(C)CCCCCc1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)cc1,"InChI=1S/C54H102O21/c1-52(2)6-4-3-5-7-53-8-10-54(11-9-53)75-51-50-74-49-48-73-47-46-72-45-44-71-43-42-70-41-40-69-39-38-68-37-36-67-35-34-66-33-32-65-31-30-64-29-28-63-27-26-62-25-24-61-23-22-60-21-20-59-19-18-58-17-16-57-15-14-56-13-12-55/h8-11,52,55H,3-7,12-51H2,1-2H3",1087.3889999999994,1.8181564120552274
"P,[i-OPE20] (HC3)",60,0.0143,27.6,10.1016/S0927-7757(00)00475-1,,CC(C)CCCCCc1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)cc1,"InChI=1S/C54H102O21/c1-52(2)6-4-3-5-7-53-8-10-54(11-9-53)75-51-50-74-49-48-73-47-46-72-45-44-71-43-42-70-41-40-69-39-38-68-37-36-67-35-34-66-33-32-65-31-30-64-29-28-63-27-26-62-25-24-61-23-22-60-21-20-59-19-18-58-17-16-57-15-14-56-13-12-55/h8-11,52,55H,3-7,12-51H2,1-2H3",1087.3889999999994,1.8446639625349381
"P,[i-OPE10] PO4H2 (HC4)",30,0.017,26.5,10.1016/S0927-7757(00)00475-1,,CC(C)CCCCCc1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOP(=O)(O)O)cc1,"InChI=1S/C34H63O14P/c1-32(2)6-4-3-5-7-33-8-10-34(11-9-33)47-30-28-45-26-24-43-22-20-41-18-16-39-14-12-38-13-15-40-17-19-42-21-23-44-25-27-46-29-31-48-49(35,36)37/h8-11,32H,3-7,12-31H2,1-2H3,(H2,35,36,37)",726.8380000000005,1.7695510786217261
"P,[i-OPE10] PO4H2 (HC4)",40,0.016,26.1,10.1016/S0927-7757(00)00475-1,,CC(C)CCCCCc1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOP(=O)(O)O)cc1,"InChI=1S/C34H63O14P/c1-32(2)6-4-3-5-7-33-8-10-34(11-9-33)47-30-28-45-26-24-43-22-20-41-18-16-39-14-12-38-13-15-40-17-19-42-21-23-44-25-27-46-29-31-48-49(35,36)37/h8-11,32H,3-7,12-31H2,1-2H3,(H2,35,36,37)",726.8380000000005,1.7958800173440752
"P,[i-OPE10] PO4H2 (HC4)",50,0.014,25.5,10.1016/S0927-7757(00)00475-1,,CC(C)CCCCCc1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOP(=O)(O)O)cc1,"InChI=1S/C34H63O14P/c1-32(2)6-4-3-5-7-33-8-10-34(11-9-33)47-30-28-45-26-24-43-22-20-41-18-16-39-14-12-38-13-15-40-17-19-42-21-23-44-25-27-46-29-31-48-49(35,36)37/h8-11,32H,3-7,12-31H2,1-2H3,(H2,35,36,37)",726.8380000000005,1.853871964321762
"P,[i-OPE10] PO4H2 (HC4)",60,0.012,25.2,10.1016/S0927-7757(00)00475-1,,CC(C)CCCCCc1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOP(=O)(O)O)cc1,"InChI=1S/C34H63O14P/c1-32(2)6-4-3-5-7-33-8-10-34(11-9-33)47-30-28-45-26-24-43-22-20-41-18-16-39-14-12-38-13-15-40-17-19-42-21-23-44-25-27-46-29-31-48-49(35,36)37/h8-11,32H,3-7,12-31H2,1-2H3,(H2,35,36,37)",726.8380000000005,1.9208187539523751
"P,[i-OPE15] PO4H2 (HC5)",30,0.018,27.5,10.1016/S0927-7757(00)00475-1,,CC(C)CCCCCc1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOP(=O)(O)O)cc1,"InChI=1S/C44H83O19P/c1-42(2)6-4-3-5-7-43-8-10-44(11-9-43)62-40-38-60-36-34-58-32-30-56-28-26-54-24-22-52-20-18-50-16-14-48-12-13-49-15-17-51-19-21-53-23-25-55-27-29-57-31-33-59-35-37-61-39-41-63-64(45,46)47/h8-11,42H,3-7,12-41H2,1-2H3,(H2,45,46,47)",947.103,1.744727494896694
"P,[i-OPE15] PO4H2 (HC5)",40,0.017,27.0,10.1016/S0927-7757(00)00475-1,,CC(C)CCCCCc1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOP(=O)(O)O)cc1,"InChI=1S/C44H83O19P/c1-42(2)6-4-3-5-7-43-8-10-44(11-9-43)62-40-38-60-36-34-58-32-30-56-28-26-54-24-22-52-20-18-50-16-14-48-12-13-49-15-17-51-19-21-53-23-25-55-27-29-57-31-33-59-35-37-61-39-41-63-64(45,46)47/h8-11,42H,3-7,12-41H2,1-2H3,(H2,45,46,47)",947.103,1.7695510786217261
"P,[i-OPE15] PO4H2 (HC5)",50,0.015,26.8,10.1016/S0927-7757(00)00475-1,,CC(C)CCCCCc1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOP(=O)(O)O)cc1,"InChI=1S/C44H83O19P/c1-42(2)6-4-3-5-7-43-8-10-44(11-9-43)62-40-38-60-36-34-58-32-30-56-28-26-54-24-22-52-20-18-50-16-14-48-12-13-49-15-17-51-19-21-53-23-25-55-27-29-57-31-33-59-35-37-61-39-41-63-64(45,46)47/h8-11,42H,3-7,12-41H2,1-2H3,(H2,45,46,47)",947.103,1.8239087409443189
"P,[i-OPE15] PO4H2 (HC5)",60,0.013,26.3,10.1016/S0927-7757(00)00475-1,,CC(C)CCCCCc1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOP(=O)(O)O)cc1,"InChI=1S/C44H83O19P/c1-42(2)6-4-3-5-7-43-8-10-44(11-9-43)62-40-38-60-36-34-58-32-30-56-28-26-54-24-22-52-20-18-50-16-14-48-12-13-49-15-17-51-19-21-53-23-25-55-27-29-57-31-33-59-35-37-61-39-41-63-64(45,46)47/h8-11,42H,3-7,12-41H2,1-2H3,(H2,45,46,47)",947.103,1.8860566476931633
"P,[i-OPE20] PO4H2 (HC6)",30,0.019,28.9,10.1016/S0927-7757(00)00475-1,,CC(C)CCCCCc1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOP(=O)(O)O)cc1,"InChI=1S/C54H103O24P/c1-52(2)6-4-3-5-7-53-8-10-54(11-9-53)77-50-48-75-46-44-73-42-40-71-38-36-69-34-32-67-30-28-65-26-24-63-22-20-61-18-16-59-14-12-58-13-15-60-17-19-62-21-23-64-25-27-66-29-31-68-33-35-70-37-39-72-41-43-74-45-47-76-49-51-78-79(55,56)57/h8-11,52H,3-7,12-51H2,1-2H3,(H2,55,56,57)",1167.3679999999995,1.7212463990471711
"P,[i-OPE20] PO4H2 (HC6)",40,0.018,27.8,10.1016/S0927-7757(00)00475-1,,CC(C)CCCCCc1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOP(=O)(O)O)cc1,"InChI=1S/C54H103O24P/c1-52(2)6-4-3-5-7-53-8-10-54(11-9-53)77-50-48-75-46-44-73-42-40-71-38-36-69-34-32-67-30-28-65-26-24-63-22-20-61-18-16-59-14-12-58-13-15-60-17-19-62-21-23-64-25-27-66-29-31-68-33-35-70-37-39-72-41-43-74-45-47-76-49-51-78-79(55,56)57/h8-11,52H,3-7,12-51H2,1-2H3,(H2,55,56,57)",1167.3679999999995,1.744727494896694
"P,[i-OPE20] PO4H2 (HC6)",50,0.016,27.5,10.1016/S0927-7757(00)00475-1,,CC(C)CCCCCc1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOP(=O)(O)O)cc1,"InChI=1S/C54H103O24P/c1-52(2)6-4-3-5-7-53-8-10-54(11-9-53)77-50-48-75-46-44-73-42-40-71-38-36-69-34-32-67-30-28-65-26-24-63-22-20-61-18-16-59-14-12-58-13-15-60-17-19-62-21-23-64-25-27-66-29-31-68-33-35-70-37-39-72-41-43-74-45-47-76-49-51-78-79(55,56)57/h8-11,52H,3-7,12-51H2,1-2H3,(H2,55,56,57)",1167.3679999999995,1.7958800173440752
"P,[i-OPE20] PO4H2 (HC6)",60,0.015,26.9,10.1016/S0927-7757(00)00475-1,,CC(C)CCCCCc1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOP(=O)(O)O)cc1,"InChI=1S/C54H103O24P/c1-52(2)6-4-3-5-7-53-8-10-54(11-9-53)77-50-48-75-46-44-73-42-40-71-38-36-69-34-32-67-30-28-65-26-24-63-22-20-61-18-16-59-14-12-58-13-15-60-17-19-62-21-23-64-25-27-66-29-31-68-33-35-70-37-39-72-41-43-74-45-47-76-49-51-78-79(55,56)57/h8-11,52H,3-7,12-51H2,1-2H3,(H2,55,56,57)",1167.3679999999995,1.8239087409443189
PFOAE2 (FC),30,0.046,13.0,10.1016/S0927-7757(00)00475-1,,O=C(NCCOCCO)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"InChI=1S/C12H10F15NO3/c13-6(14,5(30)28-1-3-31-4-2-29)7(15,16)8(17,18)9(19,20)10(21,22)11(23,24)12(25,26)27/h29H,1-4H2,(H,28,30)",501.1860000000002,1.337242168318426
PFOAE2 (FC),40,0.04,12.5,10.1016/S0927-7757(00)00475-1,,O=C(NCCOCCO)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"InChI=1S/C12H10F15NO3/c13-6(14,5(30)28-1-3-31-4-2-29)7(15,16)8(17,18)9(19,20)10(21,22)11(23,24)12(25,26)27/h29H,1-4H2,(H,28,30)",501.1860000000002,1.3979400086720375
PFOAE2 (FC),50,0.035,12.3,10.1016/S0927-7757(00)00475-1,,O=C(NCCOCCO)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"InChI=1S/C12H10F15NO3/c13-6(14,5(30)28-1-3-31-4-2-29)7(15,16)8(17,18)9(19,20)10(21,22)11(23,24)12(25,26)27/h29H,1-4H2,(H,28,30)",501.1860000000002,1.4559319556497243
PFOAE2 (FC),60,0.033,12.0,10.1016/S0927-7757(00)00475-1,,O=C(NCCOCCO)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"InChI=1S/C12H10F15NO3/c13-6(14,5(30)28-1-3-31-4-2-29)7(15,16)8(17,18)9(19,20)10(21,22)11(23,24)12(25,26)27/h29H,1-4H2,(H,28,30)",501.1860000000002,1.4814860601221125
