Surfactant,SMILES
12Q1COOH,CCCCCCCCCCCC[N+](C)(C)CC(=O)O.[Br-]
12Q2OH,CCCCCCCCCCCC[N+](C)(C)CCO.[Br-]
12Q1COOH 1:1 12Q2OH,CCCCCCCCCCCC[N+](C)(C)CC(=O)O.[Br-].CCCCCCCCCCCC[N+](C)(C)CCO.[Br-]
12Q2OCO1Q12,CCCCCCCCCCCC[N+](C)(C)CCOC(=O)CC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-]
