Compound,T °C,CMC M × 10−4,πcmc mN−1m−1,Pc20 M/l,Γmax × 10−11 mol.cm−2,Amin A°,source_doi,reference_doi,SMILES,method
G2IL,20,19.95,39,5.1,7.69,251.7,10.1016/j.molliq.2015.05.054,,CCCCCCCCCCCC[NH+](CCCCCCCCCCCC)CC[NH+](CCCCCCCCCCCC)CCCCCCCCCCCC.[Br-].[Br-],tensiometry
G2IL,40,15.84,40,5.2,6.92,249.6,10.1016/j.molliq.2015.05.054,,CCCCCCCCCCCC[NH+](CCCCCCCCCCCC)CC[NH+](CCCCCCCCCCCC)CCCCCCCCCCCC.[Br-].[Br-],tensiometry
G2IL,60,14.12,41,5.3,6.51,254.9,10.1016/j.molliq.2015.05.054,,CCCCCCCCCCCC[NH+](CCCCCCCCCCCC)CC[NH+](CCCCCCCCCCCC)CCCCCCCCCCCC.[Br-].[Br-],tensiometry
G3IL,20,15.48,40,5.1,10.12,147.3,10.1016/j.molliq.2015.05.054,,CCCCCCCCCCCC[NH+](CCCCCCCCCCCC)CCC[NH+](CCCCCCCCCCCC)CCCCCCCCCCCC.[Br-].[Br-],tensiometry
G3IL,40,12.58,41,5.2,8.86,187.2,10.1016/j.molliq.2015.05.054,,CCCCCCCCCCCC[NH+](CCCCCCCCCCCC)CCC[NH+](CCCCCCCCCCCC)CCCCCCCCCCCC.[Br-].[Br-],tensiometry
G3IL,60,10.0,42,5.3,8.07,205.6,10.1016/j.molliq.2015.05.054,,CCCCCCCCCCCC[NH+](CCCCCCCCCCCC)CCC[NH+](CCCCCCCCCCCC)CCCCCCCCCCCC.[Br-].[Br-],tensiometry
G6IL,20,14.45,42,6.9,11.31,146.8,10.1016/j.molliq.2015.05.054,,CCCCCCCCCCCC[NH+](CCCCCCCCCCCC)CCCCCC[NH+](CCCCCCCCCCCC)CCCCCCCCCCCC.[Br-].[Br-],tensiometry
G6IL,40,10.0,44,7.1,9.86,186.2,10.1016/j.molliq.2015.05.054,,CCCCCCCCCCCC[NH+](CCCCCCCCCCCC)CCCCCC[NH+](CCCCCCCCCCCC)CCCCCCCCCCCC.[Br-].[Br-],tensiometry
G6IL,60,9.4,45,7.2,7.81,212.4,10.1016/j.molliq.2015.05.054,,CCCCCCCCCCCC[NH+](CCCCCCCCCCCC)CCCCCC[NH+](CCCCCCCCCCCC)CCCCCCCCCCCC.[Br-].[Br-],tensiometry
