Surfactants,CMC (mM),CMC st err (mM),method,C20 (mM),CMC/C20,γcmc (mN/m),Γmax (mol/m2),Amin (A ̊ 2),βcb,Ref.,Temp_Celsius,source_doi,reference_doi,SMILES
LGDMAC,1.22,0.03,tensiometry,0.27,4.52,40,2.07E-06,80,0.43,,25,10.1007/s11743-013-1436-6,,CCCCCCCCCCCC(=O)NCCC[N+](C)(C)CC(O)CO.[Cl-]
CTAC,1.3,,tensiometry,0.8,1.63,41,3.07E-06,54,0.63,[22],25,10.1007/s11743-013-1436-6,10.1016/j.tca.2004.11.009,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Cl-]
CTAB,1,,tensiometry,0.4,2.5,35.3,3.21E-06,51.7,0.84,[22],25,10.1007/s11743-013-1436-6,10.1016/j.tca.2004.11.009,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-]
GCMA,0.5,,tensiometry,0.2,2.5,41,,,,[3],25,10.1007/s11743-013-1436-6,10.1016/j.tca.2004.11.009,C[N+](C)(CC(CO)O)CCCCCCCCCCC.[Cl-]
LGDMAC,1.32,0.05,conductometry,,,,,,,,25,10.1007/s11743-013-1436-6,,CCCCCCCCCCCC(=O)NCCC[N+](C)(C)CC(O)CO.[Cl-]
