Surfactant,CMC (mM),method,Cideal (mM),α,I1/I3,Nagg,Ksv (10^-3 L/mol),ΔGmo (kJ/mol),ΔGads (kJ/mol),ΔGmin (kJ/mol),Γmax 10^6 (mol/m2),Amin 10^20 (m2/mol),∏cmc (mN/m),source_doi,reference_doi,SMILES,Temp_Celsius
16-10-16+CTPB,0.043,tensiometry,,,,,,,,,,1.62,26,10.1016/j.colsurfa.2014.03.037,,CCCCCCCCCCCCCCCC[N+](C)(C)CCCCCCCCCC[N+](C)(C)CCCCCCCCCCCCCCCC.[Br-].[Br-].CCCCCCCCCCCCCCCC[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,26.85
16-10-16+CDEEAB,0.051,tensiometry,,,,,,,,,,2.23,29,10.1016/j.colsurfa.2014.03.037,,CC[N+](CC)(CCCCCCCCCCCCCCCC)CCO.[Br-].CCCCCCCCCCCCCCCC[N+](C)(C)CCCCCCCCCC[N+](C)(C)CCCCCCCCCCCCCCCC.[Br-].[Br-],26.85
16-10-16+TDEEAB,0.052,tensiometry,,,,,,,,,,1.12,22,10.1016/j.colsurfa.2014.03.037,,CCCCCCCCCCCCCCCC[N+](C)(C)CCCCCCCCCC[N+](C)(C)CCCCCCCCCCCCCCCC.[Br-].[Br-].CC[N+](CC)(CCCCCCCCCCCCCC)CCO.[Br-],26.85
16-12-16+CPB,0.042,tensiometry,,,,,,,,,,3.59,18,10.1016/j.colsurfa.2014.03.037,,CCCCCCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCCCCCC.[Br-].[Br-].CCCCCCCCCCCCCCCC[N+]1=CC=CC=C1.[Br-],26.85
16-12-16+CTPB,0.038,tensiometry,,,,,,,,,,1.8,22,10.1016/j.colsurfa.2014.03.037,,CCCCCCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCCCCCC.[Br-].[Br-].CCCCCCCCCCCCCCCC[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],26.85
16-12-16+CDEEAB,0.04,tensiometry,,,,,,,,,,2.57,21,10.1016/j.colsurfa.2014.03.037,,CCCCCCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCCCCCC.[Br-].[Br-].CC[N+](CC)(CCCCCCCCCCCCCCCC)CCO.[Br-],26.85
16-12-16+TDEEAB,0.041,tensiometry,,,,,,,,,,2.07,11,10.1016/j.colsurfa.2014.03.037,,CCCCCCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCCCCCC.[Br-].[Br-].CC[N+](CC)(CCCCCCCCCCCCCC)CCO.[Br-],26.85
CDEEAB,1,fluorimetry,,,1.5,53,6.8,,,,,,,10.1016/j.colsurfa.2014.03.037,,CC[N+](CC)(CCCCCCCCCCCCCCCC)CCO.[Br-],26.85
TDEEAB,5.8,fluorimetry,,,1.48,39,5.2,,,,,,,10.1016/j.colsurfa.2014.03.037,,CC[N+](CC)(CCCCCCCCCCCCCC)CCO.[Br-],26.85
C16-10-C16,0.032,fluorimetry,,,1.46,14,4.2,,,,,,,10.1016/j.colsurfa.2014.03.037,,CCCCCCCCCCCCCCCC[N+](C)(C)CCCCCCCCCC[N+](C)(C)CCCCCCCCCCCCCCCC.[Br-].[Br-],26.85
C16-12-C16,0.026,fluorimetry,,,1.53,18,5.2,,,,,,,10.1016/j.colsurfa.2014.03.037,,CCCCCCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCCCCCC.[Br-].[Br-],26.85
16-10-16+CPB,0.042,fluorimetry,,,1.6,,,,,,,,,10.1016/j.colsurfa.2014.03.037,,CCCCCCCCCCCCCCCC[N+](C)(C)CCCCCCCCCC[N+](C)(C)CCCCCCCCCCCCCCCC.[Br-].[Br-].CCCCCCCCCCCCCCCC[N+]1=CC=CC=C1.[Br-],26.85
16-10-16+CTPB,,fluorimetry,,,,,,,,,,,,10.1016/j.colsurfa.2014.03.037,,CCCCCCCCCCCCCCCC[N+](C)(C)CCCCCCCCCC[N+](C)(C)CCCCCCCCCCCCCCCC.[Br-].[Br-].CCCCCCCCCCCCCCCC[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,26.85
16-10-16+CDEEAB,0.051,fluorimetry,,,1.49,11,4.4,,,,,,,10.1016/j.colsurfa.2014.03.037,,CC[N+](CC)(CCCCCCCCCCCCCCCC)CCO.[Br-].CCCCCCCCCCCCCCCC[N+](C)(C)CCCCCCCCCC[N+](C)(C)CCCCCCCCCCCCCCCC.[Br-].[Br-],26.85
16-10-16+TDEEAB,0.045,fluorimetry,,,1.39,,,,,,,,,10.1016/j.colsurfa.2014.03.037,,CCCCCCCCCCCCCCCC[N+](C)(C)CCCCCCCCCC[N+](C)(C)CCCCCCCCCCCCCCCC.[Br-].[Br-].CC[N+](CC)(CCCCCCCCCCCCCC)CCO.[Br-],26.85
16-12-16+CPB,0.038,fluorimetry,,,1.62,,,,,,,,,10.1016/j.colsurfa.2014.03.037,,CCCCCCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCCCCCC.[Br-].[Br-].CCCCCCCCCCCCCCCC[N+]1=CC=CC=C1.[Br-],26.85
16-12-16+CTPB,0.034,fluorimetry,,,1.63,11,4.8,,,,,,,10.1016/j.colsurfa.2014.03.037,,CCCCCCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCCCCCC.[Br-].[Br-].CCCCCCCCCCCCCCCC[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],26.85
16-12-16+CDEEAB,0.046,fluorimetry,,,1.5,15,5,,,,,,,10.1016/j.colsurfa.2014.03.037,,CCCCCCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCCCCCC.[Br-].[Br-].CC[N+](CC)(CCCCCCCCCCCCCCCC)CCO.[Br-],26.85
16-12-16+TDEEAB,0.034,fluorimetry,,,1.38,,,,,,,,,10.1016/j.colsurfa.2014.03.037,,CCCCCCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCCCCCC.[Br-].[Br-].CC[N+](CC)(CCCCCCCCCCCCCC)CCO.[Br-],26.85
