Surfactant,TK (◦C),cmc (mmol/L),γcmc (mN/m),pC20,cmc/C20,Γ × 1010 (mol/cm2),am (Å2),Temp_Celsius,reference_doi,SMILES,source_doi
PP3S,<0,0.059,34.4,5.17,8.7,1.66,100.1,25,,CCCCCCCCCc1ccc(OCC(C)OCC(C)OCC(C)OS(=O)(=O)[O-])cc1.[Na+],10.1016/j.colsurfa.2014.03.012
PP6S,<0,0.03,34.1,5.73,16.2,1.29,128.8,25,,CCCCCCCCCc1ccc(OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OS(=O)(=O)[O-])cc1.[Na+],10.1016/j.colsurfa.2014.03.012
PP9S,<0,0.016,33.7,6.17,24.1,1.17,141.4,25,,CCCCCCCCCc1ccc(OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OS(=O)(=O)[O-])cc1.[Na+],10.1016/j.colsurfa.2014.03.012
PP12S,<0,0.012,36.9,6.28,23.2,0.97,170.8,25,,CCCCCCCCCc1ccc(OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OS(=O)(=O)[O-])cc1.[Na+],10.1016/j.colsurfa.2014.03.012
SDSc,16,7.94,38.0,2.51,2.6,3.16,52.5,25,10.1021/j100402a032,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],10.1016/j.colsurfa.2014.03.012
