Entry,Gemini amphiphiles,CMC (μM),β (%),CMC nonlinear fit (μM),β nonlinear fit (%),CytotoxicityIC50 (μM),err,source_doi,reference_doi,Temp_Celsius,SMILES,method
1,2a,20.9,57,20.3,57,55.3,2.0,10.1016/j.jcis.2011.05.023,,25,CN1C=C[N+](C(CCOC2=CC=CC(CCCCCCCCCCCCCCC)=C2)CSCCSCC(CCOC3=CC=CC(CCCCCCCCCCCCCCC)=C3)[N+]4=CN(C=C4)C)=C1.[Br-].[Br-],conductometry
2,2b,13.1,40,13.0,41,39.6,2.0,10.1016/j.jcis.2011.05.023,,25,CN1C=C[N+](C(CCOC2=CC=CC(CCCCCCCCCCCCCCC)=C2)CSCCCSCC(CCOC3=CC=CC(CCCCCCCCCCCCCCC)=C3)[N+]4=CN(C=C4)C)=C1.[Br-].[Br-],conductometry
3,2c,8.2,52,8.2,52,54.0,1.6,10.1016/j.jcis.2011.05.023,,25,CN1C=C[N+](C(CCOC2=CC=CC(CCCCCCCCCCCCCCC)=C2)CSCCCCSCC(CCOC3=CC=CC(CCCCCCCCCCCCCCC)=C3)[N+]4=CN(C=C4)C)=C1.[Br-].[Br-],conductometry
4,2d,5.5,57,5.4,57,40.0,2.6,10.1016/j.jcis.2011.05.023,,25,CN1C=C[N+](C(CCOC2=CC=CC(CCCCCCCCCCCCCCC)=C2)CSCCCCCCSCC(CCOC3=CC=CC(CCCCCCCCCCCCCCC)=C3)[N+]4=CN(C=C4)C)=C1.[Br-].[Br-],conductometry
5,3a,13.3,56,12.9,57,45.3,2.3,10.1016/j.jcis.2011.05.023,,25,CCCCCCCCCCCCCCCC1=CC(OCCC(CSCCSCC(CCOC2=CC=CC(CCCCCCCCCCCCCCC)=C2)[N+]3=CC=CC=C3)[N+]4=CC=CC=C4)=CC=C1.[Br-].[Br-],conductometry
6,3b,8.8,54,9.0,53,28.8,1.7,10.1016/j.jcis.2011.05.023,,25,CCCCCCCCCCCCCCCC1=CC(OCCC(CSCCCSCC(CCOC2=CC=CC(CCCCCCCCCCCCCCC)=C2)[N+]3=CC=CC=C3)[N+]4=CC=CC=C4)=CC=C1.[Br-].[Br-],conductometry
7,3c,7.0,54,7.1,53,45.6,1.8,10.1016/j.jcis.2011.05.023,,25,CCCCCCCCCCCCCCCC1=CC(OCCC(CSCCCCSCC(CCOC2=CC=CC(CCCCCCCCCCCCCCC)=C2)[N+]3=CC=CC=C3)[N+]4=CC=CC=C4)=CC=C1.[Br-].[Br-],conductometry
8,3d,5.4,52,5.3,52,44.6,0.9,10.1016/j.jcis.2011.05.023,,25,CCCCCCCCCCCCCCCC1=CC(OCCC(CSCCCCCCSCC(CCOC2=CC=CC(CCCCCCCCCCCCCCC)=C2)[N+]3=CC=CC=C3)[N+]4=CC=CC=C4)=CC=C1.[Br-].[Br-],conductometry
