identifier,CMC/10-5 M,CMC/10-5 M err,γCMC (mN·m-1),γCMC (mN·m-1) err,ΠCMC (mN·m-1),ΠCMC (mN·m-1) err,pC20,pC20 err,Γmax (μmol·m-2),Γmax (μmol·m-2) err,Αmin (Å2),Αmin (Å2) err,CMC/C20,CMC/C20 err,ΔG0m kJ/mol,ΔG0m kJ/mol err,ΔGa0ds kJ/mol,ΔGa0ds kJ/mol err,Temp_Celsius,SMILES,reference_doi,source_doi
Ph-Si3-EO16,2.41,0.1,40.4,0.1,32.1,0.1,6.43,0.01,0.97,0.01,171.2,0.1,64.9,0.01,-36.3,0.1,-69.4,0.018,25,C[Si](C)(C1=CC=CC=C1)O[Si](O[Si](C2=CC=CC=C2)(C)C)(C)CCSCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,,10.1016/j.molliq.2019.111158
Ph-Si4-EO16,1.63,0.1,35.4,0.1,37.1,0.1,6.26,0.01,1.62,0.01,102.6,0.1,28.9,0.01,-37.3,0.09,-60.2,0.024,25,C[Si](O[Si](CCSCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)(O[Si](C)(C1=CC=CC=C1)C)O[Si](C)(C2=CC=CC=C2)C)(C)C3=CC=CC=C3,,10.1016/j.molliq.2019.111158
Si3-EO16a,180,,28,,,,,,1.83,,90.7,,234.4,,-25.6,,-49.7,,25,C[Si](C)(C)O[Si](C)(CCSCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)O[Si](C)(C)C,10.1002/jsde.12276,10.1016/j.molliq.2019.111158
Si4-EO16a,70,,26.7,,,,,,1.65,,100.7,,208.9,,-28,,-55.5,,25,C[Si](C)(C)O[Si](CCSCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)(O[Si](C)(C)C)O[Si](C)(C)C,10.1002/jsde.12276,10.1016/j.molliq.2019.111158
