Entry,Compounds,NC,CMC (mmol/L),γmin (mN/m), a_s per molecule (A2),Solubility in H2O (mmol/L),Temp_Celsius,source_doi,reference_doi
1,3a,5,14,30.5,127,1000,25.0,10.1016/j.tetasy.2004.01.022,
2,3b,8,1.4,29.0,95,50,25.0,10.1016/j.tetasy.2004.01.022,
3,3c,10,0.33,29.1,78,50,25.0,10.1016/j.tetasy.2004.01.022,
4,3d,12,0.063,30.4,85,10,25.0,10.1016/j.tetasy.2004.01.022,
5,3e,14,0.016,30.7,70,1,25.0,10.1016/j.tetasy.2004.01.022,
6,4d,12,0.41,33.0,77,1000,25.0,10.1016/j.tetasy.2004.01.022,
7,N–C12H25–Phe,22,12,0.94,,,25.0,10.1016/j.tetasy.2004.01.022,
8,N–C12H25–Ala22,12,12.7,,,,25.0,10.1016/j.tetasy.2004.01.022,
9,C12H25–C6H4–SO3Na23,12,12.3,27.8,48,,25.0,10.1016/j.tetasy.2004.01.022,
